date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,median_age,aged_70_older,population,excess_mortality_cumulative,excess_mortality
2021-08-23,19596.903638732103,10.38926328115485,8.87680143710193,174.8280365413875,0.0511481521245343,0.06301388566387495,64193.630707974175,572.6859598558962,20.100000000000104,2.4100000000000126,326113.00000000175,25.10129877427915,30.41763585156561
2021-08-24,19607.580670225576,10.6770314944796,9.394693191595046,174.87135061224643,0.04332232934873365,0.05942331017550809,64228.604968763524,572.8280300082771,20.100000000000104,2.4100000000000126,326113.00000000175,25.11256351648371,31.42329149143844
2021-08-25,19618.56176317341,10.981092948590808,9.865264722397011,174.9064218150351,0.03507739665602343,0.05448150978095239,64264.575322726574,572.9430635533968,20.100000000000104,2.4100000000000126,326113.00000000175,25.123718555730164,32.37031405675415
2021-08-26,19629.876994648992,11.315231476149005,10.289712278061511,174.93333930891714,0.02692213928257995,0.048447105186393065,64301.64030765588,573.0313529333096,20.100000000000104,2.4100000000000126,326113.00000000175,25.133864731739017,33.237517747755426
2021-08-27,19641.556275398536,11.679280749968914,10.673785986180281,174.9527355741251,0.020191604461934964,0.04167243296219302,64339.897910606254,573.0949726831763,20.100000000000104,2.4100000000000126,326113.00000000175,25.142132550097124,33.995828002077744
2021-08-28,19653.6188872212,12.062611822980905,11.027436774703101,174.96581218479574,0.015143703346451223,0.0345801165768484,64379.41129381451,573.1378639661644,20.100000000000104,2.4100000000000126,326113.00000000175,25.147722438706406,34.61203966902535
2021-08-29,19666.06563600416,12.446748783202084,11.364551562927794,174.97435913859704,0.011357777509838417,0.027645494672455317,64420.18308913926,573.1658979746242,20.100000000000104,2.4100000000000126,326113.00000000175,25.149951331292282,35.052547620455
2021-08-30,19678.791033725836,12.725397721855364,11.698065579112475,174.980769353948,0.008518333132378812,0.021383442271309814,64461.86773233611,573.186923480969,20.100000000000104,2.4100000000000126,326113.00000000175,25.148303996206803,35.28705668911543
2021-08-31,19691.8138635297,13.022829803996583,12.03296692835506,174.98557701546122,0.006388749849284109,0.01603758170348236,64504.526752225676,573.2026926107276,20.100000000000104,2.4100000000000126,326113.00000000175,25.142252029845135,35.27190995612003
2021-09-01,19705.196532101087,13.382668571484851,12.375852216305098,174.98918276159617,0.004791562386963082,0.01202818627761177,64548.36457273431,573.2145194580464,20.100000000000104,2.4100000000000126,326113.00000000175,25.13133737403224,34.964954583628995
2021-09-02,19719.017357059034,13.820824958025424,12.73362267871236,174.99188707119737,0.0035936717902223117,0.009021139708208828,64593.63773417267,573.2233895935356,20.100000000000104,2.4100000000000126,326113.00000000175,25.11532314318466,34.33982781324123
2021-09-03,19733.349782500187,14.332425441208166,13.112506278588265,174.99391530339824,0.002695253842666734,0.00676585478115662,64640.58680919456,573.2300421951525,20.100000000000104,2.4100000000000126,326113.00000000175,25.094277886984983,33.394261269941126
2021-09-04,19748.24679065668,14.8970081565364,13.517324279076966,174.99543647754894,0.0020214403820000507,0.005074391085867465,64689.38533976608,573.2350316463651,20.100000000000104,2.4100000000000126,326113.00000000175,25.06860992969071,32.15389899521145
2021-09-05,19763.729210639598,15.482419982948542,13.950941173108651,174.99657735816191,0.001516080286500038,0.003805793314400599,64740.10153989252,573.2387737347747,20.100000000000104,2.4100000000000126,326113.00000000175,25.039064266919002,30.67634141327537
2021-09-06,19779.832412181408,16.10320154183328,14.43349078610171,174.99617251442,0.0011370602148750284,0.002854344985800449,64792.85126173913,573.2374584523423,20.100000000000104,2.4100000000000126,326113.00000000175,25.00669138053835,29.052228448912146
2021-09-07,19796.58061165709,16.748199475702716,14.965751896945406,174.99439829337828,0.0008527951611562713,0.0021407587393503366,64847.7138246173,573.2316631669886,20.100000000000104,2.4100000000000126,326113.00000000175,24.972803995741778,27.410468709479414
