date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,total_vaccinations_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,population,excess_mortality_cumulative,excess_mortality
2022-07-24,31904136.677806195,85126.8413346456,96391.40598496477,151360.84290807619,91.08117242134401,84.13307263533692,61.21204034816314,2354.8038249869937,0.930496908157441,1250.8341843548799,20410.81235646508,888.0328607867959,9602.26974395219,218.26394364263672,179428.19357085996,201690.29155763244,0.2299988691010364,4.400024724383971,80.4528948253417,72025.66373646048,76666.09292316294,2.3458787498310832e-20,18.799200725911717,35.600000000000186,42.00000000000021,67813000.00000036,5.9892096987489385,15.158674917692565
2022-07-25,31986267.810261607,82131.13245541224,92936.86814838756,151453.03174472897,92.188836652789,86.47361927934702,61.311900493830905,2356.23788651659,0.9088148272072869,1253.8507352280235,20468.631762500747,883.7268110716755,9524.945827679734,218.36790181730427,179427.8951781452,201690.46866822464,0.22999915182577763,4.400018543287984,80.45450192055777,70490.93745974687,75016.78800200386,1.7594090623733123e-20,18.70545031818947,35.600000000000186,42.00000000000021,67813000.00000036,5.9978175843396695,15.213474029251993
2022-07-26,32065289.622709177,79021.8124475709,89413.34340961011,151546.1251821733,93.09343744434301,88.51377974716392,61.409467710386195,2357.686036251376,0.8869645463912452,1254.5007211042773,20498.917923362336,876.9306609863693,9422.100078581403,218.46953350583564,179427.67138360912,201690.60150116874,0.22999936386933356,4.400013907465993,80.4560779594876,68892.75370890203,73437.60921417267,1.3195567967799843e-20,18.556100020477942,35.600000000000186,42.00000000000021,67813000.00000036,6.005930507490147,15.099652248321878
2022-07-27,32140927.180558108,75637.55784892972,85851.64075436349,151639.78847292624,93.66329075294064,90.20778859188567,61.50462534646135,2359.1430722758014,0.865138406561373,1253.0792253789532,20503.381283504328,867.8959272200625,9294.43525609185,218.56872285077327,179427.5035377071,201690.70112587686,0.22999952290200049,4.400010430599501,80.4575927294736,67216.20792873543,71890.69438638914,9.896675975849881e-21,18.344917613936374,35.600000000000186,42.00000000000021,67813000.00000036,6.013513676166607,14.842618468723654
2022-07-28,32212891.934449006,71964.75389089905,82277.88737928274,151733.61881106207,93.83033813581099,91.51610841224019,61.59706500208915,2360.6027329398858,0.8435871598014445,1249.8487047485023,20483.461802964408,856.7889783820809,9142.004657970645,218.6651539674274,179427.37765328056,201690.7758444079,0.2299996421765007,4.4000078229496316,80.45902841911565,65328.59733310628,70318.0611420867,7.422506981887411e-21,18.069093026224767,35.600000000000186,42.00000000000021,67813000.00000036,6.020555540622978,14.472585792626884
2022-07-29,32280992.5017741,68100.56732509097,78713.04681532834,151827.19305141247,93.57424035040395,92.41562461881182,61.68634529326055,2362.0584385219827,0.8226556251839868,1244.9335227436668,20439.90414149289,843.6378229914745,8964.548952430807,218.7583738789322,179427.28323996067,201690.8318833062,0.22999973163237586,4.400005867212229,80.46037651795675,63135.61212394097,68647.95316102536,5.566880236415558e-21,17.729625522739056,35.600000000000186,42.00000000000021,67813000.00000036,6.027069139537793,14.022734685683588
2022-07-30,32345217.752817366,64225.25104326885,75172.55752035219,151920.1034989668,92.9104475543351,92.90729150871145,61.77228159437989,2363.503847475847,0.8027721002713137,1238.4914154902017,20373.751974897976,828.5686548971299,8763.38406403223,218.84818651779673,179427.21242997074,201690.87391247996,0.22999979872428222,4.400004400409178,80.46164809628927,60807.286129154905,66842.47889791842,4.1751601773116684e-21,17.33161410003751,35.600000000000186,42.00000000000021,67813000.00000036,6.033090801001123,13.526903586060659
2022-07-31,32405799.125359677,60581.372542309495,71666.06182352215,152011.98475092216,91.88125195534421,93.02186682157897,61.85464235286322,2364.9332736159386,0.7843536388751088,1230.7297122317448,20285.89531601514,811.7907284062035,8541.363645955664,218.93434124581393,179427.15932247828,201690.90543436026,0.229999849043212,4.4000033003068895,80.46287052599858,58313.960055819065,64883.66691422752,3.131370132983751e-21,16.884475280910507,35.600000000000186,42.00000000000021,67813000.00000036,6.038676859639021,13.016925103895867
2022-08-01,32463482.039204028,57682.913844353396,68173.45905801015,152102.63340805285,90.64865713069702,92.80206559776161,61.933230310219585,2366.343549426566,0.7677295148706182,1221.8666442255233,20177.67610886012,793.5607903253388,8302.372201176519,219.0166082291248,179427.11949185893,201690.9290757705,0.22999988678240932,4.400002475230173,80.46404930691017,55685.55132822506,62768.615344041755,2.3485275997378135e-21,16.4021064606829,35.600000000000186,42.00000000000021,67813000.00000036,6.043898885841103,12.51969641357156
2022-08-02,32518216.72025633,54734.68105230195,64703.86880336548,152191.84538571018,89.21197765733122,92.2477332642554,62.008064781792115,2367.731500466825,0.753087213722454,1212.168583686274,20051.251538658693,774.2780749676638,8052.04030149649,219.09500465277475,179427.08961889445,201690.94680682814,0.2299999150868073,4.4000018564226355,80.46518775587762,53076.56091051921,60509.164303765065,1.7613956998033603e-21,15.893315139629843,35.600000000000186,42.00000000000021,67813000.00000036,6.048848603387208,12.058164936459967
