date,total_cases,new_cases,new_deaths,total_deaths,total_boosters_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,population
2021-07-08,195010.50171783305,3166.305589854356,14.796113329205763,1300.9702896180786,7.950000000000042,1.3894025082286672,37079.490526011396,0.08390438553202076,12.305534323691134,126421.36135885678,128893.47013872128,0.30640816354086875,71.85346308004469,43.10000000000022,11212198.000000056
2021-07-09,198385.516753792,3375.015035958969,15.918206522437638,1316.888496140516,7.950000000000042,1.3905662638476497,37430.85690549761,0.08523388061637188,12.087562184268043,124580.76891830242,128120.01053875349,0.2952780037157683,71.83009731003362,43.10000000000022,11212198.000000056
2021-07-10,201983.53898745158,3598.022233659601,17.44665424541585,1334.335150385932,7.950000000000042,1.3896215304649249,37740.22272114007,0.0863449321170948,11.91465838674662,122533.24684063389,127072.1420508009,0.28744379690447364,71.81257298252531,43.10000000000022,11212198.000000056
2021-07-11,205805.25876547588,3821.7197780242805,19.312592494016673,1353.6477428799485,7.950000000000042,1.3866203172087472,38000.756407370936,0.08724754847372942,11.780922684694756,120397.35019188475,125735.51300222497,0.28299946047732133,71.79942973689408,43.10000000000022,11212198.000000056
2021-07-12,209812.3433953742,4007.084629898307,21.027430795851906,1374.6751736758006,7.950000000000042,1.3816255481845197,38208.21213422897,0.08796620434172253,11.679562407832654,118405.00192962801,124157.5369656314,0.28153530964370566,71.78957230267066,43.10000000000022,11212198.000000056
2021-07-13,214014.86965060333,4202.526255229166,22.977069541620708,1397.6522432174213,7.950000000000042,1.3746621152431104,38369.008971389296,0.08851634685680915,11.604460105809864,116606.52397469369,122405.95398472791,0.28232617518688435,71.7821792270031,43.10000000000022,11212198.000000056
2021-07-14,218430.53029225147,4415.660641648126,25.307398148458624,1422.9596413658799,7.950000000000042,1.365787472017338,38493.23993797965,0.08892248961901293,11.549587807217788,114845.90497197065,120541.393348921,0.28441980915357673,71.77663442025242,43.10000000000022,11212198.000000056
2021-07-15,223076.16333004864,4645.633037797188,28.033457467194054,1450.9930988330739,7.950000000000042,1.355091573631622,38586.652319354216,0.08921917813862956,11.510195057094029,113217.12716142804,118655.11021854289,0.28694704820325667,71.77247581518941,43.10000000000022,11212198.000000056
2021-07-16,227961.39896812505,4885.235638076406,31.07215192392501,1482.065250756999,7.950000000000042,1.3427926621241708,38653.009617666976,0.08942698864598911,11.482016040719696,111703.61848031488,116796.98667166427,0.2888988769733867,71.76935686139215,43.10000000000022,11212198.000000056
2021-07-17,233083.89481432945,5122.4958462043705,34.266783626201736,1516.3320343832006,7.950000000000042,1.3291775605879586,38697.549230057004,0.08957024148449197,11.461512030539787,109986.62034052073,114960.08413755572,0.2894663361398659,71.76701764604421,43.10000000000022,11212198.000000056
2021-07-18,238425.76228721804,5341.86747288858,37.40545294266364,1553.7374873258645,7.950000000000042,1.314597132949051,38729.66192254281,0.0896776811133691,11.446134022904856,107861.9624434967,113113.78564679978,0.288169241439095,71.76526323453325,43.10000000000022,11212198.000000056
2021-07-19,243930.1624717164,5504.400184498376,40.10502700499392,1593.8425143308584,7.950000000000042,1.299480008729243,38753.74644190716,0.08975826083502694,11.434600517178657,105443.87466067696,111223.94671732363,0.28501380890737593,71.76394742590004,43.10000000000022,11212198.000000056
2021-07-20,249599.25987899775,5669.097407281353,42.909167797378345,1636.7516821282368,7.950000000000042,1.2843023142392416,38771.80983143042,0.08981869562627035,11.425950387884008,102951.6975759862,109287.0058524725,0.2803332396798859,71.76296056942513,43.10000000000022,11212198.000000056
2021-07-21,255445.00837078717,5845.748491789401,45.80910597085219,1682.5607880990888,7.950000000000042,1.2695759599845395,38785.35737357287,0.0898640217197029,11.419462790913022,100754.88132678616,107375.76318056331,0.2749275315698695,71.76222042706895,43.10000000000022,11212198.000000056
2021-07-22,261481.191863094,6036.183492306831,48.73216884465506,1731.292956943744,7.950000000000042,1.255767296426674,38795.51803017971,0.08989801628977731,11.414597093184781,99408.04039069415,105626.26687475681,0.26996067776596094,71.76166532030182,43.10000000000022,11212198.000000056
2021-07-23,267717.45485401124,6236.262990917269,51.5577562391798,1782.8507131829238,7.950000000000042,1.243261800697512,38803.138522634836,0.08992351221733311,11.410947819888602,99237.7453221093,104236.6939505086,0.2671112646269921,71.76124899022646,43.10000000000022,11212198.000000056
2021-07-24,274154.8253195651,6437.370465553831,54.12932235068423,1836.9800355336079,7.950000000000042,1.2322409529795029,38808.85389197618,0.08994263416299997,11.408210864916466,100371.85139623628,103450.27969041876,0.26819139934290115,71.76093674266994,43.10000000000022,11212198.000000056
2021-07-25,280782.3568856018,6627.531566036748,56.263362157324835,1893.2433976909326,7.950000000000042,1.2226118718128447,38813.14041898219,0.08995697562225011,11.406158148687364,102847.03156592333,103512.99916665067,0.27497047258409935,71.76070255700256,43.10000000000022,11212198.000000056
2021-07-26,287554.8344062832,6772.4775206814165,57.54312601359811,1950.7865237045307,7.950000000000042,1.2140595825926668,38816.3553142367,0.0899677317166877,11.404618611515538,106252.8600674614,104572.12733232492,0.28886020737925144,71.76052691775202,43.10000000000022,11212198.000000056
2021-07-27,294475.7674336721,6920.933027388901,58.73709564142039,2009.5236193459511,7.950000000000042,1.2061825343911727,38818.76648567758,0.08997579878751591,11.403463958636669,110257.83509584509,106678.43549601178,0.31079383038899633,71.7603951883141,43.10000000000022,11212198.000000056
2021-07-28,301557.7474078337,7081.979974161596,59.991962002558594,2069.51558134851,7.950000000000042,1.198587127037725,38820.57486425824,0.08998184909063706,11.402597968977517,114552.42357463125,109772.34016434902,0.3408954697536095,71.76029639123568,43.10000000000022,11212198.000000056
2021-07-29,308814.9848771427,7257.2374693089905,61.37378727438187,2130.8893686228917,7.950000000000042,1.1908931571722838,38821.93114819373,0.08998638681797791,11.401948476733153,118799.37828213717,113656.82866883403,0.37829619830745087,71.76022229342686,43.10000000000022,11212198.000000056
2021-07-30,316257.71241351357,7442.727536370894,62.888162045961025,2193.7775306688527,7.950000000000042,1.1827926862373268,38822.948361145354,0.08998979011348357,11.40146135754988,122459.00979434386,118022.18008275045,0.4213953872567686,71.76016672007025,43.10000000000022,11212198.000000056
2021-07-31,323887.98679882346,7630.274385309856,64.49532321514313,2258.2728538839956,7.950000000000042,1.1740248637406987,38823.71127085907,0.0899923425851128,11.401096018162427,125235.81599152408,122517.83393084131,0.468131058865331,71.76012504005278,43.10000000000022,11212198.000000056
2021-08-01,331696.54066472896,7808.553865905481,66.12149241135745,2324.394346295353,7.950000000000042,1.1644564306109555,38824.28345314436,0.08999425693883473,11.400822013621836,126989.97897812935,126770.09616564897,0.5160953852931491,71.76009378003968,43.10000000000022,11212198.000000056
