date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,population_density,male_smokers,population
2021-11-01,7.992286031017137,0.0034149349548062754,0.00877880600997569,6.000000000000032,0.0,449.4062435240936,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-02,7.994214523262864,0.0025612012161047065,0.006584104507481768,6.000000000000032,0.0,449.51468264307084,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-03,7.995660892447159,0.00192090091207853,0.004938078380611326,6.000000000000032,0.0,449.5960119823037,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-04,7.996745669335381,0.0014406756840588974,0.0037035587854584943,6.000000000000032,0.0,449.6570089867284,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-05,7.997559252001546,0.0010805067630441732,0.0027776690890938707,6.000000000000032,0.0,449.7027567400469,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-06,7.99816943900117,0.0008103800722831299,0.002083251816820403,6.000000000000032,0.0,449.73706755503576,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-07,7.998627079250889,0.0006077850542123474,0.0015624388626153023,6.000000000000032,0.0,449.7628006662774,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-08,7.998970309438178,0.0004558387906592606,0.0011718291469614767,6.000000000000032,0.0,449.7821004997087,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-09,7.999227732078644,0.00034187909299444543,0.0008788718602211075,6.000000000000032,0.0,449.79657537478215,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-10,7.999420799058994,0.00025640931974583406,0.0006591538951658306,6.000000000000032,0.0,449.8074315310872,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-11,7.999565599294256,0.00019230698980937555,0.000494365421374373,6.000000000000032,0.0,449.815573648316,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-12,7.999674199470702,0.00014423024235703165,0.00037077406603077973,6.000000000000032,0.0,449.8216802362376,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-13,7.999755649603037,0.00010817268176777374,0.0002780805495230848,6.000000000000032,0.0,449.8262601771788,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-14,7.999816737202288,8.11295113258303e-05,0.0002085604121423136,6.000000000000032,0.0,449.8296951328847,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-15,7.999862552901726,6.0847133494372724e-05,0.0001564203091067352,6.000000000000032,0.0,449.8322713496641,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-16,7.999896914676306,4.563535012077954e-05,0.00011731523183005141,6.000000000000032,0.0,449.8342035122487,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-17,7.99992268600724,3.422651259058466e-05,8.798642387253856e-05,6.000000000000032,0.0,449.8356526341871,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-18,7.999942014505441,2.566988444293849e-05,6.598981790440392e-05,6.000000000000032,0.0,449.8367394756409,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-19,7.999956510879091,1.925241333220387e-05,4.949236342830294e-05,6.000000000000032,0.0,449.83755460673126,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-20,7.99996738315933,1.4439309999152903e-05,3.711927257122721e-05,6.000000000000032,0.0,449.838165955049,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-21,7.999975537369508,1.0829482499364677e-05,2.7839454428420406e-05,6.000000000000032,0.0,449.83862446628734,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-22,7.999981653027142,8.122111874523508e-06,2.0879590821315304e-05,6.000000000000032,0.0,449.8389683497161,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-23,7.999986239770367,6.091583905892631e-06,1.5659693115986477e-05,6.000000000000032,0.0,449.83922626228764,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-24,7.999989679827786,4.568687929419473e-06,1.1744769836989859e-05,6.000000000000032,0.0,449.83941969671633,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-25,7.999992259870851,3.426515947064605e-06,8.808577377742394e-06,6.000000000000032,0.0,449.83956477253787,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-26,7.999994194903149,2.5698869602984536e-06,6.606433033306796e-06,6.000000000000032,0.0,449.839673579404,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-27,7.999995646177373,1.9274152202238404e-06,4.9548247749800974e-06,6.000000000000032,0.0,449.8397551845536,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-28,7.99999673463304,1.4455614151678803e-06,3.716118581235073e-06,6.000000000000032,0.0,449.8398163884158,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-29,7.999997550974792,1.0841710613759103e-06,2.787088935926305e-06,6.000000000000032,0.0,449.83986229131244,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-11-30,7.999998163231105,8.131282960319328e-07,2.0903167019447285e-06,6.000000000000032,0.0,449.83989671848497,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-01,7.999998622423339,6.098462220239496e-07,1.5677375264585464e-06,6.000000000000032,0.0,449.83992253886436,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-02,7.999998966817515,4.5738466651796215e-07,1.1758031448439097e-06,6.000000000000032,0.0,449.8399419041489,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-03,7.999999225113147,3.4303849988847164e-07,8.818523586329323e-07,6.000000000000032,0.0,449.83995642811226,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-04,7.9999994188348715,2.5727887491635373e-07,6.613892689746992e-07,6.000000000000032,0.0,449.8399673210848,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-05,7.999999564126165,1.9295915618726528e-07,4.960419517310244e-07,6.000000000000032,0.0,449.83997549081425,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-06,7.999999673094635,1.4471936714044896e-07,3.720314637982683e-07,6.000000000000032,0.0,449.8399816181113,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-07,7.999999754820987,1.0853952535533672e-07,2.790235978487012e-07,6.000000000000032,0.0,449.8399862135841,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-08,7.999999816115752,8.140464401650254e-08,2.0926769838652592e-07,6.000000000000032,0.0,449.8399896601887,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-09,7.999999862086824,6.105348301237691e-08,1.5695077378989444e-07,6.000000000000032,0.0,449.8399922451421,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-10,7.999999896565129,4.5790112259282686e-08,1.1771308034242084e-07,6.000000000000032,0.0,449.8399941838572,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-11,7.999999922423857,3.4342584194462014e-08,8.828481025681562e-08,6.000000000000032,0.0,449.8399956378935,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-12,7.999999941817904,2.575693814584651e-08,6.621360769261171e-08,6.000000000000032,0.0,449.8399967284207,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-13,7.999999956363439,1.9317703609384883e-08,4.966020576945878e-08,6.000000000000032,0.0,449.8399975463161,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-14,7.99999996727259,1.4488277707038663e-08,3.7245154327094084e-08,6.000000000000032,0.0,449.83999815973766,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-15,7.999999975454454,1.0866208280278996e-08,2.7933865745320563e-08,6.000000000000032,0.0,449.83999861980385,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-16,7.999999981590852,8.149656210209248e-09,2.0950399308990423e-08,6.000000000000032,0.0,449.8399989648535,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-17,7.999999986193149,6.112242157656936e-09,1.5712799481742817e-08,6.000000000000032,0.0,449.83999922364075,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-18,7.9999999896448735,4.584181618242702e-09,1.1784599611307113e-08,6.000000000000032,0.0,449.8399994177312,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-19,7.999999992233667,3.4381362136820267e-09,8.838449708480334e-09,6.000000000000032,0.0,449.839999563299,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-20,7.993697473166857,2.57860216026152e-09,6.6288372813602505e-09,6.000000000000032,0.0,449.48560891617234,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-21,7.98161764269028,1.93395162019614e-09,4.971627961020188e-09,6.000000000000032,0.0,448.8063600484744,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-22,7.9685984938147465,1.450463715147105e-09,3.728720970765141e-09,6.000000000000032,0.0,448.0742933072032,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-23,7.961904591110909,0.0030704600406596823,2.796540728073856e-09,6.000000000000032,0.0,447.6978951581664,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-24,7.969812412305397,0.015231093252860692,2.097405546055392e-09,6.000000000000032,0.0,448.1425519439324,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-25,8.000549354477927,0.03622939621631016,0.003292987998393533,6.000000000000032,0.0,449.8708902022938,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-26,8.061497988709135,0.06506797476404279,0.011143949143591566,6.000000000000032,0.0,453.29803190511467,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-27,8.149775721654681,0.09136723834517194,0.023963973493117147,6.000000000000032,0.0,458.2618762236007,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-28,8.270169541725831,0.12271094912087019,0.042308629764311156,6.000000000000032,0.0,465.0315965665377,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-29,8.431279386417204,0.16284769147866207,0.06668024413965243,6.000000000000032,0.0,474.09077709523365,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-30,8.642625667802573,0.2126496664758361,0.09737960779769367,6.000000000000032,0.0,485.9747651097259,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2021-12-31,8.912479916656727,0.2708317876720037,0.13439475756126346,6.000000000000032,0.0,501.1486853384361,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-01,9.246237765546857,0.33449100300351875,0.1773175613836177,6.000000000000032,0.0,519.9159506554116,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-02,9.645198686151108,0.3995107861892915,0.22528115746305313,6.000000000000032,0.0,542.3496451182564,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-03,9.987163397289493,0.3423771103271658,0.2612449663519768,6.000000000000032,0.0,561.5784772129659,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-04,10.284958844024018,0.29810474612611115,0.28635680168705996,6.000000000000032,0.0,578.3237173150259,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-05,10.630057206709044,0.3453303372287143,0.3124552224676225,6.000000000000032,0.0,597.728878807214,337.3800000000018,2.160000000000011,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-06,11.156592678787455,0.5267094529861782,0.3573412552476146,6.000000000000032,0.0,627.3363696742543,337.3800000000018,2.160012605042028,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-07,12.014374050137798,0.8579118570311681,0.44123218577960316,6.000000000000032,0.0,675.5699811988075,337.3800000000018,2.160036764705894,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-08,13.348644144584625,1.3343679587074457,0.5841019027477612,6.000000000000032,0.0,750.5967544834637,337.3800000000018,2.1600501979638125,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-09,15.284899398031257,1.9363286516420954,0.80368615556761,6.000000000000032,0.0,859.4733803422373,337.3800000000018,2.1600016109809426,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-10,17.443554962227417,2.158710612842758,1.0632133884921287,6.000000000000032,0.0,980.855675689776,337.3800000000018,2.159937698216318,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-11,19.9361083677598,2.492594692017334,1.3767770420155117,6.000000000000032,0.0,1121.0131770970042,337.3800000000018,2.1599569905336056,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-12,23.157591941624673,3.2215145387285853,1.7877356580468668,6.000000000000032,0.0,1302.1586656281854,337.3800000000018,2.1601480919629092,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-13,27.639735649819073,4.482166931842183,2.3528785050089756,6.000000000000032,0.0,1554.1914701325836,337.3800000000018,2.160504734130556,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-14,33.94083922928422,6.301120997200981,3.130549796662362,6.000000000000032,0.0,1908.5049447132099,337.3800000000018,2.1609448078700595,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-15,42.56317628686306,8.622350120880718,4.171741856223349,6.000000000000032,0.0,2393.3420768283836,337.3800000000018,2.161299103640104,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-16,53.891047373518454,11.3278808841318,5.513414989452592,6.000000000000032,0.0,3030.3121933679004,337.3800000000018,2.161316279895563,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-17,66.97709289924046,13.086052873829319,7.074436969303422,6.000000000000032,0.0,3766.1449439916732,337.3800000000018,2.1606080890425545,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-18,82.17158825878732,15.19450087062735,8.88891402303447,6.000000000000032,0.0,4620.536417754593,337.3800000000018,2.1586454656183767,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-19,100.46914045071642,18.297556325239455,11.042505006610071,6.000000000000032,0.0,5649.4136838718705,337.3800000000018,2.1548147391620724,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-20,123.13719793661546,22.668060585881804,13.64032510272746,6.000000000000032,0.0,6924.045781326671,337.3800000000018,2.1484694900535226,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-21,151.4374330355259,28.300237423897517,16.78287359433716,6.000000000000032,0.0,8515.376961075823,337.3800000000018,2.138954412304204,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-22,186.41677871976052,34.97934742797493,20.547979694783294,6.000000000000032,0.0,10482.276617704109,337.3800000000018,2.1256812261641613,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-23,228.75070621176656,42.333928799811275,24.97726192040879,6.000000000000032,0.0,12862.726738164985,337.3800000000018,2.108222134878457,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-24,277.8113974674874,49.06069223657478,30.11639278807653,6.000000000000032,0.0,15621.424937915948,337.3800000000018,2.0862595229429437,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-25,334.20568772569703,56.39429099385007,36.00203360204649,6.000000000000032,0.0,18792.493765492593,337.3800000000018,2.0595180100158723,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-26,398.73841252989087,64.5327253559242,42.60707950017749,6.000000000000032,0.0,22421.18938973035,337.3800000000018,2.0278183717653007,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-27,472.1088675745361,73.37045545844296,49.850366347822295,6.000000000000032,0.0,26546.833438710222,337.3800000000018,1.991119758138781,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-28,554.6831535897591,82.57428632557122,57.60395090824886,6.000000000000032,0.0,31190.011878968086,337.3800000000018,1.9495521650811405,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-29,646.323435004861,91.64028164786313,65.69857097045633,6.000000000000032,0.0,36342.97417490164,337.3800000000018,1.9033790559375547,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-30,746.2598839459549,99.9364491156648,73.92774044503696,6.000000000000032,0.0,41962.43265832563,337.3800000000018,1.8529762764392705,47.24000000000026,22.700000000000117,18084.000000000095
2022-01-31,853.559344116546,107.2994603015193,82.24782488775331,6.000000000000032,0.0,47995.915643873595,337.3800000000018,1.798818826592545,47.24000000000026,22.700000000000117,18084.000000000095
2022-02-01,968.1663891475275,114.60704512917782,90.56421077958373,6.000000000000032,0.0,54440.30649082385,337.3800000000018,1.7415218445727239,47.24000000000026,22.700000000000117,18084.000000000095
