date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,weekly_hosp_admissions,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,female_smokers,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2021-05-12,665353.8777636571,1482.6966170282872,1604.1783133078052,10208.805665837703,6.601645108632077,7.580092906160881,132.48345078268855,0.010000000000000054,0.9087896767017216,209.94671683175804,875.1335779858541,345.56881932260063,6742421.554580803,25977.889067778,25921.275065497117,0.06184240152741036,16.549293776724625,24.959271046528784,65864.16348632736,62892.913038643645,0.4888120838182947,50.94782768387372,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.639992106833837,4.049440307179282
2021-05-13,666793.8350195764,1439.9572559192457,1562.293820145691,10215.029621065427,6.223955227724873,7.274789298237347,133.6683734780961,0.010000000000000054,0.9035474934668224,206.5574681344846,854.1475978397473,332.8487864376523,6768496.489190298,26074.934609495464,25939.9212797305,0.06022084445518939,17.00022017094039,25.447974293299986,66950.9794990378,63863.484229532274,0.48937619279261635,50.94337076290536,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.625778086035446,4.028117268276547
2021-05-14,668190.185524541,1396.350504964646,1520.522242290912,10220.89464630975,5.865025244323073,6.9430901960438876,134.88618637877266,0.010000000000000054,0.8986910014834405,203.20494660829746,833.2246770482019,320.92387166405086,6794677.439872694,26180.95068239636,25975.764699293708,0.05862135409123052,17.464058146951277,25.9360547341961,67980.88258807936,64857.50984312539,0.48949546069013194,50.94002807217909,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.611796280382169,3.993146967121474
2021-05-15,669544.2346993213,1354.0491747803703,1479.2999504641457,10226.443980853852,5.54933454410204,6.600665740116311,136.13403215641324,0.010000000000000054,0.8942134676607394,199.86655740289433,812.6460611151763,309.8741577881161,6820933.748246483,26256.308373788255,26025.628113998435,0.05704229223293492,17.94345085003249,26.42315126396321,68902.62924875192,65859.99240173651,0.48925087799982325,50.93752105413439,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.598055701375383,3.949866216198992
2021-05-16,670860.0618842205,1315.8271848991126,1439.033237734989,10231.747465278411,5.303484424560053,6.265128264363257,137.40543685163465,0.010000000000000054,0.8901096805774886,196.52700273219685,792.6519828111732,299.7208090327488,6847223.778686487,26290.030440005095,26082.777792027628,0.0554808141973257,18.438247478183737,26.909138981262686,69764.13990682908,66856.70900718484,0.4887694448605662,50.93564079060087,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.584530625417457,3.902914656608572
2021-05-17,672148.4287337868,1288.3668495663853,1400.0636466270353,10236.905653903877,5.158188625465941,5.954616560263401,138.69215132974105,0.010000000000000054,0.8863476127278818,193.17893013576716,773.4096238246059,290.4120999872316,6873505.213103434,26281.43441694633,26139.477978797746,0.05395466365381205,18.94821049551566,27.39422091338726,70597.23553774957,67835.21622533054,0.4881648341302347,50.934230592950726,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.571159119677198,3.8556844149023353
2021-05-18,673409.3860622996,1260.9573285128645,1362.6011814796511,10241.936965056235,5.031311152357381,5.676571987101242,139.98301136414506,0.010000000000000054,0.8828877295846973,189.79816010990578,754.9320724256629,281.81317970923465,6899735.275567727,26230.062464293493,26184.538041305845,0.052482804463048184,19.47139542819786,27.87880644134301,71392.24061582037,68778.84573396246,0.48752650213290616,50.93667714639379,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.557819912294617,3.8098820663711424
2021-05-19,674641.218263597,1231.8322012973842,1326.763802884142,10246.855131678421,4.918166622186594,5.43593319200661,141.26670260843542,0.010000000000000054,0.8796897144477356,186.34753734164096,737.1214525092932,273.8036630624693,6925870.14232545,26134.866757722415,26206.981181270305,0.05109610464011102,20.001171005537564,28.363163977742914,72171.05071073415,69679.82804643187,0.4869066736261832,50.94260029677021,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.544377008281367,3.7668952586465245
2021-05-20,675841.7843990561,1200.566135459142,1292.5654644772646,10251.671827104015,4.816695425592764,5.234790553345624,142.53772896020524,0.010000000000000054,0.8766729096237795,182.83117660028395,719.9060861499088,266.28855854442827,6951867.738321343,25997.59599589366,26195.94596998638,0.0498096350411693,20.528714388606986,28.8475631901592,72956.02920952131,70537.69160689898,0.4863419315286232,50.949244017018586,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.530703686121463,3.727785543470847
2021-05-21,677009.5240135788,1167.7396145226062,1259.9071405363597,10256.398634387497,4.726807283480293,5.072127013263911,143.79534584749737,0.010000000000000054,0.8737255936593356,179.2224936331479,703.183200682245,259.16472207574236,6977710.944335717,25843.206014373412,26147.703853701845,0.048626618653210586,21.04907296016891,29.33249834607775,73795.19760203443,71368.30860498041,0.48595392763806466,50.9525196320271,43.10000000000022,22.600000000000122,4.530000000000024,8740471.000000045,8.516700033498672,3.6933084337751474
