date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2020-05-08,184108.19953077906,10808.152408126567,9459.90444841427,13170.633663829234,873.1460293397447,754.220745360467,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-09,195447.35908570583,11339.15955496372,9909.480744520155,14088.511220722627,917.8775569110801,793.7791231767834,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-10,207303.8394500263,11856.480364348212,10364.999635313208,15048.978890655118,960.467669945755,833.41932993915,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-11,219512.29805875474,12208.458608749217,10819.35880906411,16041.716989581539,992.7380989363701,872.9869040477704,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-12,232094.36147231463,12582.063413575506,11273.411986726995,17067.729209542355,1026.0122199682778,912.4206407055124,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-13,245133.69466596874,13039.33319366581,11732.742374337444,18130.265006704307,1062.535797167548,951.6900524425164,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-14,258738.14333302577,13604.448667065799,12205.442453991627,19233.028199113585,1102.7631924134778,990.7909687113329,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-15,273011.3406122455,14273.197279226326,12700.448827080683,20378.833415010722,1145.8052159002846,1029.742235583275,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-16,288031.41213339276,15020.071521152153,13226.29334671648,21568.59842906674,1189.7650140583762,1068.5832405206834,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-17,303835.0048014025,15803.592668013462,13790.166467050956,22800.588414560272,1231.989985495303,1107.3720559561252,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-18,320280.063426521,16445.058625121306,14395.394940139566,24067.26383839277,1266.6754238338258,1146.505828489397,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-19,337419.01429581246,17138.950869293494,15046.378723204245,25369.570228503733,1302.306390111958,1185.9762438622015,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-20,355357.85504959105,17938.840753780103,15746.30820028944,26709.10934558599,1339.539117083001,1225.5479196451986,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-21,374212.28091227467,18854.425862684817,16496.30474136126,28087.023444225088,1377.9140986396606,1264.8549266440496,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-22,394074.7793655253,19862.498453251523,17294.776121631832,29503.158468753867,1416.135024529198,1303.4731799539506,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-23,414989.9511531039,20915.171787579267,18136.933086052602,30955.43645014334,1452.2779813897903,1340.974732250533,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-24,436936.00103451184,21946.049881408468,19014.426772684277,32439.384803670902,1483.9483535278005,1376.9684937580378,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-25,459687.68568215484,22751.684647643327,19915.373175182274,33945.58876435633,1506.203960685607,1411.1865873514976,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-26,483283.1921866331,23595.506504478493,20837.738129770707,35473.488131121216,1527.8993667650154,1443.4139170811754,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-27,507813.9260565884,24530.733869955548,21779.43705272561,37023.71301172171,1550.2248806005898,1473.511685225234,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
2020-05-28,533379.3585211105,25565.432464522288,22738.152235084,38597.17344657415,1573.4604348525131,1501.4467275582297,0.020000000000000108,0.0,1.000000000000005,4779.000000000025,4779.000000000025,0.0,436816679.00000226
