date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,people_vaccinated_per_hundred,total_boosters_per_hundred,total_vaccinations_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,male_smokers,hospital_beds_per_thousand,population
2020-04-25,9013.151613648177,819.1162399672547,640.2052219367379,90.81699751361458,5.693185772893702,43.650000000000226,0.7100000000000039,0.380000000000002,1.5657785656181753,9248.25606771039,0.09620199955480949,12.14631871593062,117876.00000000064,13492.00000000007,0.23000000000000126,92.18911514725939,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-26,9891.585090326647,878.4334792643888,697.0049990317401,96.61274813521109,5.796359917905579,43.650000000000226,0.7100000000000039,0.380000000000002,1.5423502461270142,9410.842357828702,0.10109396896151776,11.314440071207835,117876.00000000064,13492.00000000007,0.23000000000000126,92.27180371661791,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-27,10815.399822916304,923.8147345290946,753.736989092811,102.43561152157656,5.823320358597259,43.650000000000226,0.7100000000000039,0.380000000000002,1.5180013723780679,9586.36429907613,0.10554445862159097,10.60704530873879,117876.00000000064,13492.00000000007,0.23000000000000126,92.33787056380487,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-28,11785.361066282272,969.9612448205457,809.987913926914,108.27481788488006,5.839549092477365,43.650000000000226,0.7100000000000039,0.380000000000002,1.493207719652008,9783.09122689276,0.10948882231137763,10.016360258218615,117876.00000000064,13492.00000000007,0.23000000000000126,92.3844914813541,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-29,12804.096333001964,1018.7352678106274,865.3302954968999,114.13917740848893,5.864616570489254,43.650000000000226,0.7100000000000039,0.380000000000002,1.4684696229646057,10007.757560441078,0.1128761513165974,9.534637679119694,117876.00000000064,13492.00000000007,0.23000000000000126,92.40834921864338,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-04-30,13874.244728743093,1070.1483965593297,919.3841603751005,120.04911479521628,5.910130171887634,43.650000000000226,0.7100000000000039,0.380000000000002,1.4442710924658608,10260.519026827267,0.11568038433424847,9.152073928376627,117876.00000000064,13492.00000000007,0.23000000000000126,92.40695260564394,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-01,14997.068953797165,1122.8242256677215,971.8633180835246,126.03069517850679,5.981724972160724,43.650000000000226,0.7100000000000039,0.380000000000002,1.4210426858652345,10540.485116920725,0.11790863989903817,8.857943616935358,117876.00000000064,13492.00000000007,0.23000000000000126,92.3761342990941,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-02,16171.41430422961,1174.3453508926805,1022.6100698490059,132.111143555826,6.0805568189718775,43.650000000000226,0.7100000000000039,0.380000000000002,1.399114593584448,10847.48649444557,0.11960746570320577,8.63862577992842,117876.00000000064,13492.00000000007,0.23000000000000126,92.31121804817332,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-03,17392.927922742372,1221.5136188579415,1071.6212401695616,138.3154843637023,6.204422139115795,43.650000000000226,0.7100000000000039,0.380000000000002,1.378698582550975,11157.238658810922,0.12084280031166435,8.478608960027127,117876.00000000064,13492.00000000007,0.23000000000000126,92.21093809980174,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
2020-05-04,18646.263152787258,1253.3352303037682,1118.6953097328615,144.6350295623697,6.319606197097037,43.650000000000226,0.7100000000000039,0.380000000000002,1.3599179252778097,11499.816873875501,0.1216586031426043,8.367604102050091,117876.00000000064,13492.00000000007,0.23000000000000126,92.07688715597618,31.90000000000017,25.40000000000013,2.700000000000015,36408824.00000019
