date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,male_smokers,life_expectancy,population
2020-10-31,48375.6114150334,710.2564406256797,594.336970205686,661.0078193393647,6.635898186168648,5.175426551699376,4.680000000000024,1.4338408991063394,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,65.13637978551957,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-01,49126.67813141087,751.0667163774705,631.2846201882021,668.2144617895924,7.206642450227662,5.635083488435175,4.680000000000024,1.4171080498953672,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.94266428322508,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-02,49909.63613572694,782.9580043160711,668.5425406098017,675.8796407830486,7.66517899345615,6.1155567986146915,4.680000000000024,1.4012209857085345,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.77832497389272,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-03,50725.5919046395,815.9557689125555,706.064812050759,684.0292199214825,8.149579138434078,6.616267146472342,4.680000000000024,1.3863299280338266,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.65165614153793,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-04,51577.39396080032,851.8020561608239,743.759042457592,692.7165335577903,8.687313636307795,7.135847580280901,4.680000000000024,1.3726118610221398,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.56105723220395,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-05,52468.062745972005,890.668785171686,781.5070803241262,701.997419560716,9.280886002925754,7.672156208804741,4.680000000000024,1.360234267453743,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.5012845207917,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-06,53399.613025865634,931.5502798936334,819.1805495772911,711.911493888379,9.91407432766298,8.222285708639768,4.680000000000024,1.3493279307131276,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.46346339059386,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-07,54372.170693769054,972.5576679034199,856.65250074147,722.4681065184185,10.556612630039432,8.782570454718368,4.680000000000024,1.340002250555856,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.43509754294548,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-08,55383.31037326805,1011.1396794989951,893.80614931176,733.6358083956022,11.167701877183761,9.348591868188112,4.680000000000024,1.3323693349757173,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.41382315720921,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-09,56418.20693961499,1034.8965663469369,929.7977446599688,745.2600818946343,11.62427349903199,9.914287469337609,4.680000000000024,1.326515850617698,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.39085896454566,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-10,57477.97306185418,1059.7661222391957,964.6281612745513,757.3557595463808,12.09567765174654,10.478071128829338,4.680000000000024,1.3224599325657318,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.36545934945975,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-11,58569.24010666867,1091.2670448144986,998.8377899927605,769.9733161045185,12.617556558137654,11.039524904475932,4.680000000000024,1.3201814070842879,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.3420069232132,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-12,59701.048017946,1131.8079112773269,1033.286542559213,783.1716968392174,13.198380734698931,11.599085986049275,4.680000000000024,1.3196481755459262,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.32783195388382,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-13,60882.51272645248,1181.464708506478,1068.9888550448154,796.9979387574039,13.82624191818647,12.15781190388733,4.680000000000024,1.3207699067079273,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.33157693891005,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-14,62121.07670708896,1238.5639806364861,1106.9899404109565,811.471886517957,14.473947760553257,12.71720443534926,4.680000000000024,1.32338399111692,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.36197003449936,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-15,63421.196896832655,1300.1201897436886,1148.2729779326535,826.574729368107,15.102842850149937,13.27907753465676,4.680000000000024,1.3272420980565025,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.42690512768456,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-16,64766.45979285729,1345.2628960246398,1192.6110556860788,842.1193954423711,15.544666074264057,13.838777608006165,4.680000000000024,1.3320844500776081,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.53275189036597,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-17,66162.1856332662,1395.725840408915,1240.6052482933264,858.1297211131306,16.010325670759478,14.397593225397017,4.680000000000024,1.337599213447025,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.68383831984309,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-18,67622.48345571898,1460.2978224527778,1293.3237906156012,874.694608223343,16.56488711021249,14.96102943747054,4.680000000000024,1.3434285632850123,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,64.88206264421336,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
2020-11-19,69164.68818972082,1542.2047340018353,1351.951680712188,891.9267092379675,17.232101014624487,15.536782420701506,4.680000000000024,1.3491586881392619,11194.000000000055,11850.000000000064,0.09000000000000047,11.300000000000061,0.6300000000000033,17139.000000000087,3250.0000000000173,0.03000000000000016,65.12660225142126,32.40000000000016,42.50000000000022,73.00000000000037,10358078.000000056
