date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-05-01,134690411.372469,281075.5871561378,305611.94939871744,1084180.4703268923,684.1902831947166,720.6781466189025,50.070660119955086,193.82820297286247,74.21517903728129,247758.66853567358,246481.07963827925,1.727534103340759e-07,450146793.00000226
2022-05-02,134965028.59189236,274617.21942334156,297861.9612124192,1084855.4145098766,674.9441829842737,709.2305776435574,50.10970064911312,193.88411570734587,74.21792855721122,246584.8620352397,246971.92275391985,1.2956505775055693e-07,450146793.00000226
2022-05-03,135233056.54416186,268027.95226951037,290173.23478875885,1085520.8755882913,665.4610784146768,697.8981426702901,50.14873847972438,193.9396241108264,74.22065359308628,244699.36485222197,246980.13944746996,9.71737933129177e-08,450146793.00000226
2022-05-04,135494160.66427866,261104.12011680668,282568.66412599094,1086176.0502432561,655.1746549648547,686.680805936138,50.18764855921158,193.99454629902183,74.22331388582968,242322.5417063937,246440.38680926152,7.288034498468827e-08,450146793.00000226
2022-05-05,135748041.30612773,253880.64184907914,275088.4930494063,1086820.0407367423,643.9904934860854,675.5811173803526,50.22633321966732,194.04875216124142,74.22588328121141,239661.1177697762,245342.5243829646,5.4660258738516205e-08,450146793.00000226
2022-05-06,135994612.68082416,246571.3746964412,267779.32757842547,1087452.2088331012,632.1680963589088,664.6005878736621,50.264737632914745,194.10217627348467,74.22836042470956,236890.25227368026,243737.1990241339,4.099519405388716e-08,450146793.00000226
2022-05-07,136234137.06047288,239524.37964870484,260685.895201919,1088072.441240212,620.2324071108113,653.7369706402184,50.30281631453745,194.1547698909573,74.23074106837066,234091.46237914544,241714.7968117336,3.0746395540415365e-08,450146793.00000226
2022-05-08,136467325.43098834,233188.3705154559,253844.8643346975,1088681.3486903415,608.9074501294893,642.982222324056,50.34049749770019,194.2064769010883,74.2330094211876,231286.45917931737,239361.65866245277,2.3059796655311523e-08,450146793.00000226
2022-05-09,136695883.59095317,228558.15996480812,247264.99877122382,1089281.6228138146,600.2741234730066,632.3150242091061,50.37765382786474,194.2572241916536,74.23516737616876,228523.2453864276,236781.45466264465,1.7294847491483643e-08,450146793.00000226
2022-05-10,136919848.9765861,223965.38563294703,240970.34645172133,1089873.0287942667,591.4059804522025,621.7356923649752,50.414246350213425,194.3069947436112,74.23723170536519,225933.49625701556,234100.6378457233,1.2971135618612733e-08,450146793.00000226
2022-05-11,137139028.80217153,219179.82558540866,234981.16155049135,1090454.7792556887,581.7504614218934,611.2465113551802,50.45032147888509,194.35586758324195,74.23920723086627,223698.78659159844,231440.11734680086,9.72835171395955e-09,450146793.00000226
2022-05-12,137353191.93470898,214163.13253747308,229307.23164719332,1091025.9873667841,571.2081110955094,600.8490475435353,50.48598561465839,194.40397470165283,74.24111502237412,221827.37200575473,228892.4497424862,7.296263785469663e-09,450146793.00000226
2022-05-13,137562212.7999007,209020.86519172823,223942.87310530478,1091586.0066692396,560.0193024554401,590.5421340739418,50.52137560401261,194.45149395448811,74.24297734628942,220435.10198427757,226541.72252018104,5.472197839102247e-09,450146793.00000226
2022-05-14,137766179.31164193,203966.5117412431,218863.17760596657,1092134.6859489253,548.6792796857953,580.3203596052309,50.55660135394683,194.49857069211072,74.24483110280056,219355.8788637741,224436.64710991632,4.104148379326685e-09,450146793.00000226
2022-05-15,137965473.81913888,199294.50749694745,214021.1970483666,1092672.5603892973,537.8744403719749,570.172934862295,50.59171491332703,194.54530568553452,74.24670105819297,218258.0197166738,222575.4435903561,3.078111284495014e-09,450146793.00000226
2022-05-16,138161513.3903563,196039.57121741027,209375.6841914142,1093202.3663650192,529.8059757217744,560.1062627175043,50.62673511841487,194.59180489440328,74.24859075809215,216899.52994587668,220914.9116358831,2.3085834633712606e-09,450146793.00000226
2022-05-17,138354247.60235047,192734.21199418273,204914.0877256553,1093723.841548168,521.4751831487976,550.1164152023177,50.66165347197218,194.6381064180555,74.25049882163967,215243.7689687808,219387.80706240065,1.7314375975284456e-09,450146793.00000226
2022-05-18,138543249.95352453,189002.3511740471,200603.01967885712,1094236.0543834935,512.2128353253997,540.1827879692892,50.696450672822124,194.68422186266923,74.25243116212513,213317.06803233895,217904.70141832632,1.2985781981463343e-09,450146793.00000226
2022-05-19,138727959.34256762,184709.38904310827,196395.3417391043,1094737.9020351977,501.8476517041345,530.2745092057976,50.731109013020024,194.7301542767695,74.25438655840713,211174.48381352404,216382.86289309215,9.739336486097506e-10,450146793.00000226
2022-05-20,138907861.17765957,179901.83509196294,192235.47999712097,1095228.4838470204,490.5818118227039,520.3552463193456,50.76558483022404,194.77586263711842,74.25637055875374,208731.66572051824,214710.95432883684,7.30450236457313e-10,450146793.00000226
2022-05-21,139082623.20837414,174762.03071457683,188063.41100301227,1095707.381437303,478.89759028267173,510.38681095153316,50.7997988359842,194.82127092741894,74.25836906321538,205925.91073188864,212792.40782807587,5.478376773429847e-10,450146793.00000226
2022-05-22,139252197.3996066,169574.19123244222,183817.65130882052,1096174.8687702864,467.4873329834976,500.33186273853744,50.833651971202826,194.8662865827655,74.26037682973225,202722.23207929812,210573.04177926664,4.108782580072385e-10,450146793.00000226
2022-05-23,139417168.90214533,164971.50253874686,179379.35562964407,1096633.2092053827,458.34043509638263,490.12281108105304,50.867087717897995,194.91086522796,74.26239525966193,199172.70878798063,208040.6703939202,3.0815869350542885e-10,450146793.00000226
2022-05-24,139577322.39461178,160153.49246643914,174724.9670578829,1097082.0310313818,448.82182599908134,479.74401894427456,50.90012121828782,194.95500477100256,74.26441974791398,195488.93765110208,205218.5775691961,2.3111902012907164e-10,450146793.00000226
2022-05-25,139732434.87975025,155112.48513845267,169883.55764699995,1097520.5157105126,438.48467913085653,469.2116205430482,50.93274734551943,194.99867503914425,74.26644280059298,191777.07319631,202141.44658995487,1.7333926509680373e-10,450146793.00000226
2022-05-26,139882399.67240176,149964.7926515126,164920.0439879974,1097947.8314984646,427.31578795189216,458.5643341855673,50.96492379291469,195.0418170421251,74.26845637323088,188132.01514286947,198849.66382094088,1.300044488226028e-10,450146793.00000226
