date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,male_smokers,life_expectancy,human_development_index,population
2022-02-12,55734.690817320545,19.686426547208306,32.626613551636154,396.3827526343374,0.4205735131837911,0.5438815385447185,107233.65591266529,0.2188870551993502,432.7888478560483,324.00000000000193,0.12000000000000069,8.600000000000044,2071.8357748090266,0.1062127463834635,59.06050375648883,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-13,55751.595262311756,16.904444991207793,28.168051792686413,396.77484728118344,0.3920946468464733,0.5019145475736978,107266.18029649006,0.22030039159343667,422.05113007432504,324.00000000000193,0.12000000000000069,8.600000000000044,1965.0545298785887,0.09658910083478581,58.98764284645526,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-14,55766.63313063823,15.037868326469852,24.31498907075917,397.151707535872,0.3768602546888309,0.46504580079016394,107295.11333613627,0.22316339970671323,412.1387219362657,324.00000000000193,0.12000000000000069,8.600000000000044,1860.559821132279,0.0873022005452879,58.922049038526076,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-15,55780.029825354315,13.39669471608705,21.00286122776235,397.51515427827815,0.3634467424064103,0.4331873887309557,107320.88870362143,0.22751136684532292,403.48688862953225,324.00000000000193,0.12000000000000069,8.600000000000044,1761.9754896371878,0.07872293353760206,58.86383251257273,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-16,55791.93500637845,11.90518102413705,18.181170969302705,397.86412912176667,0.34897484348871244,0.4059113883484758,107343.7943452663,0.2334021094908122,396.6960367048582,324.00000000000193,0.12000000000000069,8.600000000000044,1672.7156023604073,0.07120509608080342,58.81254099722859,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-17,55802.46479712393,10.529790745478362,15.803414910881372,398.1960606422306,0.33193152046398144,0.38251224197241096,107364.05368687489,0.2408442453372433,391.7260985801417,324.00000000000193,0.12000000000000069,8.600000000000044,1595.5799790812316,0.06501274255187606,58.76713554753368,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-18,55811.733439471995,9.268642348055128,13.819528862540484,398.50788904986996,0.3118284076395184,0.36205354153102165,107381.88653761914,0.24981757314320435,388.13510533997646,324.00000000000193,0.12000000000000069,8.600000000000044,1532.4413191525546,0.06031401715954382,58.725972378168116,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-19,55819.87703500162,8.14359552962571,12.170221792348165,398.7968346930268,0.28894564315691773,0.34340311671710955,107397.5547679527,0.26023890707136615,385.4141993454267,324.00000000000193,0.12000000000000069,8.600000000000044,1484.0070721052064,0.05716440750443492,58.6867892383773,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-20,55827.07135091192,7.19431591030914,10.782726299012264,399.0609744360603,0.26413974303349336,0.32525935111249316,107411.39656804611,0.27198267093054507,382.9914281666874,324.00000000000193,0.12000000000000069,8.600000000000044,1449.7544799030825,0.055495800780233175,58.6671871130106,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
2022-02-21,55833.551476984925,6.480126073003354,9.559859365500317,399.29967394275354,0.23869950669334908,0.3056289024746417,107423.86426766368,0.28492995730262805,380.4582379532858,324.00000000000193,0.12000000000000069,8.600000000000044,1428.0390338122525,0.05511053836798038,58.6654872966197,25.70000000000014,4.460000000000024,16.500000000000085,72.98000000000039,0.6600000000000035,593162.000000003
