date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,extreme_poverty,population,excess_mortality_cumulative,excess_mortality
2022-06-17,1166645.4156485186,160.9641438810729,159.61807479620734,37188.10609364627,4.405230150730501,4.52752887084125,11.224026065127276,1.0845233878074911,30.34041342108209,4881.00000000982,3259.9839016823016,0.05174840670430446,20.174608832154767,30.83587089797917,296.94972346453085,306.74520723687635,5.407272513664539e-16,11.11000538200121,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.119295486768465,1.4885568307256305
2022-06-18,1166810.394461019,164.97881250033305,159.97980189547505,37192.44178742933,4.335693783054346,4.482201598185888,11.226814797714251,1.113572243505911,30.197585437498745,4881.000000007372,3220.069665111116,0.05355904258478951,19.61759851164034,30.83676995481234,296.6732331284567,302.44613878253807,4.0554543852484045e-16,11.110004036500923,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.08790914393408,1.4878461944727963
2022-06-19,1166980.684194182,170.28973316322677,161.3082631863124,37196.696951431775,4.255164002449137,4.434763189589648,11.229655862345172,1.143206978363113,30.12730995724498,4881.000000005536,3188.2445565256494,0.05549297295345971,19.039648463562216,30.837710107627444,301.61042473860755,299.27590983997436,3.0415907889363034e-16,11.110003027375708,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.05663741709733,1.487313217283171
2022-06-20,1167154.8452400144,174.16104583234278,163.44024570906225,37200.88598118862,4.189029756846554,4.381934059936262,11.232624249700072,1.1730138310574043,30.116361588812897,4881.000000004158,3163.521313321843,0.05752050540998822,18.44707797663096,30.838698316245605,313.07929021954544,298.0132995422307,2.2811930917022273e-16,11.110002270531796,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,25.0255225036763,1.4869134843909517
2022-06-21,1167333.8077987907,178.96255877632586,166.4608397439818,37205.00018401692,4.1142028283007255,4.321891559819688,11.235798019207841,1.2025394618515552,30.145566048013816,4881.000000003125,3144.9702836339206,0.05961096729278537,17.847349529661347,30.839737237969178,329.8453920344075,299.2425376818835,1.7108948187766705e-16,11.110001702898863,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.994590903521413,1.4866136847217875
2022-06-22,1167519.7838225919,185.97602380105528,170.53940598768926,37209.02059696556,4.020412948633435,4.252814597466582,11.239249451703893,1.2313611251540206,30.193794537857293,4881.00000000235,3131.517822615555,0.061732950744314403,17.24948758357441,30.840819111873365,350.93832650802983,303.51191295759924,1.283171114082503e-16,11.110001277174163,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.963866231478015,1.4863888349699144
2022-06-23,1167715.4900485873,195.70622599558817,175.864345053146,37212.925079269145,3.90448230358885,4.173229079968074,11.243051018965396,1.259099544576571,30.240691734032964,4881.00000000177,3121.9877851905003,0.06386871758312278,16.662259514442304,30.841938325039983,375.3609146720163,311.3001919903395,9.623783355618772e-17,11.110000957880638,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.93336959234527,1.4862201976560092
2022-06-24,1167923.5652739988,208.075225411365,182.59417459464322,37216.6936316885,3.768552419352922,4.082266994203598,11.247244146577003,1.285411924107931,30.268814118652017,4881.000000001334,3115.145040573552,0.06600302493588775,16.09430129387958,30.843090356117273,402.8252916924421,322.98332110975576,7.217837516714078e-17,11.110000718410495,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.903119631233775,1.4860937196705803
2022-06-25,1168146.1333123203,222.56803832161398,190.82083715154187,37220.31238601594,3.618754327442944,3.979860717533764,11.251853116396893,1.3100162798618162,30.265326075183534,4881.000000001008,3110.511107514848,0.06809163521775302,15.55768783207745,30.84427109842053,434.0006688339735,339.1303641354848,5.413378137535559e-17,11.110000538807887,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.873132340472182,1.4859988611815087
2022-06-26,1168384.4752104862,238.34189816590384,200.54218103107755,37223.77659720431,3.4642111883747138,3.866888750820011,11.256859779120568,1.332677045061199,30.223364304286854,4881.000000000762,3107.6296460853964,0.07008601794531229,15.06407712163406,30.845476467688375,469.5069345063256,360.1107983116982,4.0600336031516693e-17,11.11000040410593,44.400000000000226,44.70000000000024,1.500000000000008,6781955.000000035,24.8434206839256,1.4859277173147052
