date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_deaths_per_million,reproduction_rate,icu_patients,weekly_hosp_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,diabetes_prevalence,population,excess_mortality
2022-06-03,17334023.988704138,20553.596827158515,23024.79342476571,166356.36724428512,78.77575373678165,88.27201378611316,220965812.98098564,2790.319541053399,0.8185164641135594,244.6046564213521,2357.132928654936,173375.70336502336,185341.90617954003,0.1078920041405585,9.261541650216728,68.79292714551386,86.16259477143251,21722.84332833537,4.1221679904719146e-12,21.04663168284061,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,7.573265001072282
2022-06-04,17353977.78596898,19953.797264842084,22190.52235348058,166431.9561216433,75.5888773581778,85.19544375910664,221136291.53211963,2791.587413547002,0.8382611360618999,239.51417428110813,2322.035265334127,170478.55113398106,181271.0835131297,0.10780749696450112,9.257289075413043,68.82639219171467,86.16337254916274,20858.177260311022,3.0916259928539357e-12,20.814062320630807,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,7.161126883595798
2022-06-05,17373496.78382065,19518.997851669727,21449.279404250734,166504.7557790155,72.79965737222102,82.13076268358347,221304231.27696657,2792.8085420607076,0.8606766212771955,234.57313879098655,2293.723814870023,167939.74484693073,177540.59993284362,0.10808542233552855,9.225964544116357,68.85852394339825,86.16412863617728,20045.718061587526,2.318719494640452e-12,20.58273323045374,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,6.7505206636664745
2022-06-06,17392672.572222333,19175.78840168057,20785.74864481704,166575.47672437175,70.72094535625052,79.15614408767155,221470048.25268322,2793.9948554789544,0.8856931479229917,229.79174808160477,2272.673145573981,165816.97571664624,174194.41205370534,0.1087743123883628,9.167314390634145,68.88942366213831,86.1648883323367,19300.62999738653,1.7390396209803389e-12,20.35884048521913,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,6.350714996780244
2022-06-07,17411568.916400127,18896.344177795683,20208.147438848744,166644.17360662745,68.69688225571416,76.31035144002654,221634260.86515915,2795.1472742853666,0.9131470425841326,225.19363329779083,2259.304616775835,164212.61247591412,171276.66004221846,0.10989957721305636,9.08173983305319,68.91925698383719,86.16565639146337,18659.475503857633,1.304279715735254e-12,20.148364365207197,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,5.9703947294394695
2022-06-08,17430317.514061593,18748.597661465727,19731.87681653154,166710.89395739487,66.72035076741595,73.63404024453196,221797407.19127434,2796.266592268651,0.9427786723711973,220.82399032563816,2254.0977095114204,163146.32611517757,168806.10442080433,0.1114668613196179,8.970529179896563,68.94822198803959,86.16643476289306,18137.44809524942,9.782097868014405e-13,19.95659001598687,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,5.618661547125781
2022-06-09,17449085.94020039,18768.42613879486,19373.650021416135,166775.71600780074,64.8220504058788,71.16203713233247,221959991.79638106,2797.3541125919255,0.9742905330437517,216.70146074681455,2257.6589317780417,162584.60510674538,166793.55299239728,0.1135002752721958,8.834616341936009,68.97652411869623,86.16722329259655,17737.312542025324,7.336573401010803e-13,19.78774794185443,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,5.304690130239991
2022-06-10,17468053.605699766,18967.665499377363,19147.088920554692,166838.77705109963,63.06104329891467,68.917549180859,222122829.6818207,2798.4121248447236,1.0073169624848193,212.861664403033,2270.567954489643,162527.15602786146,165253.0866576789,0.1160353551290016,8.674981325618146,69.00434315366351,86.1680202490209,17448.747140843516,5.502430050758103e-13,19.644744375912502,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,5.037310514846866
2022-06-11,17487393.726285193,19340.120585425102,19059.421312103183,166900.29471463396,61.51766353430243,66.90782090309747,222286685.53093597,2799.4442628319953,1.0414242118442236,209.36161675734934,2293.2767738827497,162949.55499762547,164206.32523889613,0.11909067277855487,8.492931210761778,69.03182992504088,86.16882271747039,17250.94419532238,4.126822538068577e-13,19.528959057629297,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,4.824535107023511
2022-06-12,17507259.79923881,19866.072953613137,19109.003906023117,166960.58291380375,60.28819916979607,65.12087698954038,222452098.13583964,2800.455772915855,1.076108074849556,206.2828479914124,2325.9669857126473,163864.43544666795,163673.98552581097,0.122659148733884,8.291070418413943,69.05907590208716,86.16962689589218,17114.234697881595,3.0951169035514326e-13,19.440093566008038,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,4.673044187410496
2022-06-13,17527527.90043107,20268.101192262242,19265.048958767526,167020.17474191415,59.591828110378806,63.53137348229758,222619201.98969516,2801.4555808181167,1.1108391362923076,203.69330923208577,2368.752566369169,165225.65888946143,163655.98714047996,0.1267141417701934,8.072893957960435,69.08614758590612,86.17042831671563,17018.314016300683,2.3213376776635744e-13,19.376057569464038,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,4.587640283415021
2022-06-14,17548302.692259334,20774.79182826265,19533.398911383367,167079.1528243738,58.97808245964262,62.1432993424925,222787643.84888124,2802.445064249661,1.1450723063239512,201.61970719878985,2421.4338817904554,166953.53875339235,164127.2078084953,0.13122775241685017,7.842450041838145,69.11311020462037,86.17122201323173,16951.92279406135,1.7410032582476808e-13,19.33288351323251,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,4.571444498275557
2022-06-15,17569814.415865503,21511.723606167932,19928.131387319067,167137.51109533294,58.35827095914704,60.94898614229285,222956887.5425436,2803.4241131516965,1.17829113989164,200.07723999831694,2483.7543706188635,169270.77822470837,165034.64806710216,0.13615045232168763,7.604017557235115,69.13997082411825,86.1720026443777,16891.22612915948,1.3057524436857607e-13,19.30466263492441,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,4.626925210441368
2022-06-16,17592340.54622365,22526.130358148934,20464.946377755005,167195.19797890136,57.686883568423056,59.92987793897569,223126025.4931879,2804.391855548973,1.2100530349445884,199.05324350875736,2555.2549182356447,172169.94913394845,166311.18737547228,0.14142263238929437,7.361503794946384,69.1667059784637,86.1727519832834,16810.096115938803,9.793143327643205e-14,19.283496976193334,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,4.755521615837313
2022-06-17,17616147.033455737,23806.48723208944,21156.20663060135,167252.14877506183,56.95079616048026,59.05710868047619,223293799.33841094,2805.3472019396913,1.2400585221683655,198.57430561152952,2635.5264181531434,175593.16897715844,167876.71827885718,0.14697389090476998,7.118324032376572,69.19325556658865,86.17347785300889,16688.539717852636,7.344857495732404e-14,19.26762273214503,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,4.957459500731995
2022-06-18,17641444.233818397,25297.200362657943,22007.217942246458,167308.30994910526,56.16117404343719,58.291935259549206,223458642.34349823,2806.2892535879337,1.2681161282132185,198.66041569862801,2724.214545353711,179431.82369473076,169644.16217391365,0.1527257316885971,6.877518072763369,69.21962768011288,86.1742076140619,16569.637577659054,5.508643121799303e-14,19.255717049108796,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,5.231711187558424
2022-06-19,17668353.857943006,26909.624124611473,23013.439376368136,167363.657348707,55.347399601744094,57.58606230439049,223619012.45547467,2807.2176087429907,1.2940993779957268,199.30786833505726,2821.1449749493536,183800.65805870187,171553.44281660224,0.15859681977485143,6.64182956944002,69.245845356077,86.17494756575016,16461.951583373593,4.131482341349477e-14,19.246787786831625,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,5.576063610449046
2022-06-20,17696505.782435946,28151.92449294152,24139.69961711777,167418.09390034754,54.436551640545375,56.84946560353535,223773230.04394957,2808.1306511273824,1.317869297556267,200.5083414581452,2926.1177809857754,188530.04916781466,173544.77997929096,0.16447282491517246,6.414410315412279,69.27194445661829,86.17570081652347,16372.777520755815,3.098611756012108e-14,19.240090840123745,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,5.987267488056575
2022-06-21,17726040.529732607,29534.747296661582,25391.121530711673,167471.59760690277,53.50370655523134,56.06719648771946,223919582.32974657,2809.0280108083716,1.33930242565589,202.2568378647792,3038.9317908136736,193423.38425789104,175563.7681939061,0.17023373956550047,6.198333593055661,69.29798468376956,86.17646808168813,16305.666479286987,2.323958817009081e-14,19.235068130092834,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,6.462048639867357
2022-06-22,17757282.70408681,31242.17435420277,26781.185575635605,167524.25507330918,52.65746640640418,55.25249885253821,224056768.34249446,2809.9111378735743,1.3582767546006784,204.52818108119618,3159.364761015884,198590.60718178318,177565.07756753714,0.1757759834071573,5.9960756634407515,69.32400952123062,86.17724828169284,16258.798744403855,1.7429691127568108e-14,19.231301097569652,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,6.996495501970896
2022-06-23,17790614.719823375,33332.015736563575,28324.883108197337,167576.2337096363,51.97863632710443,54.436667933844575,224183871.3348931,2810.7828377296837,1.3746996473984745,207.30258377469835,3287.1709851122737,203970.43822408817,179523.19754216896,0.18101960875769535,5.809698958311016,69.35003929994052,86.1780389908431,16230.92447847098,1.3072268345676081e-14,19.228475823177263,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,7.585800613457591
2022-06-24,17826382.09752754,35767.37770416806,30033.58136169104,167627.76088339102,51.52717375470137,53.66144438929753,224300120.66831625,2811.646922576517,1.3884930613407132,210.58259393962135,3422.0340565459105,209426.64720394232,181421.35113012407,0.18587960637434806,5.641220566503146,69.3760879752787,86.17883677383703,16216.53594127084,9.804201259257061e-15,19.226356867382975,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,8.22426758078764
2022-06-25,17864822.43618705,38440.338659509434,31911.172180770594,167679.10828374582,51.347400354810844,52.97330985952332,224404745.06012565,2812.5079500125466,1.3996055749324923,214.3700256098553,3563.712614161216,214798.62420386204,183246.77572639097,0.1902817151233599,5.492794868962693,69.40214888385084,86.17963743816716,16210.335795642874,7.353150944442796e-15,19.22476765053726,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,8.905517150638302
2022-06-26,17906012.142298684,41189.70611163279,33951.18357222959,167730.58019471006,51.47191096423361,52.419208638986454,224497155.41330725,2813.3710269890516,1.4080181760280719,218.71312037093418,3712.0277702524627,219929.47634617417,184961.02198548516,0.1941742792319837,5.365674044417567,69.42823027956567,86.18043622342188,16217.126394243489,5.514863208332097e-15,19.22357573790297,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,9.622842614109963
2022-06-27,17949420.629639357,43408.4873406736,36130.692305061064,167782.22864958804,51.64845487799105,52.02046077788245,224577000.69643843,2814.2370241202675,1.4137563598814307,223.62813374943562,3866.7303299517966,224623.69337792444,186529.36555181612,0.19753714122747867,5.259685397566575,69.45438085447073,86.18122794326142,16248.750548753098,4.136147406249073e-15,19.222681803427253,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,10.369677209451268
2022-06-28,17995211.468544994,45790.838905634555,38452.990948414474,167834.20435726235,51.975707674330465,51.80174910635955,224644348.38688958,2815.1084699324797,1.4168822343583924,229.12462325971765,4027.2681579357345,228835.17234436807,187922.65115158056,0.20036358636663384,5.173691003572483,69.48062322973485,86.18200709189996,16297.04280813886,3.102110554686805e-15,19.22201135257047,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,11.142437840600335
2022-06-29,18043720.741825707,48509.27328071274,40919.719298414995,167886.79269910406,52.588341841720776,51.79148312905868,224699855.34013516,2815.990158364037,1.4175472607720283,235.16361935170522,4192.867763571394,232705.23977863838,189121.16720983956,0.20268251524362466,5.105339358044592,69.50697501764706,86.1827679239671,16358.355587035003,2.3265829160151037e-15,19.221508514427878,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,11.937154957234831
2022-06-30,18095313.372206412,51592.6303807027,43528.37854911836,167940.32980228562,53.53710318154923,52.01377782837133,224744436.4090448,2816.8877388441374,1.415925151461376,241.71715536704366,4362.585502704409,236096.09874154217,190118.40690382465,0.2045377429291635,5.052257588992403,69.5334356911604,86.18350451440402,16424.164153107562,1.744937187011328e-15,19.221131385820932,47.90000000000025,2.00000000000001,4.780000000000025,59037472.00000032,12.748106891118498
