date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,cardiovasc_death_rate,female_smokers,population
2022-02-27,782588.296197612,3223.5514937084886,3720.7639619758065,7896.7746277306815,15.939829972139929,16.81985922132919,21.722390648762495,0.8239074633310276,9169.897668359268,9540.177462821946,0.27607163752266817,3.77663232989912,49185.22668846467,0.10265069910916455,40.5725390353397,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-02-28,785683.4789032198,3095.1827056078087,3565.1933460778514,7912.41626491567,15.64163718498732,16.558397971265173,22.449654169506616,0.8140930086165653,9059.271231230678,9412.31664592061,0.26544868612519473,3.95152563721103,49518.937453323364,0.10455379679470485,40.51205618342145,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-01,788647.367774701,2963.888871481232,3410.1468621763634,7927.7378289388635,15.321564023194293,16.269550902495443,23.153129444195287,0.804774992402955,8953.924270223279,9291.007523225213,0.25480338595782653,4.142619664236657,49430.86343259117,0.10626925839111606,40.469380696066466,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-02,791471.7239402706,2824.356165569557,3256.466858493944,7942.708365240034,14.970536301170789,15.956906551144389,23.83026037153878,0.7959763638885133,8863.042297690095,9177.520719988412,0.24417089758084598,4.350440830918288,48960.7629105779,0.10778226053541864,40.439529057925796,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-03,794148.3496617328,2676.6257214622387,3105.0468940320648,7957.300779424542,14.592414184507716,15.62515130960912,24.479133096088788,0.7877191830650608,8783.8576928862,9072.27016184006,0.23360506394193728,4.574794100887495,48159.51562184752,0.10907683761229459,40.415838616327406,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-04,796673.104553993,2524.7548922602246,2956.694179897032,7971.501538026724,14.20075860218171,15.279819202956697,25.09861135360232,0.7799960776672517,8715.54377063428,8975.211654993502,0.22315467061320826,4.815058083745784,47086.8087267283,0.11014586350333874,40.3968085032928,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-05,799048.917749691,2375.81319569808,2812.0264102944643,7985.317944082433,13.816406055708699,14.927104221222066,25.688378302347402,0.7728092754450099,8658.451961783092,8886.295182744816,0.21288087044536216,5.070312631975474,45807.6182127903,0.11096120758225533,40.381301755620925,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-06,801288.0470226768,2239.129272985586,2671.39438577515,7998.783593808443,13.46564972600908,14.5737195686315,26.248908218865125,0.7661515590401256,8613.178822662476,8806.747114272586,0.2028191854778486,5.34048657482195,44387.7819207434,0.11149805500795862,40.36845110663172,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-07,803420.8899373383,2132.8429146616227,2533.9169470559937,8011.983897683428,13.200303874985174,14.22498957951178,26.7813855920739,0.760004587185719,8578.373709757048,8738.032135963018,0.19302130572118564,5.624264413986543,42888.89733260673,0.11175153091337055,40.357588329973844,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-08,805447.2364413694,2026.3465040311257,2399.981952858255,8024.918078401561,12.934180718132886,13.88392689698033,27.287584766130447,0.754362845689872,8550.973591949343,8680.454531836527,0.18356122815966774,5.920097146947576,41362.706887625754,0.11173656350500222,40.34815343235439,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-09,807364.5003433101,1917.2639019406056,2270.3969391104038,8037.576988019022,12.658909617461996,13.553647499819945,27.769635361004745,0.7491923023346319,8533.51227217792,8633.369260221945,0.17449154167566572,6.226221858271455,39848.005569727124,0.11148778138763998,40.33984616670282,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-10,809170.9521644003,1806.4518210902334,2146.0859578880736,8049.952311150025,12.375323131002137,13.236837434819726,28.230075491110973,0.7444740586837479,8523.837840203265,8596.21710353751,0.16583423479585743,6.541308281227842,38382.34386701743,0.11104731632515161,40.332415491219805,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-11,810868.1437774707,1697.1916130704242,2027.862206619031,8062.043467363823,12.091156213797838,12.935352866030778,28.671674207676702,0.7401782654090627,8515.076424754916,8567.575174130197,0.15762163601932377,6.863521611696587,36999.04291965549,0.11045565531109075,40.32565050012144,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-12,812462.72688611,1594.5831086392777,1916.2574999868998,8073.862787982478,11.819320618654793,12.649920111707974,29.097240499695143,0.7362582950490411,8503.29164306523,8545.407721903412,0.1498909199685977,7.191180316723324,35724.970554318264,0.10975689985435894,40.31937362169747,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-13,813967.8168840407,1505.089997930656,1811.3943738589553,8085.439398679177,11.576610696699577,12.379910672016292,29.50942221381471,0.732671581661701,8488.967180909147,8527.663758460538,0.1426804718122597,7.523039406902557,34578.87825510526,0.10899059021074349,40.31343551685493,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-14,815407.8300353652,1440.013151324529,1712.4183691143219,8096.8700305866405,11.430631907463288,12.126954012415595,29.910497413431536,0.7293721413206142,8481.049383742635,8513.763058018007,0.13599031507445025,7.858569147937112,33570.169712660594,0.10818557355657102,40.30771125302587,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-15,816784.8902059045,1377.0601705392937,1619.6629120975404,8108.154656100949,11.284625514307889,11.891160887462972,30.302160067184232,0.7263065785179341,8480.566142525799,8503.711062097875,0.12980026701042738,8.19751768189661,32697.988225025543,0.10734280007693067,40.302084829556144,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-16,818099.2693512621,1314.3791453576068,1533.5363183653353,8119.263600349802,11.108944248853103,11.66960127322491,30.685328495304645,0.7234127069976952,8483.163278516855,8496.526557724032,0.12409567537094286,8.539416541965457,31951.606052414965,0.10645813431755594,40.29997748771338,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-17,819351.2519164858,1251.9825652237657,1454.3262975975326,8130.1538411802685,10.890240830466603,11.457318278771314,31.060736779180072,0.7206070415604896,8485.633900387329,8491.077707562588,0.11886361173182719,8.88262963336486,31314.962716428265,0.10550213338199387,40.30104064648968,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-18,820542.5331358141,1191.2812193282975,1382.0533322802457,8140.781234149596,10.627392969327019,11.248088579796018,31.428949539320918,0.7178489463287392,8488.393961166397,8487.273180478029,0.11406690724748074,9.225808682683647,30768.42093842014,0.10444059486519625,40.30254923082724,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-19,821677.2677574855,1134.7346216714022,1316.360711718266,8151.109681268316,10.328447118721199,11.034992743832161,31.790373711421203,0.715130407225547,8493.341560079723,8485.857664931902,0.10966200978273415,9.568873318735438,30290.593693472547,0.10323736276169629,40.33359792829178,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-20,822762.856587346,1085.5888298605341,1256.4320575443571,8161.118007557583,10.008326289267156,10.810842974163727,32.14526807098861,0.712448484152193,8498.50120884455,8487.225730922597,0.10561350798346314,9.911250981294645,29860.225861571806,0.10189376221348309,40.38681981014908,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-21,823812.8342957143,1049.9777083682525,1200.7128502041646,8170.835370568005,9.717363010421614,10.56598290935584,32.49375106940181,0.7097894982143396,8502.971203983132,8490.363819846774,0.10190664036057745,10.251082062732474,29458.112043237717,0.10040674699947896,40.43220276969977,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-22,824828.5646681347,1015.7303724203406,1149.0945051385806,8180.240070266027,9.404699698023075,10.297316044331051,32.835807403538155,0.7070968101507362,8506.305439186455,8494.046765983994,0.09852144762660645,10.58646603961563,29069.043971019146,0.09877484046938959,40.42745185103054,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-23,825810.1837467388,981.619078604203,1101.5575975029349,8189.303711393779,9.06364112775132,10.005024848374351,33.17134765718778,0.7042734802698081,8511.44344590569,8498.091651734292,0.09541338694813854,10.915946814779613,28683.889830235956,0.09700259124409145,40.32577214619151,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-24,826757.6903795446,947.5066328057713,1058.0613143198334,8198.002896667516,8.699185273738516,9.69191262464535,33.50025767243193,0.7012232097498683,8514.08326316231,8502.158444683084,0.09255923219559012,11.23894298115583,28295.07818392458,0.09509130994890583,40.08165377027717,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-25,827671.7641324295,914.0737528848726,1018.4605435937872,8206.327996676473,8.325100008956127,9.362909904812403,33.822361333093966,0.6978238391158929,8512.00166844479,8505.532327371408,0.08993105957009283,11.554700125330367,27896.174248803203,0.09304311077454311,39.65530335291802,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-26,828554.3787231112,882.6145906817551,982.4436911471838,8214.289727306978,7.961730630505082,9.024704245028188,34.13745798615352,0.6939359142431908,8507.895546744076,8507.613434280991,0.08751406714040101,11.862586179970643,27482.226064753697,0.09087493165880015,39.01590463168921,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-27,829409.2620966333,854.8833735219832,949.4860432472669,8221.924082810561,7.634355503583411,8.685462572911423,34.44535281642284,0.6894008691019157,8494.400958700602,8507.030033693949,0.08530895048458335,12.160061806923702,27050.002321674554,0.08860383933879964,38.14406389716709,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-28,830243.7666920625,834.504595429142,918.7044062234281,8229.302338126032,7.378255315470373,8.351194376354552,34.745881936169795,0.6840428948775042,8469.26623292333,8502.217725658322,0.08331057517759405,12.444168850344703,26598.13931397735,0.08624699715115866,37.033644076721515,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-29,831058.4688458096,814.7021537470354,889.9862784878695,8236.426737434225,7.124399308192963,8.025320798426234,35.038933510950926,0.677697167926067,8432.787376696388,8491.718061535285,0.08150458619896811,12.713333489730104,26127.226996795263,0.08383262989310407,35.69310248223414,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-30,831853.1672452181,794.6983994085322,863.2834603203312,8243.300337497141,6.873600062915901,7.712340469537203,35.3244776172838,0.6701969224862447,8386.294233233355,8473.841842854772,0.07990219530533478,12.963535993186415,25640.136650311415,0.08139564242629227,34.14312178733822,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-03-31,832627.5674830421,774.4002378240149,838.5540553242831,8249.931491002635,6.631153505493333,7.416797368959634,35.60251650320207,0.6614153066028874,8335.840713709773,8448.380913492092,0.07848223794635736,13.194099958690737,25140.310681010906,0.07897433362967406,32.41777831529362,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
2022-04-01,833381.795473304,754.2279902620005,815.7189715190699,8256.337209072932,6.405718070296478,7.142506720966663,35.873074640768486,0.6512759272695549,8282.70728059585,8415.626813108738,0.07722076055414434,13.405828685889437,24631.511662988334,0.07662053690615997,30.56848580498996,33.60000000000018,15525.000000000084,137.9700000000007,6.400000000000032,5180836.000000028
