date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations_per_hundred,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,female_smokers,male_smokers,hospital_beds_per_thousand,population
2020-11-16,2587.237408328287,9.994964299970315,9.35195710528178,67.33863499884811,0.07927852979747121,0.09360068626722073,0.03000000000000016,1.1909549304857725,960.000000000005,0.0,22.22000002272772,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-17,2597.462138340595,10.224730012308068,9.550481726828188,67.41742162728744,0.07878662844054049,0.08803438671075825,0.03000000000000016,1.208275021393743,960.000000000005,0.0,22.220000017045823,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-18,2607.9708442208666,10.50870588027179,9.775210357823159,67.49516059667769,0.07773896939116824,0.0835826743252472,0.03000000000000016,1.2258447599043911,960.000000000005,0.0,22.2200000127844,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-19,2618.826484814005,10.855640593138572,10.02786445873584,67.57070787478696,0.07554727810995676,0.08006580341685082,0.03000000000000016,1.2436023805294587,960.000000000005,0.0,22.220000009588333,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-20,2630.0853290274435,11.258844213438303,10.309571097768767,67.64263982658159,0.07193195179513734,0.07718493756587028,0.03000000000000016,1.2614920245696881,960.000000000005,0.0,22.22000000719128,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-21,2641.785376861084,11.700047833640479,10.620227773876042,67.70948471802936,0.06684489144816302,0.07455030627718237,0.03000000000000016,1.2794501431848633,960.000000000005,0.0,22.22000000539349,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-22,2653.9376751797536,12.152298318669292,10.958026034026958,67.76989634395198,0.060411625922903195,0.07170232246806786,0.03000000000000016,1.2974358620751394,960.000000000005,0.0,22.22000000404515,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-23,2666.189552441703,12.251877261949625,11.280737043296575,67.8227842489143,0.05288790496253943,0.06795094999584736,0.03000000000000016,1.3154102837573909,960.000000000005,0.0,22.220000003033896,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-24,2678.5893524372927,12.399799995589579,11.591708729466632,67.86741139289138,0.0446271439772375,0.0631261084244874,0.03000000000000016,1.333301087090831,960.000000000005,0.0,22.22000000227545,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-25,2691.394325252343,12.804972815050316,11.91994605905862,67.90346740051866,0.03605600762740131,0.05725860846768688,0.03000000000000016,1.3510275283110147,960.000000000005,0.0,22.22000000170662,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-26,2704.968142129306,13.573816876963258,12.308410740156944,67.93112349802969,0.027656097511113364,0.05052992920144393,0.03000000000000016,1.368510303634685,960.000000000005,0.0,22.220000001279995,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-27,2719.704031613144,14.73588948383753,12.80524599952626,67.95107371595932,0.020742073133335023,0.04323455097348117,0.03000000000000016,1.3856590690317687,960.000000000005,0.0,22.220000000960027,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-28,2735.967131660734,16.263100047590523,13.457195165449498,67.96456579117127,0.015556554850001268,0.035751705085314514,0.03000000000000016,1.4023432028727294,960.000000000005,0.0,22.220000000720052,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-29,2754.05125372293,18.08412206219583,14.304665604856377,67.97342434337855,0.011667416137500951,0.028524186053804898,0.03000000000000016,1.4183731099761392,960.000000000005,0.0,22.22000000054007,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-11-30,2773.267884377528,19.216630654597775,15.299698945077342,67.97628674492897,0.008750562103125713,0.02150044400059931,0.03000000000000016,1.433562476308868,960.000000000005,0.0,22.220000000405086,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-12-01,2793.873376114436,20.605491736908284,16.472014674224972,67.97402178138589,0.0065629215773442846,0.016125333000449483,0.03000000000000016,1.4477440938185955,960.000000000005,0.0,22.220000000303845,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-12-02,2816.6159887761996,22.742612661763346,17.891757127194293,67.96994749311773,0.004922191183008214,0.012093999750337113,0.03000000000000016,1.4607772041713178,960.000000000005,0.0,22.220000000227916,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
2020-12-03,2842.4579353442737,25.841946568074334,19.644429674742874,67.9687340522883,0.005533918758943298,0.009070499812752835,0.03000000000000016,1.4724990311181476,960.000000000005,0.0,22.22000000017097,17.60000000000009,43.70000000000024,1.600000000000008,23.90000000000013,0.400000000000002,22673764.00000011
