date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,life_expectancy,population
2020-05-04,13.991744304055413,0.05524955351906105,0.08404568371616104,1.9974330188807268,0.0012511069870437216,0.0031656528688062758,303.5008956801088,948.3594043276264,133.72127811612557,99.06040080994295,0.01659378428660296,217.5247961608289,76.74000000000039,49574.000000000255
2020-05-05,14.050934924874158,0.0598760791664452,0.07201163835273168,1.9980747641605476,0.0009383302402827912,0.002374239651604707,304.7847225034563,1093.7310432263296,145.38198961489016,110.49885587571856,0.014254323347466773,214.09039737918692,76.74000000000039,49574.000000000255
2020-05-06,14.121911600895459,0.07149076978207386,0.06597042882919006,1.9985560731204135,0.0007037476802120934,0.0017806797387035303,306.3241853811479,1249.8522255354574,156.1289453462681,121.95240628946529,0.012606708897154711,208.58251038086752,76.74000000000039,49574.000000000255
2020-05-07,14.212700668997407,0.09117463842252845,0.06643386557793658,1.9989170548403128,0.00052781076015907,0.0013355098040276478,308.2933904902893,1415.672265467045,165.8258622094428,133.20415604224465,0.011450506785988216,201.4894296505507,76.74000000000039,49574.000000000255
2020-05-08,14.331018714417759,0.118607223160788,0.07361612316535301,1.9991877911302374,0.0003958580701193025,0.0010016323530207358,310.8597274184608,1589.6433555320903,173.97545677343663,143.98661735488994,0.01058125436227721,193.5195237569824,76.74000000000039,49574.000000000255
2020-05-09,14.483218786944562,0.15241695583212983,0.0873239217211384,1.9993908433476806,0.0002968935525894769,0.0007512242647655519,314.16101049597273,1769.77257805825,180.1324975574533,153.99170832967775,0.009882288541585101,185.41086292116302,76.74000000000039,49574.000000000255
2020-05-10,14.673500063059121,0.1904439385935548,0.10687416301031104,1.9995431325107633,0.00022267016444210767,0.0005634181985741639,318.2883347950569,1954.2412790511248,184.47115726634496,162.93232358727153,0.00930021026527093,177.7238291559662,76.74000000000039,49574.000000000255
2020-05-11,14.904575596744913,0.2311975305450373,0.13211619110065534,1.9996573493830754,0.00016700262333158077,0.00042256364893062293,323.30055846539466,2142.00435941763,187.7649225716077,170.6502769503117,0.008805474441034656,170.87874452372986,76.74000000000039,49574.000000000255
2020-05-12,15.179546758967886,0.27506265986740813,0.16290727907209818,1.9997430120373094,0.00012525196749868557,0.0003169227366979672,329.26495844180664,2332.729416945256,190.72643918145332,177.12293718914,0.008388042482359713,165.0521223876263,76.74000000000039,49574.000000000255
2020-05-13,15.49863873761637,0.3191606018818108,0.19827418910368622,1.999807259027985,9.393897562401417e-05,0.00023769205252347538,336.1864227744712,2525.7571790631805,193.02879835829452,182.38714471473827,0.008041516671078133,160.22475759550338,76.74000000000039,49574.000000000255
2020-05-14,15.85927317085936,0.3606859006679845,0.2366919055640289,1.9998554442709913,7.045423171801062e-05,0.00017826903939260652,344.0090255488565,2720.2335597983592,194.47715791545676,186.47103080496154,0.007762229940283399,156.05001616042864,76.74000000000039,49574.000000000255
2020-05-15,16.25612262216523,0.39688805187461546,0.27629268482913083,1.999891583203246,5.284067378850797e-05,0.00013370177954445488,352.6172080756701,2915.5927845869774,195.3598076738262,189.51555493953268,0.0075595522225040904,151.9240715902635,76.74000000000039,49574.000000000255
2020-05-16,16.68115143656577,0.4250577648271,0.31502284264576597,1.9999186874024373,3.9630505341380976e-05,0.00010027633465834116,361.83666478332066,3111.557888375597,195.96554095252569,191.7658194043912,0.007438894936108847,147.8260934470611,76.74000000000039,49574.000000000255
2020-05-17,17.12364638285422,0.442516659108367,0.3507603446540084,1.9999390155518308,2.9722879006035732e-05,7.520725099375588e-05,371.4350076372648,3308.1669133728474,196.60935287017995,193.48693727468992,0.007401569392126894,143.72385095148866,76.74000000000039,49574.000000000255
2020-05-18,17.576542156242176,0.45291205800289847,0.3821088816320713,1.9999542616638757,2.2292159254526798e-05,5.640543824531691e-05,381.258978740231,3505.5804371304816,197.41376966233145,194.85191918096922,0.007445811821082899,139.64808213734,76.74000000000039,49574.000000000255
2020-05-19,18.035670999857807,0.45914105707683517,0.408031887468398,1.9999656962479095,1.67191194408951e-05,4.230407868398768e-05,391.21817296920096,3703.619377621623,198.03912491966418,195.88299239154492,0.0075565631321340984,135.60994977365803,76.74000000000039,49574.000000000255
2020-05-20,18.49370541537496,0.4580435756130569,0.4274626680253457,1.999974272185935,1.2539339580671325e-05,3.172805901299076e-05,401.15364313995883,3902.2853315355514,198.6660922353205,196.67368579333578,0.007697803732423146,131.8455392533206,76.74000000000039,49574.000000000255
