date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,total_vaccinations_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,aged_70_older,extreme_poverty,female_smokers,life_expectancy,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
2022-07-09,1448477.087764211,464.1302798487448,521.5890808298683,3395.2799486375175,9.692721279420219,8.699623372530342,55.907868338251134,0.8744779460340725,467.0000000000042,26.857213094169055,352.78180618387546,210.34005704121722,1940.998996502091,1722.0384057886442,0.3195283195850613,3.1081857406017512,79.92339806288695,2800.753851145696,2409.483071329199,7.469577757893386e-20,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3200.650471223777,3.106183749158412,14.474128449367145
2022-07-10,1448920.1454611693,443.05769695831094,503.87521899344256,3405.302042926107,10.022094288589097,9.01763155654709,55.95861230734066,0.857138840908878,467.00000000000387,26.746562050749645,350.6694671136666,210.39364879254862,1941.499247376571,1722.2788043414855,0.3196462396887964,3.106139305451318,79.92436949092745,2914.925052224823,2539.3812272202385,5.60218331842004e-20,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3217.2525786925626,3.1189758855598284,14.667145949177934
2022-07-11,1449345.8932426148,425.74778144530126,485.20611317850205,3415.5673208177263,10.2652778916196,9.33143278182533,56.01135903658185,0.8424388107075161,467.0000000000035,26.58126930793945,347.6689878594909,210.44910165582093,1941.874435532431,1722.4591032561164,0.31973467976659775,3.1046044790884926,79.92526871483435,3015.8892804420548,2664.7772746491846,4.2016374888150297e-20,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3234.5247087447015,3.1323938404788607,14.996309849730919
2022-07-12,1449753.794140108,407.90089749315547,465.88196125750346,3426.0817769739974,10.514456156271276,9.64047213000185,56.06572758383595,0.830284505574271,467.0000000000033,26.363761566327234,343.8178388722713,210.50604521407027,1942.1558266493262,1722.5943274420895,0.31980100982494875,3.1034533593163736,79.92610699831076,3097.0793391292186,2781.9401473249663,3.1512281166112724e-20,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3252.473636831409,3.146442462268837,15.441589345466095
2022-07-13,1450143.2577253156,389.46358520777915,446.2691503225722,3436.870673389844,10.788896415846008,9.944847310171086,56.12128825413431,0.8205007094974464,467.0000000000032,26.097054714315135,339.1586834297603,210.56406170628668,1942.3668699869972,1722.6957455815693,0.319850757368712,3.1025900194872844,79.92690167730461,3155.56949141867,2887.6630613663856,2.3634210874584543e-20,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3271.0863930127944,3.161106248770152,15.977092230726708
2022-07-14,1450514.0818848098,370.8241594940701,426.7504175253815,3447.9641879771,11.093514587256209,10.245171358517148,56.17768176913992,0.812839494631166,467.00000000000307,25.785737752884785,333.7507652734011,210.62282019697452,1942.5251524902505,1722.7718091861793,0.31988806802653447,3.1019425146154678,79.92767625797858,3194.971187730135,2979.6972798644833,1.7725658155938407e-20,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3290.3221153801564,3.176342545567368,16.572379150882345
2022-07-15,1450866.784151166,352.7022663561703,407.68747070706183,3459.3866510022226,11.4224630251222,10.542469663037844,56.23468165652535,0.8070040553625158,467.00000000000296,25.43638753296633,327.6747324646089,210.68212597513906,1942.6438643676906,1722.8288568896369,0.3199160510199013,3.101456885961605,79.9284357649126,3223.352275736197,3057.4682087671454,1.3294243616953804e-20,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3310.110017138132,3.1920803693288224,17.19435265201579
2022-07-16,1451202.8502012887,336.066050122655,389.39295387063294,3471.1484724145676,11.761821412345224,10.838102732087709,56.29219078344128,0.8027087622717264,467.00000000000284,25.057556602259638,321.0325384056184,210.74188261968683,1942.7328982757708,1722.87164266723,0.3199370382649264,3.1010926644712082,79.92918396654171,3246.6277168215447,3121.1634060905544,9.970682712715352e-21,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3330.351938931727,3.2082234499581137,17.809577329532694
2022-07-17,1451524.9202301542,322.0700288654241,372.1094212853281,3483.240087342605,12.091614928037217,11.133708270785256,56.35016102552545,0.799694952440706,467.00000000000284,24.659440884144665,313.94365073375525,210.80205837717654,1942.7996737068308,1722.9037320004247,0.31995277869869526,3.1008194983534105,79.92992368919212,3267.5259265948316,3171.5329618077394,7.478012034536514e-21,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3350.9283401070097,3.224656436854498,18.38692330096338
2022-07-18,1451837.7669664123,312.84673625798894,355.98115209845025,3495.6337177370815,12.393630394476542,11.437624124873057,56.408560329583736,0.7977508523395804,467.00000000000284,24.253307230658628,306.5384911207758,210.8626152114541,1942.849755280126,1722.9277990003209,0.3199645840240219,3.1006146237650625,79.9306570526085,3286.946917473601,3210.2532119828293,5.608509025902386e-21,11.110000000000065,20.70000000000011,39.70000000000021,10.810000000000056,0.200000000000001,19.600000000000104,82.40000000000043,5434324.000000028,3371.7068691720524,3.2412534782549693,18.900452171908732
