date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,diabetes_prevalence,life_expectancy,population
2022-04-11,11357.089347670553,47.295535262605235,49.415320239876394,54.40296454161262,0.08614821248130905,0.05806244549311685,291588.72932141164,1396.774387884146,0.9638061994493461,158.00000000000085,0.060000000000000345,30.0318017462958,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-12,11403.908461948795,46.81911427824035,48.7093644526934,54.498328771432554,0.09536422981993477,0.06642918706101424,292790.791296489,1399.2226695491813,0.9570742682036883,158.00000000000085,0.060000000000000345,29.983869409269403,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-13,11450.13881252496,46.230350576165776,48.02491070215748,54.602980579867314,0.1046518084347638,0.07531510296544408,293977.73706060246,1401.909445600802,0.9504795860913584,158.00000000000085,0.060000000000000345,29.94170522437291,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-14,11495.625117797099,45.486305272137315,47.349937389901946,54.71656963011711,0.11358905024979637,0.08439356704308774,295145.5798067645,1404.82572204805,0.9440371297753721,158.00000000000085,0.060000000000000345,29.906013889191165,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-15,11540.210758192701,44.585640395602724,46.6675097651156,54.838267558722364,0.12169792860525311,0.09334042415109425,296290.29837204213,1407.9502285108294,0.9377702519856997,158.00000000000085,0.060000000000000345,29.877125155096387,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-16,11583.76897685398,43.5582186612787,45.95802308013928,54.96672587912589,0.12845832040351987,0.10185599684635255,297408.6383039189,1411.2483373495106,0.931712627580097,158.00000000000085,0.060000000000000345,29.854955049257043,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-17,11626.226280151815,42.457303297833676,45.20088495716334,55.1000444093445,0.13331853021860648,0.1096815903949456,298498.71266006626,1414.671253012135,0.9258975928570197,158.00000000000085,0.060000000000000345,29.838976791144503,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-18,11667.708559499786,41.4822793479713,44.370558675855754,55.23700809692441,0.13696368757992144,0.11678834211747635,299563.7536165756,1418.1877737927166,0.9203501500403097,158.00000000000085,0.060000000000000345,29.82819897991304,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-19,11708.13804535207,40.42948585228428,43.45792530941288,55.376915736558935,0.13990763963452113,0.12301885839806222,300601.7644625937,1421.7798933697495,0.9150930908754178,158.00000000000085,0.060000000000000345,29.821149234934822,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
2022-04-20,11747.397506218336,39.25946086626562,42.46228334857555,55.51835260720273,0.14143687064379667,0.12816459628723464,301609.73532981577,1425.4112821798674,0.9101268640518457,158.00000000000085,0.060000000000000345,29.81586192620116,19347.500000000102,5.4600000000000275,86.75000000000043,36491.00000000019
