date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,total_boosters_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_70_older,female_smokers,male_smokers,population
2021-07-16,2499677.106560819,38616.68583288862,33707.60885121137,65556.41369095298,854.7917302513081,744.452983253437,8964.861641211548,1.277894476331121,2.01000000000001,146177.4450966227,136041.89590123895,0.2784890807042402,3.6320966279787488,806092.3309849533,816648.3015291805,0.240371086664799,71.61860050405389,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-17,2539730.577512732,40053.47095191281,35312.68396549326,66453.98032315988,897.5666322069053,781.156144841501,9108.509463293936,1.2582531132276573,2.01000000000001,148730.570215486,139480.25046503736,0.2807523955314126,3.5994829428651265,799944.1766485416,814077.0305101703,0.23849599437804367,71.61317581436889,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-18,2580943.6995372674,41213.12202453583,36844.16438249105,67392.84383965508,938.8635164951934,818.2569129297697,9256.316280728384,1.2371736746104667,2.01000000000001,151037.29803976597,142665.3986600258,0.2824469727959419,3.57443605976682,793760.4194288766,810234.0014055765,0.23601097445192348,71.60873819561839,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-19,2623017.9676232194,42074.26808595203,38278.71462235638,68361.631296031,968.7874563759215,855.389907224801,9407.211564780304,1.214968652855072,2.01000000000001,153132.25796744588,145580.8803460215,0.28357537180768727,3.5571247177404395,788466.0897332616,805397.2855402856,0.23285389987578844,71.60510988459365,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-20,2665874.3329087566,42856.36528553713,39593.5299901998,69361.73035631553,1000.0990602845283,892.554450457387,9560.911824199333,1.191940290546283,2.01000000000001,155008.3688957527,148216.75148446785,0.2841366031931931,3.5477045596369443,784144.8721480403,800109.6835799083,0.22909356000703557,71.60201324731734,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-21,2709374.4903247515,43500.157415995185,40760.67421760143,70397.99083446365,1036.2604781481102,929.9370038094282,9716.921043650484,1.1683556703984017,2.01000000000001,156568.99409262923,150567.5551130279,0.28412006713309823,3.5460903137160775,780903.6538686267,794970.0500798903,0.22483616871245216,71.59908895940536,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-22,2753340.6170163536,43966.12669160214,41754.3156979458,71476.38194291313,1078.3911084494812,967.826245584933,9874.601474722363,1.1444986532512915,2.01000000000001,157678.2165617152,152619.03348086035,0.28356031537891263,3.5519109802773667,777665.6141086463,790139.5366226208,0.2201064413371836,71.59623106990965,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-23,2797570.1761591667,44229.559142812854,42556.15466292289,72602.23522900137,1125.8532860882437,1006.5493802132648,10033.226729183352,1.1206870151485542,2.01000000000001,158349.19330363956,154357.86121277866,0.282491988311819,3.5648543728938735,774633.8279053384,785645.4635367792,0.21488138239267465,71.59337514470771,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-24,2841847.019821383,44276.84366221636,43159.493564903925,73778.92677727796,1176.691548276592,1046.424370001579,10192.021598923728,1.0973189135915398,2.01000000000001,158719.95549809188,155784.92346291326,0.2809253907167347,3.5848479548481738,771165.7839380547,781534.2630533611,0.20921404261221796,71.59049273538932,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
2021-07-25,2885949.7161103855,44102.69628900234,43572.28986372326,75006.88886123912,1227.9620839611628,1087.7241089491497,10350.191920912268,1.0747875045213873,2.01000000000001,158847.17295841075,156900.6277296997,0.2788968549315398,3.6115238135828065,766852.7240556751,777690.3049984898,0.2031503509636886,71.58756412167784,145.72000000000077,29.300000000000164,3.0500000000000163,2.800000000000014,76.10000000000039,275501344.00000143
