date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,female_smokers,male_smokers,hospital_beds_per_thousand,population
2020-10-08,112987.5749132817,486.3917925348412,477.26203334819684,2114.617103254274,5.749373252673228,6.349495513317324,0.05000000000000025,0.0,0.9650959144363814,3576.857383873694,3476.4274408161355,0.1403417969215672,7.290336829028902,385.000000000002,385.000000000002,0.010000000000000054,74.50061028981902,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-09,113478.8946788205,491.3197655388175,478.8017328327385,2120.22454366566,5.607440411385989,6.116360807580115,0.05000000000000025,0.0,0.9671411019552771,3582.3094298466676,3498.3681565655647,0.14103398182175092,7.2442005855725915,385.000000000002,385.000000000002,0.010000000000000054,73.73457956610386,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-10,113974.3366684562,495.441989635691,481.9652159141473,2125.702118156488,5.477574490827799,5.927769151257168,0.05000000000000025,0.0,0.968787791560189,3580.950689062446,3517.999275148807,0.14170761306314597,7.1979371230837845,385.000000000002,385.000000000002,0.010000000000000054,72.95286615486242,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-11,114472.54390405725,498.20723560104176,485.9399503971496,2131.066068255378,5.363950098890086,5.772330257108043,0.05000000000000025,0.0,0.9700501196882427,3574.394594043122,3533.758829341572,0.14219667618391432,7.161767321950858,385.000000000002,385.000000000002,0.010000000000000054,72.17501079908163,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-12,114972.87526805603,500.33136399877816,489.904355978212,2136.35616075844,5.290092503062207,5.63589539806698,0.05000000000000025,0.0,0.9709915328818912,3562.5115132979145,3544.42818794025,0.1423811852245552,7.142634476595668,385.000000000002,385.000000000002,0.010000000000000054,71.42195299265327,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-13,115474.85691969117,501.9816516351541,493.5566806876028,2141.575475449247,5.219314690806681,5.515049376604541,0.05000000000000025,0.0,0.9717019560609026,3547.481550293415,3549.5913736636608,0.14216904987510695,7.145789690672359,385.000000000002,385.000000000002,0.010000000000000054,70.7138858821759,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-14,115977.26316488165,502.4062451904904,496.582416462697,2146.7155755591425,5.14010010989558,5.406237743507065,0.05000000000000025,0.0,0.972303777970048,3527.3779532824447,3548.8772729756106,0.1415438850146045,7.172273748288701,385.000000000002,385.000000000002,0.010000000000000054,70.06864744330623,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-15,116478.47458762392,501.2114227422544,498.6996423405593,2151.7627805704587,5.0472050113163265,5.305893724566311,0.05000000000000025,0.0,0.9729064049061087,3507.5584003205972,3543.033310258539,0.140516834252227,7.222450301520349,385.000000000002,385.000000000002,0.010000000000000054,69.50051386302275,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-16,116976.7466485397,498.2720609157736,499.69303185238203,2156.7028708189264,4.940090248467859,5.210533415596686,0.05000000000000025,0.0,0.9736188793098349,3488.9133865365097,3532.973528265984,0.13915249317462616,7.29238879272075,385.000000000002,385.000000000002,0.010000000000000054,69.01929457632339,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
2020-10-17,117470.41113378698,493.66448524727036,499.4393585693131,2161.524615945484,4.821745126557753,5.116827178698168,0.05000000000000025,0.0,0.9745330024041616,3472.739984957332,3520.0103821400226,0.13749058190424066,7.379786100035078,385.000000000002,385.000000000002,0.010000000000000054,68.62965354374879,27.600000000000147,1.600000000000008,8.500000000000046,19.1000000000001,1.600000000000008,11228821.000000056
