date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,gdp_per_capita,median_age,aged_65_older,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,life_expectancy,population
2022-04-13,1983678.3012990945,1332.9048891010189,1484.7219985357651,15845.016532328169,8.564883535543519,9.208798439530533,9297725.80024946,0.7866792019287321,26.960794324171033,11035.02913470571,11705.386962042721,0.10878668364673999,9.31216885407408,27.367267072040338,1098.3249393505455,603.8443851562325,1.2984496404113179e-09,36.13800840144434,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-14,1984958.2516530566,1279.9503539621587,1432.5785653207008,15853.313352704456,8.296820376285963,8.989680600817918,9308535.779130224,0.784461890134333,26.325896324899478,10809.978880764269,11482.904394124169,0.10658322540473839,9.49028048670942,27.367338059132333,1097.3796694251914,603.6332888671752,9.738372303084884e-10,36.19169117503289,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-15,1986184.7050940292,1226.4534409725902,1380.628958088782,15861.315395911686,8.002043207230642,8.756125188816423,9319121.570983104,0.7832339418412163,25.803649780843358,10585.791852880908,11259.579281372069,0.10452032144527984,9.660373584165885,27.367391299451327,1096.6707169811757,603.4749666503823,7.303779227313663e-10,36.24954827784873,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-16,1987359.835397771,1175.1303037417258,1329.5049465885659,15869.009817780585,7.69442186890069,8.509284583273608,9329482.577461647,0.7829939760964919,25.385930612943476,10361.0064785424,11035.28066335615,0.10263894825913777,9.81821166840885,27.367431229690574,1096.139002648164,603.3562249877875,5.477834420485247e-10,36.27929598537432,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-17,1988489.229828874,1129.394431102999,1279.809447497987,15876.403064692926,7.393246912341331,8.25183221573576,9339620.053248156,0.7836704982326803,25.064997410257092,10137.475786508623,10810.530310057527,0.10095561714134765,9.960531731267867,27.36746117737001,1095.7402168984054,603.2671687408415,4.1083758153639356e-10,36.24415363091831,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-18,1989584.2096211738,1094.9797922994549,1231.7662884353858,15883.53502314803,7.131958455102807,7.984216113967312,9349539.302638134,0.7851517101321713,24.83467242744075,9919.249389978442,10586.838214120406,0.09948723645006388,10.085482832064361,27.367483638129585,1095.4411275860862,603.2003765556319,3.081281861522952e-10,36.10755866210281,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-19,1990645.316217176,1061.1065960022265,1185.705552945804,15890.396774794788,6.861751646756978,7.707247411913761,9359255.48416995,0.7872786177639648,24.689401217801024,9716.18153181804,10366.276769834014,0.09824616424769672,10.192559118230573,27.367500483699267,1095.2168106018469,603.1502824167247,2.310961396142214e-10,35.83670293322874,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-20,1991672.462486091,1027.146268915052,1142.0255672626834,15896.981550068316,6.58477527352928,7.424302721184844,9368786.093201812,0.7898348521400399,24.606595192600963,9530.609031862896,10151.361665934024,0.0972255087707759,10.28250110984295,27.367513117876527,1095.0485728636672,603.1127118125444,1.7332210471066605e-10,35.40868912623059,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-21,1992665.8364734915,993.3739874005757,1101.0858735724178,15903.290170308208,6.308620239891634,7.140265825633309,9378143.608072026,0.792543398316408,24.57475893485153,9357.514870212633,9943.87179890108,0.09640070882436519,10.357268527921981,27.367522593509474,1094.9223945600327,603.0845338594091,1.2999157853299954e-10,34.80521949496387,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
2022-04-22,1993626.5792135573,960.7427400656236,1063.1269599627665,15909.335129347208,6.044959039000827,6.860733952288985,9387336.634383056,0.7951266825446761,24.581133842379792,9193.026311030528,9744.913706965093,0.09574332411989006,10.41990194539205,27.3672588204537,1094.827760832307,603.0634003945577,9.749368389974966e-11,34.015486049794376,14048.880000000074,41.200000000000216,17.37000000000009,439.42000000000223,10.080000000000053,37.7000000000002,40.20000000000021,76.0000000000004,6871547.000000035
