date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_70_older,diabetes_prevalence,hospital_beds_per_thousand,population
2022-06-17,882321.3665506714,2420.8292277782875,2657.515409130518,8288.331379956548,3.630220902239513,3.641413470891162,38.88751333439616,78.95014691145765,0.9325704489416518,9477.38509986969,11586.993897708173,0.19630477014670833,5.09818416338411,5235.059073528442,0.008306245032854816,19.872238850712748,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-18,884653.453048105,2332.086497433589,2580.732283415442,8291.93499262741,3.603612670861928,3.6383214153855707,38.97324115094955,78.95595779186743,0.926709349311282,9100.822998571748,11259.314912615338,0.19455566229005739,5.140233145162524,5082.732944448213,0.008073251971150495,20.014970185222694,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-19,886902.9452159443,2249.492167839254,2502.023615276517,8295.502941303148,3.5679486757385646,3.629484274208866,39.05651893690323,78.96161763284704,0.9215536667992352,8770.550183641168,10937.18687935486,0.1929262813006073,5.180124761910038,4925.183612667129,0.0077019978018922925,20.157238304721833,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-20,889085.6567949589,2182.7115790145435,2422.66343172242,8299.021646830637,3.518705527489125,3.6120383834200673,39.137468702169585,78.96712616365716,0.9170537439585098,8484.799224673356,10629.020395456688,0.19140140134391082,5.217995963158457,4767.787321652906,0.007222361311988071,20.294961049161962,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-21,891200.8441799309,2115.187384971964,2343.3816222727487,8302.486661755182,3.4650149245438038,3.5855546440615003,39.21613099379873,78.97248983929114,0.9131676512138739,8250.229438974753,10342.715684439976,0.18998188487994372,5.253972085491022,4613.534689688296,0.006672911901896684,20.421685557395094,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-22,893247.7786908641,2046.934510933242,2265.26576647832,8305.900548999009,3.4138872438280257,3.5513151427099956,39.29244957049454,78.9777183814077,0.9098426097743368,8069.510298364882,10083.838314719782,0.18867855974916298,5.2878821022566065,4463.3554613515535,0.006089363952279015,20.530039054924178,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-23,895227.1778772314,1979.3991863673548,2189.5177020403844,8309.271290870147,3.3707418711386383,3.5117706168902907,39.366226479745556,78.98282229176586,0.9070147950812386,7939.366159455637,9856.506467132287,0.18747191270133598,5.319752882445533,4315.925952833321,0.00548218133524999,20.612804339674092,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-24,897142.27899616,1915.1011189287183,2117.2709509000388,8312.611095819073,3.3398049489260586,3.470133554135079,39.43748530906585,78.98780353201133,0.9046091893943174,7848.798078975492,9661.361589198614,0.18635377292289945,5.349329852525818,4170.4404568680475,0.004866484094520884,20.66376211060563,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-25,898999.6441210709,1857.3651249108266,2049.4537888052837,8315.935503506204,3.324407687130877,3.430073016280047,39.506243910694074,78.99267165353349,0.9025625804749572,7786.329651668604,9495.11926882205,0.18537069491518712,5.37522298732585,4025.6640692185906,0.004259268371472437,20.678297988901246,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-26,900809.7639731574,1810.1198520864837,1986.6865474863182,8319.262713602515,3.3272100963113167,3.3954857576851527,39.5732866822126,78.99744333137133,0.90090221977768,7741.9972387514645,9357.624567970784,0.18451089125749595,5.397672896602993,3885.7051947710906,0.003677321349709696,20.65385778385437,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-27,902591.1599546592,1781.39598150184,1929.356040866842,8322.620645415214,3.3579318126989093,3.372290950455207,39.63950319616407,79.00213471941696,0.8996624437602168,7708.747929063609,9247.406661272218,0.18375178512056242,5.416769539937708,3756.5222218701783,0.003135657463478137,20.59028894228641,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-28,904346.2439155754,1755.0839609162983,1877.913049557697,8326.015968870732,3.39532345551643,3.362078426157505,39.70581838890443,79.0067601955329,0.8988627022448568,7683.810946797717,9161.912914506212,0.1830825848003445,5.432838951979792,3645.1110426146615,0.0026463455539757663,20.490096635609472,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-29,906074.7495171612,1728.5056015857392,1832.4236155457797,8329.447141488225,3.431172617493824,3.364273428538625,39.77310903592993,79.01133049694376,0.8984943117515172,7665.1082100982985,9097.731873985684,0.18248550033264388,5.446481185542705,3558.9362392977814,0.0022050241945703844,20.35863582512342,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-06-30,907775.2015528688,1700.4520357077295,1792.5744753956008,8332.906623084506,3.4594815962813295,3.376676144448576,39.8421099420597,79.01585039833357,0.8985389626436326,7651.081157573735,9050.725796245577,0.18195898627081478,5.4581042634298225,3505.553585420335,0.0018165024704268195,20.199161904395275,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-07-01,909446.017939055,1670.8163861861,1757.6771351504522,8336.382536802725,3.4759137182194055,3.3958663520339156,39.91331241776009,79.02031604697265,0.8989643383369598,7640.560868180311,9017.282630959244,0.18149945948333113,5.468041675271146,3489.612167087234,0.0014892352885020803,20.016500549175603,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-07-02,911086.3362080094,1640.31826895438,1726.670926508284,8339.859914883891,3.477378081166175,3.417506906882584,39.987132480279215,79.02473676589109,0.8996663694605427,7632.670651135244,8994.077648720415,0.18110019254397886,5.4764982894204,3514.506555826096,0.001243784902058526,19.81715514685264,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-07-03,912696.6333777278,1610.297169718373,1698.1252989536133,8343.32163299551,3.4617181116180102,3.4365713566325313,40.064029247549016,79.02914009404167,0.9004790918982524,7626.7529883514435,8978.040427878397,0.1807752090492255,5.483246373820318,3577.685783062208,0.0010955730010429256,19.605314323940412,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-07-04,914280.0341315519,1583.4007538240114,1669.840711125361,8346.770539549489,3.4489065539785413,3.4495062485668404,40.14449330882647,79.03355443643156,0.9011978774240137,7622.3147412635935,8966.543976370995,0.18054149082053284,5.488233099692978,3675.6072914013803,0.0010419447798707539,19.383440009277248,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-07-05,915835.8240957563,1555.7899642044683,1641.37054934273,8350.19770104222,3.4271614927301934,3.4540918712990845,40.228963480557944,79.0380060310976,0.9015764946872746,7618.986055947706,8957.570587320275,0.18039351307338308,5.491426925610077,3803.804353489632,0.001076061041270229,19.15626730495408,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
2022-07-06,917363.5746329045,1527.750537148182,1612.6916132029128,8353.58276188381,3.385060841590313,3.447637261586794,40.31778168789566,79.04251608948823,0.901353347098198,7616.489541960789,8950.677940490219,0.18029513480503756,5.493570194207566,3957.2628481812253,0.0011847122321485368,18.92970775085521,29.700000000000152,5.030000000000026,8.330000000000044,2.3000000000000114,4408582.000000022
