date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,male_smokers,median_age,gdp_per_capita,extreme_poverty,diabetes_prevalence,female_smokers,population,excess_mortality_cumulative,excess_mortality
2020-10-03,449898.8325728666,8193.672960521322,6634.127479651874,58464.84444356412,47.19212363861348,39.731771390902665,20885370.238003265,857.5155016426919,1.408138075203334,318.29754304565,2484.48013566155,236155.54249281087,232510.17742940344,0.03198814716890104,36.68938902916036,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.415738198779753,2.5780171137809766
2020-10-04,458722.1875518225,8823.354978955971,7122.893636888239,58515.067269324754,50.22282576063441,42.079079674398784,21123059.99427494,858.2519135623369,1.4093671310631357,332.654492125867,2628.2567727222495,237689.756271677,233678.81086778658,0.03418438768760021,34.57205470011853,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.383214767378304,2.6554968366285614
2020-10-05,468077.47474596195,9355.287194139424,7642.434304266062,58567.52330267238,52.45603334762521,44.522130699561274,21362353.826006815,859.0211355596012,1.4092257361448004,347.0382349638255,2780.632204622493,239293.83173187706,234970.73029046535,0.03646214338367049,32.54856106387368,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.350999957240273,2.7208886261786
2020-10-06,477995.15677052585,9917.68202456386,8192.340618471053,58622.392606286856,54.86930361446818,47.06872536791602,21603346.348367456,859.8258145009886,1.407615165069171,361.5109483624948,2942.18667770734,240992.52236064052,236369.23385230315,0.038791016070396755,30.61528796015481,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.319064586085176,2.7743971465200934
2020-10-07,488522.9096916637,10527.752921137844,8769.128524131262,58680.174803777925,57.782197491071,49.743631614818796,21846161.591026757,860.6732773269385,1.4044306692123523,376.14827268105074,3113.4265629023585,242815.24265929777,237875.96898974484,0.04112396664232575,28.77427301601142,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.287388844956826,2.8174867739172234
2020-10-08,499703.20573351905,11180.296041855341,9367.060483919406,58741.47667490851,61.301871130585184,52.57799488112064,22090921.81245239,861.572416948017,1.3996087161949804,391.0609944267551,3295.298380483174,244760.22142563076,239492.23975135875,0.04341521156868686,27.03245815567375,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.2559821176035,2.853319623793725
2020-10-09,511556.50030854344,11853.294575024363,9978.761761129615,58806.8528520121,65.3761771035951,55.60139596691684,22337729.955331568,862.5313566670578,1.393168560417084,406.3812338614373,3488.949900423795,246808.14287917817,241216.46856594345,0.045634130072766024,25.39807826446058,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.22489322778155,2.886827583760895
2020-10-10,524068.62229023187,12512.121981688459,10595.682631609994,58876.68634230587,69.83349029375978,58.8358944218587,22586700.65137266,863.5556984957697,1.3851655282636874,422.1415168634348,3694.694002564135,248970.6960410905,243047.19517041786,0.04776470550544725,23.882198000220058,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.194213507501615,2.9245098511783265
2020-10-11,537181.3167176747,13112.694427442835,11208.44504271204,58951.09891962541,74.41257731954425,62.29156108788733,22837941.990549568,864.6472093921905,1.3756989684343544,438.3313315713001,3912.454971864931,251241.33917690744,244983.1231716082,0.04979411736437963,22.49760842259558,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.164074480981755,2.974024599114195
2020-10-12,550733.4119080048,13552.095190330045,11807.988741956478,59028.79106108307,77.6921414576609,65.89667372477146,23091507.678545695,865.7868149303755,1.3649616859249918,454.9749369460905,4142.15777705643,253565.6879961263,247021.94578853197,0.051704185308352676,21.257336892253754,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.134641510380806,3.0436262386052046
2020-10-13,564726.7772083153,13993.36530031058,12390.228986170028,59110.064481979156,81.27342089609002,69.66861098200792,23347434.368460048,866.9789324647511,1.3532007408496927,472.12986140381554,4383.926930077398,255926.68991435433,249155.38264456674,0.05347594117906679,20.172698855357112,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.106122420069767,3.1437701914666056
2020-10-14,579188.1550458624,14461.377837547112,12952.175260151136,59195.795355666734,85.73087368758155,73.66117122939552,23605745.60247629,868.2364023220616,1.3406848154950606,489.82218596882876,4637.10415036995,258311.23401624445,251369.0792426368,0.05510404702845014,19.24452898961094,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.078743398762748,3.2853115063758387
2020-10-15,594148.8807640357,14960.725718173284,13492.236580375167,59287.07011080314,91.27475513640383,77.94288520937708,23866460.31643385,869.5751483802029,1.3277001016019048,508.08722771191646,4901.557233656591,260714.71395756185,253648.27727296052,0.056595003597129545,18.466672437101572,1.2900000000000067,3.3900000000000174,165844.00000000087,165844.00000000087,0.2200000000000012,24.700000000000124,40.80000000000021,39753.24000000021,0.200000000000001,4.2800000000000225,20.000000000000107,67508936.00000034,12.052725477782024,3.4775511337065312
