date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,extreme_poverty,population
2020-09-07,7040.437806859318,18.09026347526296,19.242003224816255,306.3903989085161,0.0920174291161889,0.07454374845786377,0.03000000000000016,0.920505350798817,285.0963044821879,0.061108082042265074,16.690672551225955,228.00000000000122,0.0,29.123938429216423,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-08,7058.534318298991,18.096511439672845,18.809628469032383,306.49163563904744,0.10123673053138879,0.07912726835697262,0.03000000000000016,0.932845399653736,283.26657225304405,0.06131166915936534,16.64004222854554,228.00000000000122,0.0,28.33403559308236,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-09,7076.6565564359535,18.122238136962157,18.493569606460802,306.60148367821944,0.10984803917197422,0.08492463678809159,0.03000000000000016,0.943058742694408,281.191477347508,0.06178320241897464,16.52214867205559,228.00000000000122,0.0,27.498834387119494,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-10,7094.79448584669,18.137929410737158,18.284958394244462,306.7183558097316,0.11687213151214182,0.09151474455939465,0.03000000000000016,0.9506364939955974,278.81828480442584,0.062399619008801206,16.36505203409989,228.00000000000122,0.0,26.641679927379084,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-11,7112.917389918317,18.122904071627552,18.165667405896688,306.8399303996391,0.121574589907539,0.09834420321592624,0.03000000000000016,0.9555647977753031,276.1450807655693,0.06308138846474579,16.188354313228462,228.00000000000122,0.0,25.776850120065696,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-12,7130.980495573848,18.06310565553064,18.109239888617758,306.963335000764,0.12340460112490137,0.10478303928977292,0.03000000000000016,0.9580205601931464,273.1962863337119,0.06374268323608367,16.011912147332488,228.00000000000122,0.0,24.9112245325186,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-13,7148.929941816143,17.949446242294417,18.081587156282346,307.0852840560033,0.1219490552392806,0.11016646498769186,0.03000000000000016,0.9582555623555916,270.06777066495783,0.06432979846455478,15.853502630214965,228.00000000000122,0.0,24.057744837656593,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-14,7166.760707816545,17.830766000402157,18.04475112997843,307.2034426800119,0.11815862400864613,0.11382620620683243,0.03000000000000016,0.9564901526975289,266.83571810860883,0.06477853824725263,15.726421413514512,228.00000000000122,0.0,23.231505945630964,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-15,7184.446047992347,17.68534017580261,17.986226243411448,307.31635059436616,0.11290791435425461,0.11546015239268105,0.03000000000000016,0.9528742402503619,263.53742206561986,0.0650805100202812,15.636155749857947,228.00000000000122,0.0,22.4468243525652,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-16,7201.933744139067,17.48769614671947,17.89576955327613,307.42226617783706,0.10591558347092701,0.11490959393252001,0.03000000000000016,0.9474963395284322,260.20901354339753,0.06523717630965184,15.585111317887987,228.00000000000122,0.0,21.71503940210977,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-17,7219.163462596876,17.2297184578095,17.76619739766559,307.5195600082974,0.09729383046033822,0.11216862078875667,0.03000000000000016,0.9404457840580901,256.87881898107787,0.06527646012493452,15.568815712074706,228.00000000000122,0.0,21.052012583256563,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-18,7236.079772125431,16.916309528554304,17.593982889878173,307.60701001915174,0.08745001085430351,0.10739117147392058,0.03000000000000016,0.9319112611204919,253.5337102280518,0.06520589066577596,15.580375520319787,228.00000000000122,0.0,20.470537717985437,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-19,7252.641907309985,16.56213518455408,17.37970403877258,307.684022866659,0.07701284750724353,0.10089631978191113,0.03000000000000016,0.9220570722139966,250.1693195165466,0.06502578192951952,15.611663346768626,228.00000000000122,0.0,19.97931246754534,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-20,7268.831091115982,16.189183805998,17.12837983903421,307.75079995542455,0.0667770887655329,0.09317223983643344,0.03000000000000016,0.9110238965974734,246.81381898453375,0.06471277536116687,15.67014214485348,228.00000000000122,0.0,19.58216696216517,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-21,7284.70140495626,15.870313840277447,16.848461834673223,307.80846195751906,0.05766200209451171,0.08470270928908988,0.03000000000000016,0.8990353755832065,243.54270101926681,0.06424159509553587,15.771939187825653,228.00000000000122,0.0,19.277485273336897,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-22,7300.227556626061,15.526151669800866,16.540160209230535,307.8566696743453,0.048207716826216704,0.07564467902564101,0.03000000000000016,0.8864201968457771,240.41104968170964,0.06359974835785108,15.926761436764544,228.00000000000122,0.0,19.05777151802791,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-23,7315.369002957597,15.141446331536189,16.205144397388338,307.8954111116094,0.03874143726413571,0.06624029659954755,0.03000000000000016,0.8735396143440948,237.45436030588502,0.06277382548946144,16.139583036203035,228.00000000000122,0.0,18.909324436840286,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-24,7330.086529205927,14.717526248328955,15.846431989056141,307.92508128134807,0.029670169738664164,0.05677298263065618,0.03000000000000016,0.8607145039061007,234.69592536839272,0.061801280558595836,16.399923217682357,228.00000000000122,0.0,18.81199332763024,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-25,7344.35468358836,14.268154382432902,15.468305407435306,307.94654205344847,0.022252627303998122,0.04753448810421389,0.03000000000000016,0.8479318055313867,232.17861823443963,0.060701639151978626,16.72202870931868,228.00000000000122,0.0,18.738994995722706,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-26,7358.171103189017,13.81641960065792,15.076249417567448,307.96116704428846,0.01668947047799859,0.03880018734512875,0.03000000000000016,0.8349168567341908,229.91085443213254,0.05948582858828916,17.124328577884317,228.00000000000122,0.0,18.684246246792057,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-27,7371.563508387249,13.392405198231012,14.67690425774574,307.97087528321674,0.012517102858498943,0.030810547748665578,0.03000000000000016,0.8213679916133462,227.83999279565757,0.05817464939855373,17.615528269224512,228.00000000000122,0.0,18.64318468509407,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-28,7384.675620947849,13.112112560599586,14.283085109922123,307.978156462413,0.009387827143874207,0.02375723207846751,0.03000000000000016,0.807151882527076,225.86726027224447,0.056789034883433794,18.2009884772901,228.00000000000122,0.0,18.612388513820576,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-29,7397.4967124788345,12.821091530986228,13.89687087833689,307.9836173468102,0.007040870357905656,0.01781792405885063,0.03000000000000016,0.7923290056251077,223.91584597987855,0.05534387700291155,18.891429787185444,228.00000000000122,0.0,18.589291385365456,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-09-30,7409.970578961593,12.47386648275811,13.516014180084293,307.9877130101081,0.005280652768429242,0.013363443044137974,0.03000000000000016,0.7771581957185085,221.90474162776636,0.05383079075153732,19.698625669413033,228.00000000000122,0.0,18.57196853902412,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-01,7422.023069967812,12.052491006218565,13.135509342238414,307.99078475758154,0.003960489576321932,0.01002258228310348,0.03000000000000016,0.7621668045135107,219.7442963630358,0.052202440187117824,20.62853453971333,228.00000000000122,0.0,18.558976404268115,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-02,7433.582735572185,11.559665604373052,12.748768399697573,307.9930885681866,0.002970367182241449,0.00751693671232761,0.03000000000000016,0.7481234873541063,217.40999990640773,0.05043059549263319,21.689763865353875,228.00000000000122,0.0,18.549232303201112,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-03,7444.596311536939,11.013575964753622,12.348503093567636,307.99481642614035,0.002227775386681087,0.005637702534245708,0.03000000000000016,0.7360376704606357,214.9465755600582,0.048487135371899005,22.889769569991522,228.00000000000122,0.0,18.541924227400862,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-04,7455.040333200226,10.444021663287272,11.927386369949497,307.9961123196057,0.0016708315400108152,0.004228276900684281,0.03000000000000016,0.7272389832915023,212.45254640824692,0.04639023840675237,24.213232154869246,228.00000000000122,0.0,18.536443170550672,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-05,7464.92732488402,9.886991683793841,11.466661949407838,307.9970842397047,0.0012531236550081114,0.003171207675513211,0.03000000000000016,0.7230066453548591,210.00004329034837,0.04417858701450195,25.616257341749908,228.00000000000122,0.0,18.53233237791303,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-06,7474.228573818165,9.301248934144681,10.963752602973797,307.997813179779,0.0009398427412560836,0.0023784057566349085,0.03000000000000016,0.7242608017278453,207.69448948133623,0.041904140648723956,27.053841357960827,228.00000000000122,0.0,18.529249283434797,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-07,7482.939836957041,8.711263138876134,10.42607899650961,307.99835988483466,0.0007048820559420627,0.0017838043174761814,0.03000000000000016,0.7315598546895503,205.6822601297484,0.039637704710848126,28.480494140642612,228.00000000000122,0.0,18.523432760895453,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-08,7491.085242940803,8.145405983762798,9.86768432818377,307.99876991362646,0.0005286615419565471,0.001337853238107136,0.03000000000000016,0.7450756764082433,204.1323479738468,0.03747197601212773,29.852909390226678,228.00000000000122,0.0,18.514982133696826,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-09,7498.720218566311,7.63497562550795,9.306702806577398,307.9990774352203,0.0003964961564674103,0.0010033899285803519,0.03000000000000016,0.7644756325485884,203.16850790992643,0.03547437632066662,31.126302921790938,228.00000000000122,0.0,18.506442805831792,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-10,7505.933683640322,7.213465074011385,8.763461009264022,307.9993080764157,0.0002973721173505577,0.0007525424464352639,0.03000000000000016,0.7890937961632201,202.86645850193443,0.03373684235685424,32.240367139630266,228.00000000000122,0.0,18.50174548511078,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-11,7512.849697119392,6.91601347907028,8.259053901744407,307.9994810573122,0.0002230290880129183,0.0005644068348264479,0.03000000000000016,0.8179358933409038,203.26477600314794,0.03230392459246295,33.15135163138726,228.00000000000122,0.0,18.50541060058166,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-12,7519.599700118158,6.750002998766196,7.8104827340006215,307.9996107929846,0.00016727181600968873,0.00042330512611983594,0.03000000000000016,0.8497083841297903,204.4119627392714,0.03119077473070795,33.843807841187555,228.00000000000122,0.0,18.52195161559464,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-13,7526.225599264453,6.625899146295083,7.427843627746758,307.9997080947388,0.00012545386200726654,0.00031747884458987693,0.03000000000000016,0.8829755350268852,206.325552532799,0.030370295010539082,34.3188319636315,228.00000000000122,0.0,18.555427512600986,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-14,7532.778782512345,6.553183247891974,7.119098137746082,307.99978107105454,9.409039650544991e-05,0.0002381091334424077,0.03000000000000016,0.9164323623238175,208.99684701110567,0.029836544787316115,34.57659326813415,228.00000000000122,0.0,18.609107156751993,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
2020-10-15,7539.313708733009,6.534926220663657,6.888596550950165,307.9998358032914,7.056779737908743e-05,0.00017858185008180576,0.03000000000000016,0.9487352284332331,212.4000269842507,0.02954466780186398,34.64571741393195,228.00000000000122,0.0,18.685217568598283,4.290000000000022,20.300000000000104,3.1400000000000166,6.000000000000032,4736146.000000025
