date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_fully_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,gdp_per_capita,extreme_poverty,female_smokers,male_smokers,population
2020-09-25,61948.73199367148,1347.3211820277525,1296.7973121754414,456.56648098567234,11.733409591719246,11.087248498331746,1.1900000000000062,1.1181633156662039,10644.973207237186,10536.604295374382,0.12653593582854167,7.91539924795995,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.69263477087827,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-26,63321.91530100677,1373.183307335296,1314.1359553662307,468.5377243462362,11.971243360563854,11.29023485467966,1.1900000000000062,1.1243029974154592,10732.843318485437,10568.118266779671,0.12754497061736636,7.840460231057239,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.75590464958738,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-27,64723.28127213527,1401.365971128494,1332.7426610948107,480.7237683728,12.186044026563826,11.50282772472017,1.1900000000000062,1.1330745331294694,10840.023261326924,10617.25972464844,0.12859521794363257,7.769952477753186,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.81832764685451,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-28,66138.71381447646,1415.432542341201,1351.794519576766,492.9956058529686,12.271837480168523,11.704562131613836,1.1900000000000062,1.1446001790972653,10974.898037462564,10686.244922768827,0.1297772150091144,7.699070693156529,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.87190313656309,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-29,67571.32059033385,1432.6067758573895,1371.7182212921434,505.3593902332954,12.363784380326798,11.89287424900128,1.1900000000000062,1.1588294168051743,11139.653004502885,10777.598947409537,0.131174540216112,7.622919697307614,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.90412612423884,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-09-30,69032.95577888495,1461.635188551092,1393.8016323556642,517.8762976846685,12.516907451373106,12.072789332516976,1.1900000000000062,1.175498436230256,11330.520813493535,10891.957500796341,0.13288947012653152,7.536381757466822,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.89478334560329,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-01,70539.58903843015,1506.6332595451893,1419.740942430939,530.6351967605933,12.758899075924806,12.254053214643083,1.1900000000000062,1.1941399874829717,11548.140141471169,11030.20177136327,0.13502537667376113,7.435374553394245,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.8234789119175,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-02,72107.83222807935,1568.243189649198,1451.3010256661282,543.7321506409048,13.096953880311434,12.448980925849817,1.1900000000000062,1.2140586105217328,11787.234970356787,11193.376522446193,0.13766140483886985,7.31758133521376,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.67177434230928,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-03,73752.33444901695,1644.502220937612,1490.0607113956876,557.2550438145514,13.522893173646654,12.67084316045073,1.1900000000000062,1.2344639643554256,12045.36068154912,11380.873148137181,0.14083348090775633,7.181789750602315,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.42479358801842,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-04,75483.82832545061,1731.4938764336578,1537.2217371666775,571.2720520916837,14.017008277132234,12.932656125994175,1.1900000000000062,1.2544804878108504,12319.05428621034,11592.157850760304,0.1445821242554781,7.027576960656981,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,76.07242680058081,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-05,77293.72101784372,1809.8926923931194,1593.5731609874863,585.7246757849886,14.452623693304918,13.244484014340513,1.1900000000000062,1.2731955306933045,12604.322243423125,11824.927454004312,0.14889328356006387,6.856073800001472,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,75.61023315796642,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-06,79190.61440591684,1896.893388073123,1659.899876558329,600.6656464638231,14.940970678834564,13.612976294530453,1.1900000000000062,1.2897314896489394,12891.969995430969,12075.253509055288,0.15371650436364864,6.669859163834338,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,75.04011798418273,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-07,81187.96555556898,1997.3511496521305,1736.430859584231,616.1873570198139,15.521710555990847,14.042581121996761,1.1900000000000062,1.3033205952586844,13178.888647187337,12339.302833795364,0.15894284045761067,6.4733268227788,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,74.37084058897747,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-08,83299.20097663162,2111.235421062631,1822.8027852828754,632.3883522832841,16.20099526347021,14.534665479506643,1.1900000000000062,1.3134057664181586,13448.379284356262,12610.762710349773,0.16443773797087471,6.271582059553403,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,73.61839514761556,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-09,85534.05231618424,2234.851339552633,1918.0327415154889,649.3481969855733,16.959844702289175,15.086855282868532,1.1900000000000062,1.319765378465851,13709.139973933023,12885.31931783022,0.17009203974189258,6.069038839429119,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,72.80629636071177,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-10,87895.80812854103,2361.755812356786,2020.4977636350038,667.1086267307776,17.760429745204306,15.692540460212186,1.1900000000000062,1.3223039950646454,13958.69817695916,13158.65487298807,0.17579042605722772,5.870686692597056,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,71.94945756465157,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-11,90379.25270274075,2483.44457419972,2127.919485622184,685.6594112245548,18.550784493777208,16.34050376144876,1.1900000000000062,1.3210856239649371,14197.231906798253,13426.969338322197,0.1814519016372973,5.679770029143986,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,71.05634107264844,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-12,92962.92984702985,2583.677144289096,2238.4602460847736,704.8496004352239,19.190189210669068,17.017516314945677,1.1900000000000062,1.3162389109278094,14426.857915231227,13687.336538324731,0.18697774329326092,5.499103539957543,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,70.1448126887786,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-13,95649.70968326865,2686.779836238804,2351.301208965652,724.7105196541502,19.8609192189262,17.720512317010837,1.1900000000000062,1.3078823182960528,14650.033158466103,13938.493951901295,0.19229972634518838,5.3312588120463795,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,69.23769645905334,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-14,98443.4283031756,2793.7186199069674,2465.067945832194,745.3018619448801,20.591342290729912,18.44482169735738,1.1900000000000062,1.2961428311590162,14866.70510479013,14179.614161404983,0.1973574709062736,5.177705582855088,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,68.3594407347232,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-15,101346.06498950209,2902.636686326481,2578.1251436016864,766.6819717657071,21.38010982082704,19.18471016442078,1.1900000000000062,1.2810925790900138,15057.17372193457,14409.444202178514,0.20211991313445665,5.038865806404413,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,67.53361771975612,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-16,104355.6251319134,3009.5601424113165,2688.7976353353997,788.8855576865956,22.203585920888575,19.933784239346643,1.1900000000000062,1.2628368874526124,15201.9953043792,14622.709799985554,0.20655357415271738,4.914742438190517,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,66.78104813144614,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-17,107464.55241389966,3108.927281986256,2795.5361733341333,811.9069769268742,23.021419240278618,20.685295031481573,1.1900000000000062,1.2415796694679353,15282.647108536523,14811.844243977552,0.21067229115106068,4.804419789211737,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,66.11839469586977,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-18,110658.53795295884,3193.9855390591856,2897.04175895988,835.6876987585053,23.780721831631105,21.432366069991303,1.1900000000000062,1.217624635746719,15292.21529261767,14968.268186215246,0.21442794169878387,4.708038500603056,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,65.55710726947837,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-19,113926.98808010391,3268.4501271450727,2994.866209329805,860.0501793694621,24.362480610956723,22.171227202784397,1.1900000000000062,1.1914655679541908,15220.181863774844,15081.59729350761,0.21782127948029378,4.625188539317844,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,65.10263168029245,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
2020-10-20,117266.03698767992,3339.0489075760042,3088.047258160901,885.0018394398321,24.95166007037013,22.898472438287428,1.1900000000000062,1.1637664351770214,15066.983812181508,15141.159686355679,0.22086256594506226,4.554730124591815,0.37000000000000205,2.8700000000000143,5422.000000000028,18862.0000000001,0.05000000000000025,64.75381635879731,5.810000000000029,25.000000000000135,2442.800000000013,15.000000000000078,9.50000000000005,37.800000000000196,30547586.00000016
