date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,female_smokers,human_development_index,population
2020-10-05,3569.273572944178,5.558001003100207,7.408519663870516,115.06217919653653,7.655760964772477,5.704075378525883,0.200000000000001,0.7450690295977958,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.9290311589192,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-06,3574.6036444786623,5.330071534484179,6.741752062059326,115.11468546398304,7.988831066177949,6.392661737514334,0.200000000000001,0.7439113391020324,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.85288649136146,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-07,3579.745461219377,5.141816740714465,6.195698985135321,115.18381629578963,8.166009207842912,6.969141422722059,0.200000000000001,0.7429690570091368,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.69835265132663,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-08,3584.724981499541,4.979520280164168,5.765227212348588,115.2707646135683,8.142557972462674,7.406409557668576,0.200000000000001,0.7421868767904671,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.4464396662585,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-09,3589.5599772364903,4.834995736949248,5.438885018181939,115.37585949766832,7.903023844570027,7.6838886162152455,0.200000000000001,0.7415294594674473,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,75.08268366048907,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-10,3594.264181375983,4.704204139492807,5.198448831509763,115.49829733818352,7.45391623507588,7.791184238502751,0.200000000000001,0.7409606046199789,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,74.5985589638543,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-11,3598.8503984754307,4.586217099448312,5.01858322996717,115.63594019820793,6.8182167496747255,7.7308270929042235,0.200000000000001,0.7404649589594907,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,73.99253719315585,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-12,3603.366871254768,4.516472779337372,4.8700145071554095,115.78642509047899,6.0325216443504255,7.499984734674944,0.200000000000001,0.7400285834730127,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,73.27088156325743,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-13,3607.8157643008094,4.448893046041496,4.744364144749239,115.94936956123368,5.145011789177496,7.094481763675899,0.200000000000001,0.7396369838232479,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,72.44356614981874,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-14,3612.176642230137,4.360877929327508,4.633034905588438,116.12335554843028,4.207886185128114,6.529551206402696,0.200000000000001,0.7392736331486265,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,71.52529225942297,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-15,3616.417775790255,4.241133560117808,4.527774563160307,116.30618828381803,3.2788784397510633,5.835053514692137,0.200000000000001,0.7389435894380707,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,70.5403402352913,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-16,3620.5046214354566,4.086845645201483,4.421098698711542,116.49509046948941,2.4591588298132976,5.051890814752138,0.200000000000001,0.7386428892343394,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,69.51234777504646,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-17,3624.406181008724,3.9015595732676327,4.306607799082142,116.68684791029435,1.8443691223599732,4.2293175939341765,0.200000000000001,0.7383839122392656,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,68.45938268002443,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-18,3628.0997715031544,3.693590494430367,4.179225080080843,116.8779187381508,1.38327684176998,3.4229237158126242,0.200000000000001,0.7381770744509434,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,67.39473739786587,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-19,3631.5809049040354,3.481133400880956,4.031416870823404,117.06577583447944,1.0820116067638135,2.6931090764522287,0.200000000000001,0.7380280870276074,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,66.33667877561345,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
2020-10-20,3634.8330607077664,3.252155803731179,3.8605090008874345,117.24881474593084,0.853654794277773,2.0629808053999343,0.200000000000001,0.7379468894465308,1148.000000000006,0.0,401.80000000000217,281.0000000000015,0.010000000000000054,65.305260374535,31.20000000000017,17.500000000000092,0.7000000000000035,0.5000000000000026,2705995.000000014
