date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,female_smokers,population
2020-10-17,1297833.5313308253,12803.629677057688,11670.596168847755,22604.817221646164,197.96148634207674,180.58263787296926,0.4600000000000025,1.2132028517750102,454544.51126955193,438831.4612458113,0.029333393150716536,35.30928491948504,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.92162453041786,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-18,1311008.2557379398,13174.724407114552,12033.739199034024,22809.23644564642,204.41922400025533,186.07310736400325,0.4600000000000025,1.2055210787149049,459832.0036202318,444444.97846506373,0.029527355787407193,34.768911007002316,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.76710559884772,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-19,1324469.6939527781,13461.438214838196,12393.01393127295,23018.73216616762,209.4957205212002,191.7143697925567,0.4600000000000025,1.1974323410335947,465077.3454915158,449883.5438035496,0.02965812188257224,34.26511408912379,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.61536572143709,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-20,1338222.1867218576,13752.492769079538,12747.31484211989,23233.543872524908,214.81170635728705,197.49501716342235,0.4600000000000025,1.1890749021876088,470352.6458510228,455181.9425165284,0.02974359141192922,33.80063582540785,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.472988091982856,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-21,1352281.3271939484,14059.140472090863,13094.94431452465,23454.22876735428,220.6848948293748,203.40046002835248,0.4600000000000025,1.1805724985540889,475727.7100023596,460410.22839676996,0.029807693558946954,33.379861161234345,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.345134734145574,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-22,1366662.5644323088,14381.237238360347,13434.101527425504,23681.385344100105,227.15657674581942,209.4128227200365,0.4600000000000025,1.172066736552931,481225.07527811173,465629.0364721095,0.029855770169210257,33.00763342748689,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.23545253735779,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-23,1381372.6560488618,14710.091616553087,13763.249122944713,23915.446070130707,234.0607260305996,215.51086477758426,0.4600000000000025,1.1637145643733295,486917.73608043324,470900.9165266749,0.029879222584890924,32.68758673835923,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.146002783755314,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-24,1396403.2576798287,15030.601630966874,14081.388206785155,24156.521899075116,241.07582894441094,221.66992201563843,0.4600000000000025,1.1556715082832307,492700.1839607781,476257.7963962997,0.029882106014298485,32.4194941908089,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.0772082933757,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-25,1411726.1150924526,15322.857412624013,14388.264598527803,24404.285655075604,247.763756000487,227.8618623262088,0.4600000000000025,1.1480884728413838,498035.97900161205,481645.0600800309,0.029876350034317958,32.194832343171356,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,45.02781378305705,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-26,1427260.4540633622,15534.338970909532,14684.393510951464,24657.33120963253,253.04555455692673,234.08313656366147,0.4600000000000025,1.1410825149413175,502710.7225511451,486968.4234698493,0.029878173967238186,32.001856319434154,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,44.99485613561218,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-27,1443006.9194906394,15746.465427277193,14969.246955127,24915.803578523723,258.47236889119256,240.32025352164754,0.4600000000000025,1.1347242973242833,506632.6055688218,492111.6513774361,0.02990539841337309,31.82736024216131,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,44.9736421017092,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-28,1458981.0440135861,15974.124522946606,15242.816277754451,25180.057483504985,264.2539049812584,246.544295506459,0.4600000000000025,1.1290753820106672,510075.49139381165,496988.7618200849,0.029975428900527595,31.660791674833696,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,44.957731576281965,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-29,1475202.2057800689,16221.161766482765,15505.662770048246,25450.437828207312,270.3803447023308,252.719044512844,0.4600000000000025,1.1241552760038003,513007.2532253853,501506.78893132164,0.030103743621097096,31.49044508127076,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,44.94579868221154,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-30,1491685.3467720286,16483.140991959706,15758.955624401106,25727.11505505985,276.67722685254034,258.807076855868,0.4600000000000025,1.119966650926575,515446.7547865252,505565.65284910606,0.03030275923489203,31.305270785743026,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,44.936849011658715,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
2020-10-31,1508434.761549612,16749.41477758325,16004.500401881978,26009.96166298206,282.8466079222111,264.77433414481027,0.4600000000000025,1.116504884768947,517535.9922695973,509101.0948889311,0.030580980221256333,31.09642400074881,0.020000000000000108,239511.00000000128,3357.0000000000173,0.0,44.9301367587441,39.60000000000021,0.1000000000000005,23.40000000000013,144713312.00000072
