date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,life_expectancy,median_age,aged_65_older,aged_70_older,cardiovasc_death_rate,population
2022-03-11,15433.849301581091,11.321898395643846,11.277646744692005,108.92561596157263,0.02800519445121081,0.06116343314544,178382.69689768757,107802.91262386541,61.03507237258128,65.70043954098752,0.03494984173685458,30.822167360086873,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-12,15445.197545028761,11.3482434476702,11.25161595703227,108.95011048443108,0.02449452285844691,0.04930567117452927,178513.85808503063,107861.77331728511,58.86069341970753,64.25042661760239,0.0351829695379351,30.568248015217105,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-13,15456.538204020462,11.340658991699659,11.266553596733493,108.97480005789359,0.02468957346251653,0.040400067860534974,178644.93172553793,107918.35707264401,56.583755358898365,62.55010179901311,0.035900801814084865,30.052831130999163,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-14,15467.948465555768,11.41026153530676,11.29982130614742,109.00359519532725,0.028795137433668322,0.0342751640175732,178776.80997482597,107972.78451424399,54.42744159997539,60.671173634327786,0.03702466406256758,29.3108030508997,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-15,15479.407745417655,11.459279861887326,11.339371958925383,109.0380874760043,0.03449228067706127,0.030998228216799834,178909.25494120375,108025.40562873421,52.621114490220776,58.71503180945632,0.038473410781250245,28.393283283649925,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-16,15490.816571829906,11.408826412252616,11.36593346176031,109.07922817972478,0.041140703720465716,0.030427404194274123,179041.11694539886,108076.69139026444,51.28576153023837,56.79892738003995,0.04017180016738571,27.347969896480205,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-17,15502.033437275812,11.216865445905702,11.357470135104995,109.12732675858172,0.04809857885692986,0.03224136762534366,179170.76045064602,108126.96571464419,50.2743243797409,54.99688461066028,0.042022676887013166,26.238194616930322,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-18,15512.902437362181,10.869000086368526,11.292528748710792,109.18204969078518,0.05472293220346027,0.03596156870543315,179296.38351025365,108176.64899509771,49.68328045351937,53.39666151875804,0.04391245045776156,25.13115565888394,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-19,15523.27399996736,10.371562605177182,11.152748048281655,109.24241962103022,0.06036993024503229,0.04096891408563602,179416.25735327872,108226.16864677591,49.519651678213286,52.08162671437564,0.04575415038372202,24.072301779715666,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-20,15533.020432102237,9.746432134878372,10.92474090046465,109.30681471577283,0.06439509474259786,0.046516278324408106,179528.90607378283,108275.9423706671,49.77372389117458,51.125602711929176,0.047474630240926685,23.104386321858527,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-21,15542.018588459376,8.998156357138104,10.579888254534023,109.37296817968692,0.06615346391409135,0.051737887476337854,179632.90631794243,108326.35708504636,50.41471437927306,50.565776048168026,0.049032928078238724,22.253808487353844,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-22,15550.196762934727,8.17817447535197,10.110890657610291,109.44044042047962,0.06747224079271147,0.056348664476031776,179727.42929938145,108377.59512470929,51.23803966292934,50.3776933806639,0.05036260814659121,21.548252293117223,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-23,15557.545131994215,7.348369059487481,9.530563759206437,109.5089017439313,0.06846132345167656,0.06016873817602846,179812.36146726419,108429.8093687422,52.21424403291137,50.517012763358366,0.05138782553463643,21.019909323263928,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
2022-03-24,15564.112242660842,6.567110666625958,8.866069393419059,109.57810487937721,0.06920313544590039,0.06311976630170471,179888.26391492804,108483.18989662791,53.380527885704936,50.964811931924146,0.05205686785815257,20.67354220576407,80.58000000000041,42.20000000000023,18.6000000000001,10.80000000000006,273.67000000000144,99479.00000000052
