date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,female_smokers,male_smokers,handwashing_facilities,life_expectancy,population
2022-07-25,690791.5285480056,1777.1955691103624,1893.8608007429102,19100.44362115987,8.266411994364953,7.512339438479735,25.81263289085818,0.3421867623507939,1757.0000000000102,0.07000000000000042,15.300000000000079,58.09548957599987,33546.995093017125,7494.533398248665,0.010012605042016964,13.890000044661976,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-26,692507.8174032483,1716.2888552425995,1861.2304906670752,19108.953514189256,8.509893029387174,7.7563675394286555,25.896616255547862,0.3543797291645181,1757.0000000000102,0.07000000000000042,15.300000000000079,58.105454303387,33548.99631976289,6850.869053211392,0.010036764705882485,13.890000033496502,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-27,694151.4425126829,1643.6251094345373,1816.91855400548,19117.71117636595,8.757662176694563,8.006693075385984,25.97858669530855,0.3668893540808875,1757.0000000000102,0.07000000000000042,15.300000000000079,58.11588543965594,33550.49723982221,6253.259336773451,0.010062803005817824,13.890000025122395,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-28,695711.0472368079,1559.6047241250321,1761.634561270111,19126.712955642295,9.001779276347698,8.258667350172338,26.058293401294915,0.3796212818825796,1757.0000000000102,0.07000000000000042,15.300000000000079,58.126648421555686,33551.6229298667,5711.285210401684,0.010076190812863706,13.890000018841816,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-29,697178.3872860426,1467.3400492346937,1696.6118045983512,19135.9442351545,9.231279512205841,8.506778954775356,26.135466818909165,0.3924876162277077,1757.0000000000102,0.07000000000000042,15.300000000000079,58.13756751018292,33552.467197400074,5233.294693192347,0.010060375171703384,13.890000014131381,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-30,698550.364688838,1371.9774027954463,1623.654384476561,19145.37716473048,9.432929575977278,8.745260525066662,26.209853346243968,0.4053760547693593,1757.0000000000102,0.07000000000000042,15.300000000000079,58.148454680795,33553.1003980501,4825.842739351278,0.009998901288279814,13.890000010598555,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-07-31,699830.5532677607,1280.1885789227013,1545.172524782762,19154.968959520735,9.591794790257053,8.968543810089603,26.281197494215288,0.41817829188503564,1757.0000000000102,0.07000000000000042,15.300000000000079,58.15911965474629,33553.57529853762,4496.409462399694,0.009877004020508517,13.890000007948936,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-08-01,701035.4250994963,1204.8718317356602,1463.4118783963813,19164.66692649255,9.697966971813683,9.173416099325458,26.34923880308832,0.4307646174270289,1757.0000000000102,0.07000000000000042,15.300000000000079,58.1693797320562,33553.931473903256,4251.670736101651,0.009682801496312234,13.890000005961722,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-08-02,702162.5110191933,1127.0859196970275,1379.2399184934736,19174.458662872028,9.791736379474369,9.356928751934314,26.413756717977925,0.4430148011439633,1757.0000000000102,0.07000000000000042,15.300000000000079,58.17907261416828,33554.19860542749,4095.2961031428235,0.009408190327146923,13.890000004471311,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-08-03,703208.4259437753,1045.91492458208,1293.8526386115416,19184.329210470143,9.87054759811581,9.516317604674732,26.474601013411917,0.45480554171123755,1757.0000000000102,0.07000000000000042,15.300000000000079,58.18806786791228,33554.39895407066,4026.691906057834,0.009049517018146241,13.890000003353503,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-08-04,704171.1164358545,962.6904920790948,1208.579069294792,19194.261694536537,9.932484066395533,9.649674370280465,26.531711379691444,0.4660383838205976,1757.0000000000102,0.07000000000000042,15.300000000000079,58.19627737036822,33554.54921555304,4040.459427280938,0.008608081525729925,13.890000002515146,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-08-05,705051.5463766656,880.4299408110996,1124.7346655780764,19204.237802899843,9.976108363306684,9.756450186243006,26.58516669572531,0.476649666986328,1757.0000000000102,0.07000000000000042,15.300000000000079,58.20366498940705,33554.66191166482,4126.3795090515305,0.008090514925810057,13.89000000188638,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-08-06,705854.9612207678,803.4148441021846,1043.5113475998478,19214.23814532294,10.000342423094118,9.837833276398493,26.63514942386254,0.4866196031809232,1757.0000000000102,0.07000000000000042,15.300000000000079,58.21025569098879,33554.74643374866,4269.805381627051,0.007509062664945786,13.890000001414805,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
2022-08-07,706591.83618707,736.8749663022371,965.8950310618777,19224.24252301938,10.004377696441482,9.897032197117888,26.6818953119638,0.4959685808601598,1757.0000000000102,0.07000000000000042,15.300000000000079,58.21614286598846,33554.80982531154,4451.362536543502,0.006881796998709347,13.890000001061123,6.380000000000034,26.500000000000135,5.000000000000027,21.60000000000012,79.60000000000042,74.25000000000038,6780745.000000035
