date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,aged_65_older,median_age,cardiovasc_death_rate,male_smokers,population
2020-10-16,420.89641791239706,1.4025945894258647,1.3080245641261556,6.999999999999976,2.649335403323569e-14,6.955348731148131e-14,504.5559955338545,8.389999999999972,0.6579494930423903,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-17,422.3729436863992,1.4765257740021738,1.3399620236117487,6.999999999999992,1.9870015524926766e-14,5.2165115483610985e-14,506.32575489214986,8.38999999999999,0.6551734966402293,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-18,423.93853129421177,1.565587607812557,1.380524685129628,7.0000000000000036,1.4902511643695076e-14,3.912383661270824e-14,508.2022822324615,8.390000000000004,0.6526671295907094,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-19,425.5933942689787,1.6548629747669836,1.4330808118433447,7.000000000000012,1.1176883732771307e-14,2.934287745953118e-14,510.1858585715673,8.390000000000015,0.6504927518472023,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-20,427.34756671013804,1.7541724411592743,1.4989175901365508,7.000000000000019,8.38266279957848e-15,2.2007158094648383e-14,512.288521110318,8.390000000000022,0.6487157177315566,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-21,429.2125334682861,1.8649667581480625,1.577986350327044,7.000000000000024,6.2869970996838596e-15,1.6505368570986287e-14,514.5240424164497,8.390000000000029,0.647376478020711,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-22,431.1974737922301,1.9849403239439525,1.6690959359838118,7.0000000000000275,4.715247824762894e-15,1.2379026428239715e-14,516.9034274167336,8.390000000000033,0.6465053707973699,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-23,433.3064440642766,2.1089702720465264,1.770057730914817,7.00000000000003,3.5364358685721707e-15,9.284269821179786e-15,519.4315361410901,8.390000000000036,0.6461211095459921,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-24,435.5362648516987,2.229820787422099,1.8777944294078353,7.000000000000033,2.652326901429128e-15,6.96320236588484e-15,522.1045507806729,8.39000000000004,0.6462296492247827,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-25,437.87493619533575,2.3386713436370368,1.9884216139110833,7.000000000000035,1.989245176071846e-15,5.22240177441363e-15,524.9080759814331,8.390000000000041,0.6468233358196868,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-26,440.3042305886485,2.4292943933127846,2.099300534932346,7.0000000000000355,1.4919338820538844e-15,3.916801330810222e-15,527.8202518794175,8.390000000000043,0.6479175988266277,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-27,442.8230662834392,2.5188356947906687,2.2088414322270586,7.000000000000036,1.1189504115404133e-15,2.9376009981076667e-15,530.8397784376828,8.390000000000043,0.6495196470837725,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
2020-10-28,445.42602628013015,2.602959996690937,2.314619761953103,7.000000000000037,8.3921280865531e-16,2.20320074858075e-15,533.9601562264529,8.390000000000043,0.6516066066767605,1442.000000000008,0.1700000000000009,2.9600000000000164,20.400000000000105,261.5200000000013,23.60000000000013,836783.0000000044
