date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,aged_70_older,female_smokers,male_smokers,life_expectancy,population
2020-03-21,1.000000000000005,0.058291856905068926,0.03494236140876893,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,24.472505939672484,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-22,1.000000000000005,0.06283653973762532,0.04199636381675778,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,27.784089538788027,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-23,1.000000000000005,0.06624505186204263,0.0485244221838354,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,31.424235059714867,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-24,1.000000000000005,0.06901151998896905,0.05432091844783141,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,35.2950242262665,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-25,1.000000000000005,0.07040763805248967,0.05914114132456144,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,39.33179273337157,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-26,1.000000000000005,0.07004877960594783,0.06275630848210897,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,43.47055705810891,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-27,1.000000000000005,0.06780807791713064,0.06499483317153659,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,47.612481465204255,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-28,1.000000000000005,0.06375198603965801,0.06577327419991952,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,51.65471581771388,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-29,1.000000000000005,0.05809194686652443,0.06511954841012073,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,55.499776682290026,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-30,0.9987394957983244,0.049887641468574676,0.06283739886415171,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,59.062583158130025,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-03-31,0.9963235294117698,0.04090635812146981,0.05890859213453919,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,62.27573374868811,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-04-01,0.993719699418234,0.03247356303195563,0.05360225858054245,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,65.10047241882064,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
2020-04-02,0.9923809187136445,0.02558335585509148,0.04738042696708108,2.00000000000001,0.0,0.0,0.010000000000000054,1.1500000000000057,14.000000000000076,0.0,67.51505599478786,3.810000000000019,22.600000000000122,2.1400000000000112,23.500000000000124,48.80000000000026,64.50000000000033,10142625.000000052
