date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,handwashing_facilities,human_development_index,population
2020-04-10,714.2317614401418,81.46161105701772,63.45122092226462,11.759580593373286,1.6783115718154822,1.1915109439465688,234.9468831840837,1.5140299026828639,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.71569405458834,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-11,801.3657894058997,87.13405573943442,69.35094655789122,13.641017054596894,1.8829579839682733,1.3507977199185586,263.60933304093976,1.4929380701924988,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.76280674003641,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-12,893.322984588363,91.95721601272075,75.07022123063574,15.725106682350415,2.08523076981202,1.51835168360408,293.85838100242484,1.470702906231965,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.7695685327262,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-13,988.6152992040406,95.2923302383707,80.48999300765696,17.973564982674286,2.2493141568677455,1.6925480225608522,325.20453623662854,1.447745343862728,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.7387891985105,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-14,1087.085343181313,98.47005569429206,85.54414213777261,20.394297848188685,2.4213747579223064,1.8729716180841849,357.5960290359077,1.4244780447425551,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.6732499467175,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-15,1188.678503184306,101.59316879075797,90.18060708813891,23.00260767831997,2.608791249437209,2.0587002714170533,391.01489831216094,1.4012909834599563,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.57615982590767,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-16,1293.3501831413023,104.67168654781976,94.3696912566344,25.81352654089904,2.8112799270585196,2.2484540981975707,425.4464773863515,1.3785215666188861,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.45149802069137,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-17,1400.996234641047,107.6460564428624,98.11029300614757,28.836066043360177,3.022810300820721,2.4407075742945947,460.85650833064994,1.3564131529861445,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.30427057434218,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-18,1511.40077972998,110.40454879627109,101.4345781902928,32.0689047361401,3.233041791549612,2.6337735701844283,497.1739777250407,1.3351379190382526,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.14070293075676,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-19,1624.1970780101574,112.79630106068117,104.41148454769714,35.49715366522731,3.4284012531644774,2.8258663767333485,534.2782434747769,1.3147839499444958,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,85.96488013924416,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
