date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,hosp_patients,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,aged_70_older,life_expectancy,population,excess_mortality_cumulative,excess_mortality
2021-06-14,2876708.2873788364,387.95658801211505,495.8559600217383,74250.3373131761,60.286657297388956,69.92459564412015,2.100000000000011,0.49981163859431577,2629.460652498217,49805.39612148844,0.009374396695126033,142.39614825320598,38.0579648729122,307974.2379062842,319357.5617880627,0.317593851268805,53.62901980361677,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.945789007908317,7.530877700684847
2021-06-15,2877073.4186853915,365.13130655530523,458.56335527810126,74308.80962676971,58.472313593597704,66.5750698746545,2.100000000000011,0.5034802544790278,2476.365172631584,49605.170620528166,0.008637940378487391,151.46244409229647,38.34752763012053,304302.3238725061,318660.9558594702,0.31138107041669794,53.50300531812959,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.928122160400743,7.657819232204015
2021-06-16,2877416.0167774605,342.59809206903265,424.8583226964562,74365.36020973479,56.550582965075535,63.584984209481576,2.100000000000011,0.5069553750868088,2334.229487101357,49352.13903520873,0.00790702671243698,160.86305802074168,38.62822927139459,299898.9424949854,317432.37587973557,0.30448489783514826,53.39196181018744,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.910946131335763,7.815942824744028
2021-06-17,2877736.0974085685,320.0806311073663,394.5901164567317,74419.77641134127,54.416201606482865,60.90696569427997,2.100000000000011,0.5101951997055404,2201.823537433325,49044.66012643894,0.007180270034327742,170.61101361898253,38.89994473958349,294580.14988998545,315722.4240882119,0.29697970440415733,53.279369709289,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.894299726860883,8.001138021688517
2021-06-18,2878033.9913983825,297.8939898140415,367.5096873748698,74471.83596073618,52.05954939490746,58.47792805222265,2.100000000000011,0.51321233384509,2078.707779125416,48685.66028552093,0.006444026055157577,180.75459505586616,39.16233444350474,288033.5382901462,313475.1435509686,0.2888916949159173,53.1475439270864,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.87818956566928,8.207022599284223
2021-06-19,2878310.7881674077,276.7967690250434,343.22936378583927,74521.37869970544,49.54273896925757,56.22025276185614,2.100000000000011,0.516097841204762,1964.7474956239607,48283.211972382516,0.005698565759855582,191.36024008634078,39.415633831982205,281019.6487833286,310762.1245022702,0.2803849961384574,52.97893557944545,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.862585197615175,8.424784910493745
2021-06-20,2878568.6683880035,257.88022059554424,321.19261220589567,74568.36038224524,46.98168253980683,54.042674865509824,2.100000000000011,0.5190266776068689,1859.619364445833,47847.29170391527,0.004952980557771457,202.52660863618448,39.66009463707656,273610.28534315294,307663.58379363903,0.27163215369724997,52.75719182679489,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.84741821301425,8.643416090756553
2021-06-21,2878811.999270968,243.3308829644348,300.53197547633545,74613.08209987085,44.72171762560502,51.81934228358622,2.100000000000011,0.5222254057487852,1762.5550695528643,47388.78017095526,0.004221361145542558,214.31811258573597,39.89587689248104,265964.31334479235,304241.53802299313,0.26276306162070767,52.46788983001866,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.83258434495787,8.850234660181197
2021-06-22,2879041.066744762,229.06747379410854,281.0944576899927,74655.43350444429,42.35140457343781,49.51657183874014,2.100000000000011,0.5258985307175366,1672.647216838212,46918.5003673891,0.003519931654244186,226.76353111027842,40.12326303458385,258396.54431154655,300549.1988630759,0.2539069762413876,52.10593611847399,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.817949617107935,9.029410134945682
2021-06-23,2879255.812227289,214.74548252722354,262.82996123775985,74695.26396155891,39.83045711462915,47.12818001027688,2.100000000000011,0.5301942600291034,1588.7837965976332,46446.28658775908,0.0028649002597523066,239.82932092482295,40.34295309364964,251384.67313346633,296634.89379824465,0.24519720050683286,51.67125897314774,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.803361487925628,9.164181735478367
