date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,male_smokers,hospital_beds_per_thousand,human_development_index,population
2021-09-01,59159.38975156688,212.18233879405648,243.14570760236427,568.690016104482,5.014338645791945,5.262749565877715,10.16436581802471,0.6682192759210097,13877.575904081767,15577.037500479675,0.08033805731133294,50.70069971584115,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-02,59362.00981529128,202.62007665533577,231.8670027444367,573.6071856400947,4.917169627524315,5.171764016683664,10.236002466298121,0.669644902965322,13151.269845536022,14989.419495754086,0.07779927666158643,49.79495028785054,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-03,59554.722729923626,192.71292433054538,221.3703865121093,578.4106574912225,4.8034719200614715,5.0807008405670535,10.306473245974413,0.6711363921561191,12467.59472416496,14417.772863573822,0.07557311619043684,48.920287538124555,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-04,59737.54996599484,182.82724334487114,211.52494534626712,583.0877927305703,4.677135291048049,4.987305688602413,10.375999084448503,0.6727390103420419,11816.722960813888,13872.10857463578,0.07368759409176115,48.09849522696129,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-05,59911.050370423814,173.50040988421915,202.16270900970056,587.6325866293765,4.544793937581453,4.889512071881681,10.444746970091403,0.6745104633156791,11209.567161355957,13360.975322379567,0.07213576667418617,47.34770981711825,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-06,60077.001788806956,165.95142247457375,193.0098552866874,592.0653740379673,4.432787437672197,4.785355288558972,10.512873495183307,0.6765307143258037,10668.936586272313,12891.366236451788,0.07088576165722343,46.6815352716946,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-07,60235.29717224525,158.2953865068678,184.01486625493175,596.3778282013917,4.312454185235408,4.673778748255047,10.580591126558794,0.6788956116978121,10227.382104647148,12470.084615929678,0.06990042337607863,46.100211085315934,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-08,60385.659239882145,150.36206993832815,175.183486148859,600.5548966843348,4.17706849930148,4.554356847228783,10.6480823235875,0.681673163201285,9893.989088720235,12103.313397306032,0.06916578294899507,45.607131164665745,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-09,60527.882778327985,142.22354017191046,166.55542715204524,604.5811692811899,4.02627260912382,4.42727620038604,10.715504050382947,0.6849405543660585,9655.044951640382,11793.680054443663,0.06866619241536631,45.205211010862,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-10,60662.0163662283,134.13358919486706,158.18689874153895,608.4456539486114,3.86448467662309,4.293321565286304,10.783066467005067,0.6887855709135235,9488.53663335969,11538.371627775232,0.06836729137034836,44.894163106239645,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-11,60788.49866769006,126.48230243267274,150.1375046961027,612.1453587549306,3.699704813220393,4.153865285147668,10.850956928469717,0.6932703352633595,9379.323855110277,11335.251523029241,0.06826528753228625,44.66845345443738,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-12,60908.26065235134,119.76198538946915,142.46041585239394,615.6879783422169,3.542619592462164,4.010859371100575,10.919249693766655,0.698452428241315,9313.477021908027,11178.807161987525,0.0683403683641469,44.51576898546288,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-13,61022.93713438317,114.67648257797788,135.13521395781532,619.1039928064373,3.4160144681022837,3.86575813530669,10.987929513376073,0.7043650160743293,9286.71802284129,11060.95950853009,0.06854648506431907,44.415868109491534,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-14,61132.67267948817,109.7355455146083,128.19784598872363,622.3900825169167,3.2860897133908735,3.7192733526112436,11.05695295274377,0.711015681900609,9284.290100841388,10969.018855702689,0.0688394048454275,44.371787313534355,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-15,61237.58702416049,104.91434497952454,121.7050321967788,625.540040879285,3.1499583645518854,3.57266041200207,11.126329129554613,0.7183871654332148,9319.114133484964,10893.627474033012,0.06917302486871843,44.38692468036738,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-16,61337.86951828206,100.28249435196737,115.71314357227719,628.5490513446618,3.009010467014435,3.4274224260022033,11.19615764225324,0.7264395337387777,9394.454114442544,10828.384923559679,0.0695460582442991,44.46186933445142,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-17,61433.849957069746,95.98043896048502,110.26235994165145,631.4168951665451,2.8678438231115084,3.2850883127143264,11.266524663493437,0.7351008203105485,9499.357731921125,10766.875021047279,0.06994089468516367,44.594056493404885,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-18,61526.05170503576,92.20174809560629,105.36478854059554,634.1503572184779,2.7334620528539966,3.1470463573541068,11.337483672151444,0.744297334689926,9615.14056784842,10703.851482333632,0.07033867036746043,44.779541723641316,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-19,61615.2315389579,89.17983401934544,100.99555294390831,636.7650303572982,2.6146731395112184,3.014419383400199,11.409149114811726,0.753941165206198,9739.584072729682,10639.071093973896,0.07074269055840085,45.011999699324456,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-20,61702.520454477075,87.28891559207868,97.08268119144783,639.2992737375932,2.5342433808131197,2.8883240721332166,11.481612320918119,0.7639471473370995,9864.365785639713,10574.209784604547,0.0711728873434937,45.28197327158455,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-21,61788.12954577063,85.60909134822847,93.63568122325631,641.7543518772101,2.4550781400054476,2.7694116061361154,11.554920617547042,0.7742236119572536,9974.416582280866,10512.77505015349,0.07165115872029006,45.584478337657444,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-22,61872.164854867806,84.0353091381915,90.65260432403575,644.1242642311147,2.369912354196073,2.6577154596117856,11.629016578221707,0.7846796675975469,10043.360863773798,10454.065757556955,0.07217938390770309,45.91758661361806,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-23,61954.685147291864,82.52029245480728,88.11480489137858,646.4004703129619,2.276206082065933,2.5527137117094885,11.703891716148519,0.7952570034454142,10069.711097086987,10397.754570268571,0.07274766010272313,46.27424183480961,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-24,62035.74524379155,81.06009652274744,85.98301026194065,648.5754335362737,2.1749632234757614,2.453375781519676,11.779453854984709,0.8059070382983475,10059.44524912424,10342.75639311838,0.07334096485726223,46.64428997339235,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-25,62115.42851913981,79.68327536555778,84.19437308107098,650.6452790953219,2.0698455591711413,2.358197479320109,11.855431535388515,0.8165989923630637,10016.560714477324,10286.536137760582,0.07390795376576514,47.01600190150522,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-26,62193.87127623277,78.44275710593959,82.6602605800341,652.611787375791,1.966508280561293,2.2652272950104466,11.93151886808956,0.827338546146895,9942.432623770095,10225.105707069644,0.07438539324934013,47.37721538863707,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-27,62271.260858596776,77.38958237373404,81.2458654414898,654.483889012775,1.8721016370531633,2.170283593429783,12.0074714070465,0.8381213950658932,9850.376229301404,10155.568016565983,0.07471535392213771,47.71619159965499,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-09-28,62347.626817186196,76.36595859671951,79.92525735519632,656.2590059644949,1.775116951771775,2.0728263020535937,12.083009987088381,0.848946734728639,9738.624075660617,10074.900236729609,0.0748576208068264,48.02225746832567,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
