date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,hospital_beds_per_thousand,population
2022-05-14,63572.08322531996,21.976912396153914,15.775736054798635,1227.9991108585903,0.02227748632662183,0.003397901373677942,7.801049594566387,1.578618238843258,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.78035194374186,270.5041846929264,0.01000007149004179,25.867966873613533,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-15,63596.846921252494,24.76369593253888,17.695892538836567,1228.035984727655,0.03944567130605247,0.007801819695416851,7.810559289377567,1.5801026578008361,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.78898851686087,261.15126392370286,0.010000053617531356,25.866837469366615,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-16,63624.18994207068,27.343020818182488,19.841223056357585,1228.093213497262,0.05915762128820144,0.015889826310024224,7.819420205790228,1.5781023650377657,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.79746502325383,251.45144083224096,0.010000040213148532,25.865778069704376,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-17,63654.281257458075,30.091315387392576,22.212852651027116,1228.1733522690374,0.08158541053628704,0.027927550727993362,7.827736569062416,1.5727278726794254,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.80579317597309,242.0174914192683,0.010000030159861412,25.864804948529127,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-18,63687.27135033346,32.990092875386125,24.78071447211007,1228.2784789723034,0.10621168233660468,0.043752224131968,7.835670512492639,1.5642361113615428,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.813999328373846,233.42704875191112,0.010000022619896073,25.8639303112676,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-19,63723.22670279543,35.95535246196952,27.4929427706954,1228.409667244743,0.13200200674275764,0.06285715452431553,7.843421136285641,1.5530014209484377,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.822116773960765,226.17673452773454,0.010000016964922068,25.863160079927788,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-20,63762.080660580825,38.85395778539123,30.282917646864526,1228.5665910928997,0.15753414888383005,0.084455083087807,7.8512027993007685,1.5395329015225778,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.830179278688405,220.63903118022264,0.010000012723691566,25.86249223189158,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-21,63803.59658140856,41.51592082773128,33.07454861006765,1228.7472283875497,0.1810950201955167,0.10752570145612698,7.8592228354622895,1.524394181636441,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.83821553760167,217.01763796176712,0.010000009542768688,25.861928159051235,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-22,63847.34019623751,43.74361482894332,35.786237249406,1228.9476384852342,0.20075339184347046,0.13085128966675616,7.867685489326435,1.5081472845789812,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.84624000300279,215.3543726212933,0.01000000715707653,25.861470198150776,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-23,63892.37526676452,45.035070527008145,38.31385763970486,1229.1592744360023,0.21189342138745126,0.15286697403739774,7.876800052907664,1.4913008318893124,2771.0000000000136,0.3400000000000018,3.0000000000000187,58.85426736488954,215.62928948536262,0.010000005367807412,25.86110878953102,26.300000000000146,1.600000000000008,808727.0000000042
