date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_70_older,extreme_poverty,female_smokers,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2020-11-24,299914.1461621281,4744.858583751447,4511.588387842202,10969.503237022836,66.7946762175755,61.69056634575323,0.010000000000000054,1.1348525385343797,336.50223654182884,2293.127927203328,102878.12494346531,98932.3135702104,0.04982770347000953,19.938793879848834,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,71.61681122387678,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.5580655903407594,8.219783494648938
2020-11-25,304728.29305727844,4814.146895150374,4594.615649155737,11037.877379286212,68.37414226337565,63.44383005989679,0.010000000000000054,1.1322360425562485,345.220504167846,2353.037719804568,104300.82450915052,100230.00085315891,0.049870777602507216,19.872510083448386,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,71.83978262605248,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.5742800774171313,8.315202751654368
2020-11-26,309622.0880379496,4893.794980671126,4674.853142167391,11107.886541252004,70.009161965793,65.16296320426335,0.010000000000000054,1.1297306841473107,354.0366774148314,2415.577368715744,105764.50639091282,101571.9457109747,0.049903083201880485,19.803252956897886,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,72.0351299559648,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.5911409611933363,8.451283285460246
2020-11-27,314605.1487854116,4983.060747461981,4753.3651358757115,11179.536189067656,71.64964781565061,66.83444331463912,0.010000000000000054,1.1272886401305233,362.9585681774783,2480.692367196152,107236.48302524682,102952.0314874975,0.049927312401410434,19.728661437130455,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,72.20004656199633,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.6087294626994213,8.626386764584623
2020-11-28,319683.7990163378,5078.650230926163,4831.424600129156,11252.75285285441,73.21666378675422,68.44652301603762,0.010000000000000054,1.1248283094450175,372.0326785571558,2548.1962631152824,108678.08130578078,104357.88651155088,0.0499454843010579,19.648045851603527,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,72.33332677670097,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.627100841599324,8.836938840637668
2020-11-29,324859.1545789959,5175.355562658107,4910.449209146647,11327.362490319558,74.60963746514658,69.99072710365728,0.010000000000000054,1.1222817039648247,381.2785328351266,2617.6844306913463,110072.09422109398,105775.70079187275,0.049959113225793494,19.56160807971754,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,72.43556521827244,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.646279574315206,9.077676173141484
2020-11-30,330115.69726908905,5256.542690093135,4992.345373569753,11402.825940137875,75.46344981831706,71.4447736729273,0.010000000000000054,1.1195816722851908,390.73061908335916,2688.387628125172,111423.28582419168,107193.32124678124,0.04996933491934519,19.47064852908359,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,72.50930626664561,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.666255737620702,9.342035087192908
2020-12-01,335457.91453229566,5342.217263206576,5077.682401864458,11479.13968781189,76.31374767401586,72.80424024176733,0.010000000000000054,1.1166896478790531,400.40935733126594,2759.4546997622733,112748.42889626286,108603.36494930716,0.04997700118950896,19.37805103805383,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,72.55915617057255,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.6870057056996024,9.623085831508835
2020-12-02,340893.76770271285,5435.853170417222,5166.497709284582,11556.452923583562,77.31323577167231,74.080860045579,0.010000000000000054,1.1135807459286837,410.2831815407901,2830.250704847566,114033.49602578489,109993.75200868382,0.04998275089213179,19.286812357402713,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,72.5918671279295,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.7084894810477236,9.91303773220584
2020-12-03,346430.909988412,5537.142285699156,5258.404627955687,11634.982016540305,78.529092956744,75.29762661143064,0.010000000000000054,1.11024519099144,420.3304372221737,2900.2080512601133,115288.04504778098,111354.26660832299,0.049987063169098914,19.199763437412113,0.010000000000000054,0.0,719.0084033613484,720.0042016806763,0.0,72.61640034594723,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.7306407048388035,10.203391513670972
