date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_people_vaccinated_smoothed_per_hundred,new_people_vaccinated_smoothed,stringency_index,aged_65_older,median_age,handwashing_facilities,hospital_beds_per_thousand,population
2021-06-09,75576.24762707649,1131.1426030841094,962.5181305304178,3056.790506520041,32.403983282379436,25.926777089043277,1862.4554247752747,1.312803338249251,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.00018669854464862848,479.02911603113773,42.31079050498994,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-10,76764.43431436048,1188.1866872839955,1021.2219476069295,3092.0145023851874,35.22399586514598,28.181357542057235,1891.7364990921246,1.3020787480308313,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.00037612604164742895,544.1165849225139,42.41715428792157,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-11,78010.34511198249,1245.9107976220162,1078.7292401169634,3130.4535884889597,38.43908610377228,30.597958040188743,1922.440073898928,1.2908358871381866,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0007290887135238737,683.3230398554291,42.611268754079575,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-12,79311.86188828562,1301.5167763031334,1134.5932998356234,3172.3604402355027,41.90685174654293,33.18094800654756,1954.5139482813415,1.279171356206906,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.001275161719370446,907.0799818954522,42.86300828824882,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-13,80663.28340716456,1351.4215188789358,1188.4871660531899,3217.7784749730117,45.41803473750909,35.924636344277246,1987.817622975715,1.2671501719709537,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0020357184129926108,1222.150839685975,43.13273520778332,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-14,82052.62275252932,1389.3393453647632,1240.5776014306507,3266.307676527113,48.52920155410152,38.85124875142067,2022.055696223386,1.254822228202522,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.003021132701147181,1630.8073120527852,43.41692535541738,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-15,83479.42572632342,1426.802973794098,1290.6164090561833,3318.1056119525474,51.79793542543402,41.96062224553067,2057.216973848215,1.2422330253858944,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0042286808122210945,2129.656195093246,43.71771567137887,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-16,84943.97393275175,1464.5482064283167,1338.245579578177,3373.3307765145123,55.22516456196507,45.22072605712805,2093.3083979685816,1.2294065078888083,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.005628362580723688,2711.8346317756614,44.02893914526014,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-17,86446.25095699768,1502.2770242459326,1383.1154036558391,3432.059136038119,58.72835952360707,48.57837582920682,2130.3295691616368,1.216355301084675,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.007200586738386997,3369.125068854378,44.34245322772344,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-18,87985.166999261,1538.916042263314,1424.9730562971497,3494.221533670482,62.1623976323628,51.967269266863184,2168.253638086486,1.2031119832472505,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.008941325638793499,4093.459089294315,44.649381937599365,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
