date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-03-21,7649.6825192847045,9.539677368375116,4.611924306655305,30.999896065796513,4.466567525768507e-05,0.00011707164205088937,266967.3539637451,1081.8663731536815,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-22,7662.0356451196485,12.353125834943292,6.0032604568822485,30.999922049347425,3.34992564432638e-05,8.780373153816702e-05,267398.46706783184,1081.8672798652624,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-23,7677.477929702707,15.442284583059475,7.8852022915951245,30.999941537010614,2.512444233244785e-05,6.585279865362527e-05,267937.38906299445,1081.8679598989484,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-24,7696.159190651314,18.681260948606862,10.197125538993717,30.999956152758003,1.8843331749335887e-05,4.9389598990218954e-05,268589.34848018095,1081.8684699242126,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-25,7718.053216517908,21.89402586659417,12.841853850431484,30.999967114568545,1.4132498812001916e-05,3.704219924266421e-05,269353.4305920366,1081.868852443161,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-26,7742.920164489282,24.866947971374245,15.6913352811656,30.99997533592645,1.0599374109001437e-05,2.778164943199816e-05,270221.2651230841,1081.869139332372,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-27,7770.278358661089,27.358194171808044,18.59089965091949,30.99998150194488,7.949530581751077e-06,2.0836237073998618e-05,271176.0420323587,1081.8693544992805,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-28,7798.994903449609,28.716544788519947,21.33039694245598,30.997465118055338,5.9621479363133085e-06,1.5627177805498963e-05,272178.22429156094,1081.7815326811847,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-29,7829.005841452764,30.010938003154713,23.852872529078617,30.992636653667596,4.471610952234982e-06,1.1720383354124222e-05,273225.5798560337,1081.613019258789,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-30,7860.5054476700625,31.49960621729821,26.146697221631246,30.98743159496955,3.3537082141762363e-06,8.790287515593167e-06,274324.88875013817,1081.4313626987798,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
