date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,median_age,life_expectancy,population,excess_mortality_cumulative,excess_mortality
2020-12-31,8586.004771441818,7.255961771079761,9.485691882548135,154.77484197461234,0.08914448098970498,0.17474103013416525,22318.52998081611,402.3245905796213,43.400000000000226,82.14000000000043,395762.0000000021,5.715003090747741,5.806149059264211
2021-01-01,8592.53693346179,6.532162019971106,8.830774891225914,154.83932475827038,0.06685836074227874,0.14627393678937645,22335.510095017416,402.49224545572497,43.400000000000226,82.14000000000043,395762.0000000021,5.653802391936517,5.825944327461372
2021-01-02,8598.499435713678,5.962502251888484,8.127331814831855,154.88327508130806,0.05014377055670906,0.11937836791200652,22351.00943858695,402.6065160245674,43.400000000000226,82.14000000000043,395762.0000000021,5.595583024906316,5.857427356317249
2021-01-03,8604.106703482103,5.607267768425096,7.438575784200822,154.91245631098127,0.0376078279175318,0.09478716959916329,22365.58536400812,402.6823870184261,43.400000000000226,82.14000000000043,395762.0000000021,5.541194540819369,5.908271990134796
2021-01-04,8609.466048943199,5.359345461095816,6.814756013974799,154.93308172903448,0.028205870938148848,0.07290825050253989,22379.516793691317,402.73601295289575,43.400000000000226,82.14000000000043,395762.0000000021,5.491388633474909,5.988238414061998
2021-01-05,8614.661463016397,5.195414073197433,6.282976351140446,154.9470802043391,0.021154403203611637,0.054681187876904916,22393.022042909113,402.7724088743363,43.400000000000226,82.14000000000043,395762.0000000021,5.446882272963793,6.112377905569133
2021-01-06,8619.868657055456,5.207194039060978,5.87359215346523,154.95678720561395,0.015865802402708726,0.04101089090767869,22406.55784908555,402.7976469918873,43.400000000000226,82.14000000000043,395762.0000000021,5.4083703343285405,6.2973886327967685
2021-01-07,8625.307730671371,5.439073615915005,5.61390290630772,154.96468154836063,0.012513443592593924,0.030758168180759018,22420.696337040437,402.81817221870597,43.400000000000226,82.14000000000043,395762.0000000021,5.37642342440049,6.5581377438745285
2021-01-08,8631.207672599532,5.899941928161214,5.523421685225302,154.97318795506513,0.011970732338918629,0.023068626135569262,22436.03274292257,402.8402888278956,43.400000000000226,82.14000000000043,395762.0000000021,5.351420255529113,6.904268928000098
2021-01-09,8637.779736350114,6.572063750581168,5.610327252929974,154.98452897534884,0.0139392645095219,0.017408774061922584,22453.116207159637,402.8697754444517,43.400000000000226,82.14000000000043,395762.0000000021,5.333505929480436,7.338941445746137
2021-01-10,8645.197471945856,7.417735595741319,5.868803132005182,155.00061392608197,0.018033633902503454,0.014766987786260951,22472.397869170665,402.9115962892217,43.400000000000226,82.14000000000043,395762.0000000021,5.322569653962306,7.8580873291152304
2021-01-11,8653.405279137167,8.207807191311499,6.27560493465354,155.02169509226692,0.022542678561977832,0.014224562106664054,22493.733215711254,402.96640730095044,43.400000000000226,82.14000000000043,395762.0000000021,5.3182370336197655,8.45005720890588
2021-01-12,8662.521800335435,9.116521198267092,6.835691903963664,155.04893130627215,0.02833234828799927,0.015623172711219786,22517.43064982484,403.03722144209996,43.400000000000226,82.14000000000043,395762.0000000021,5.3199993423032055,9.095372138372102
2021-01-13,8672.728454323986,10.206653988551661,7.549881888541604,155.08383810478512,0.03572889922504931,0.018810139714410354,22543.96175821546,403.12797910678563,43.400000000000226,82.14000000000043,395762.0000000021,5.32721554698967,9.77142854047685
2021-01-14,8684.209786121151,11.481331797166838,8.413092573484434,155.127875346527,0.04465381727592994,0.02361439211612456,22573.806255474814,403.24247592672845,43.400000000000226,82.14000000000043,395762.0000000021,5.339082474721899,10.45427357083923
