date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,total_vaccinations_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,extreme_poverty,diabetes_prevalence,female_smokers,population,excess_mortality_cumulative,excess_mortality
2021-09-01,1164572.948468067,1998.1747295647865,1983.8904238490459,25458.199618524202,5.3544258011801045,5.205958648844765,0.009987394957983248,2186.7876675649727,1.1001498818382296,191.34447230916396,640.1215300763404,139.22717421279216,41222.81912039415,41980.27957868796,0.051010230306537466,19.041974141680562,72.65205033392864,29323.040566926462,33076.51688656643,0.06468145129966474,45.92322977777934,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.691593033248452,2.0211963463087432
2021-09-02,1166573.8392760681,2000.8908080010006,1988.9330008214997,25463.599649251948,5.4000307277435216,5.273205411972948,0.009950630252100896,2187.2518056187873,1.0977924372351702,194.38713574447831,646.167068694942,139.46709332927756,41093.11086582896,41708.30928000827,0.051417659801654955,18.903629927527415,72.71288875238582,27975.037745815436,31863.065282895128,0.06338212919873054,45.64789292156986,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.680756945958606,2.2024053629728577
2021-09-03,1168576.378374312,2002.5390982438043,1993.13577210934,25469.06683454727,5.46718529532284,5.330054834674612,0.009887827246283183,2187.721737051844,1.095618729994899,197.45116305593498,652.104341598777,139.69508599566555,41016.857777684636,41487.78853725254,0.051761370255249045,18.799643906537636,72.77272377178785,26587.065381113385,30597.200061072483,0.06217945404190513,45.36098691806822,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.67083241535132,2.430325884820838
2021-09-04,1170579.3979210071,2003.0195466951382,1996.4350613056665,25474.623073551084,5.556239003812759,5.382649238481726,0.009761216265352347,2188.1993291301915,1.0936503758736804,200.46708916331545,657.8152471493099,139.91062186585086,41007.248714646856,41318.400695117874,0.052045656004300465,18.730285612514756,72.8314503918662,25136.840794076827,29273.578908118554,0.06103714386045285,45.06822758350921,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.661858705271005,2.7044117420854823
2021-09-05,1172581.6737801235,2002.275859116379,1998.8147247122843,25480.28778027647,5.66470672538705,5.4381317252413925,0.009541177228102831,2188.686234404208,1.091909242797311,203.36820633596457,663.283154818997,140.11328314146976,41074.10631620498,41203.299826445116,0.052257900697472354,18.694924939832116,72.88895721859271,23637.52909264879,27900.354850125797,0.05993816817329706,44.77692699015298,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.653828902902845,3.019471302331655
2021-09-06,1174581.2562400715,1999.5824599481466,2000.147908110816,25486.069455116893,5.781674840420386,5.506408587079081,0.009329929462770736,2189.183166430179,1.090410438885315,206.10285158455292,668.4521204775325,140.30330350025247,41230.05856714733,41148.601114177785,0.05239801505122328,18.692145547149483,72.94521355066087,22165.825730281704,26497.696147290568,0.058868946104116374,44.4949221333711,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.646686803227565,3.3657879120613337
2021-09-07,1176577.657063701,1996.400823629503,2000.4124714838904,25491.97969314766,5.910238030767787,5.590215619365557,0.009280737336250655,2189.691114803245,1.089155922247375,208.62657307755526,673.2723321163921,140.4815920401863,41455.794587933284,41157.138456835724,0.05247692111388619,18.719508320026005,73.00025340798605,20799.337671984085,25089.21958945955,0.05782010001118368,44.229771431961154,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.64034013243269,3.729345897569878
2021-09-08,1178571.1018637114,1993.44480001043,1999.7368130505417,25498.02775628612,6.048063138460465,5.689681591705817,0.009545717837352839,2190.2108718167224,1.0881654226163666,210.91587357028698,677.7061883245284,140.64914134752843,41728.66237598557,41229.405345535706,0.05250442645273857,18.773264077770015,73.05405414778019,19546.263079456734,23692.540112262755,0.05677441566772849,43.98815210338269,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.634673466671469,4.094221931257571
2021-09-09,1180562.3261068997,1991.2242431881743,1998.3559095616647,25504.217762915985,6.190006629863459,5.802889506642979,0.010214556639165259,2190.742790901976,1.0874513132454051,212.93520834513635,681.6668422776571,140.80705462085984,42047.21819440036,41365.71011774912,0.052480129794305136,18.849988459103233,73.10662383643319,18421.932102740597,22327.81432789457,0.05570880140819786,43.77540819518414,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.629548363462844,4.443641369180711
2021-09-10,1182552.422117345,1990.0960104454323,1996.5783465216068,25510.546580105576,6.328817189592174,5.926297543686186,0.011472649864635759,2191.286605458321,1.0870123698726462,214.65324853422425,685.103460732161,140.95670127592302,42417.91681322114,41565.86625023821,0.05239758926557379,18.947295804573088,73.15799114817179,17455.853585782035,21023.360228791025,0.05460674649894097,43.595211608573045,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.624808308334515,4.76110594608399
