date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_70_older,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,handwashing_facilities,life_expectancy,human_development_index,population
2022-04-14,10008471.480804307,62088.83525012339,79887.74713130415,42719.117086219805,29.880363632478222,34.99189827266118,50.92575322143972,81.67039331065962,0.5659565555216813,61636.97326747063,83153.23285939405,0.7139658658853678,1.6322966601007276,169585.03570093997,217965.67186960668,0.01383461468830247,51.894670008014884,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-15,10064909.226488829,56437.74568452213,73750.81326492938,42747.16881014003,28.051723920221658,33.19783029790251,51.098081857471804,81.6923081536477,0.5587851283413263,60396.90899068062,81296.65433103562,0.6857664970223007,1.7042936004407714,177639.1146022782,216621.75700498486,0.01495821699554168,51.01847907356133,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-16,10116128.646288743,51219.41979991394,67938.09779646699,42773.39633934393,26.227529203902535,31.460380965185163,51.275795636801405,81.71860482241107,0.5522796995203781,59421.23961308165,79190.9097528017,0.6621358779380256,1.764645539697097,189407.97461053787,217322.72819329938,0.016766335661976262,50.19642620885561,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-17,10162902.852476753,46774.20618800919,62486.537393730396,42797.91297848991,24.516639145977994,29.771016493119674,51.46063308829925,81.75059943667482,0.5463555406389915,58678.31392118817,76727.82512326329,0.644152894232447,1.8108532562595738,204770.8699911132,220293.53764465163,0.019441913995997425,49.428420496977914,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-18,10206574.849603217,43671.997126462666,57393.57036575681,42821.091860564324,23.17888207441565,28.10849330067366,51.65432263996939,81.78965303581263,0.5408784848263678,58139.64033746522,73835.32386830405,0.6326029544493845,1.8413025149160793,223128.240986521,225665.39756122016,0.023114564133067925,48.73172261255251,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-19,10247298.750777088,40723.90117387096,52687.42880421423,42842.91186568834,21.820005124008272,26.47196144286145,51.85802955269851,81.83690792488802,0.5356821344665769,57758.065757300676,70472.10380943757,0.6279375099546862,1.8549943393221624,243382.07620827085,233456.6738173279,0.027867597307945798,48.09559916691283,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-20,10285122.243448053,37823.49267096564,48391.370909237,42863.301400882345,20.389535194008165,24.865457022676175,52.07211355107858,81.8931708434722,0.5305818981996424,57489.273687723486,66614.65788293476,0.6303013871525055,1.85116818500229,264189.37249233807,243498.03519492905,0.03369869410248495,47.48802225818404,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-21,10320076.744625485,34954.501177432416,44515.03765397045,42882.19077270448,18.889371822138337,23.295271500038833,52.29603592823036,81.95879458380013,0.5253855186723569,57295.70526579269,62263.55057121859,0.6397001030663839,1.8293829260820367,284128.9480882801,255493.81280537625,0.040519495689985974,46.89452929868011,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-22,10352245.017292656,32168.272667172598,41047.9702829795,42899.551466729456,17.360694024974812,21.76797867351008,52.52892093453742,82.03367916344814,0.5199245624043977,57150.528949344596,57445.38202990075,0.6558721199630081,1.7901674466623703,302257.45859906985,269185.9548367411,0.048172750403559395,46.29970401990543,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-23,10381811.882717405,29566.865424749223,37954.748436054964,42915.42560715768,15.874140428233387,20.288954916574085,52.76920427556377,82.11730785351705,0.5140402220618638,57041.64671200853,52230.84455409982,0.6780348268824058,1.7354067743956163,317871.35899455176,284032.1192949771,0.0564147922790756,45.68846369689423,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-24,10409102.254685126,27290.371967721607,35171.343741068406,42929.948051522166,14.522444364484686,18.861269354851398,53.01437837366278,82.20890590629821,0.5076193714591328,56959.98503400648,46741.984061987314,0.7049892746543717,1.668083846149009,330120.05834847846,299174.6061971545,0.06494570959392221,45.047024566465176,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-25,10434746.173997052,25643.919311925685,32595.904214495582,42943.4322894497,13.48423792753289,17.47639351581536,53.26154897093882,82.30728285570956,0.5006325958212411,56898.73877550494,41134.157487343786,0.7351752947108834,1.5922894521618558,338208.3410141066,313611.58001955354,0.0733896312581438,44.36362589091229,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-26,10458800.26621209,24054.09221503673,30214.50305631451,42955.88239420434,12.450104754634813,16.13792312651894,53.50734433971033,82.41097006033432,0.49313912042766384,56852.80408162879,35592.151535029516,0.7668398582341981,1.5128402306857116,341618.35839471105,326320.3735893263,0.08138304438737012,43.62907300577315,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-27,10481245.720118035,22445.45390594467,28017.640454970235,42967.27726107025,11.39486686591148,14.85306451683492,53.748155313606354,82.51815692469495,0.4852673978514531,56818.35306122167,30293.77494732904,0.7982068167525729,1.434728750906981,339886.0465863807,336329.39386361773,0.08857396719485872,42.83714460565507,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-28,10502047.965282464,20802.245164429434,25995.88963437573,42977.60227353384,10.32501246359005,13.629677993314633,53.980433712095596,82.62700053127182,0.47718745853726535,56792.51479591634,25392.6842163145,0.8277318740382513,1.3625575521912263,332888.05759654095,342832.61340029945,0.0946504172190272,41.98489820860465,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-29,10521201.430215903,19153.46493343845,24136.63138916256,42986.87305292032,9.270779386477292,12.47406036958198,54.201559608570804,82.73582142301765,0.4690727205997822,56773.136096937335,21003.109170639247,0.8542165687478236,1.2999449902584825,321723.35572703334,345254.0404962497,0.09940167846048904,41.07289925438502,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-30,10538763.110994197,17561.680778294758,22421.604986118873,42995.15327062113,8.280217700814665,11.389281864128966,54.40996317766283,82.84313796448379,0.46111093993270735,56758.60207270308,17181.015071256752,0.8770125396830409,1.2481520200047878,307715.2687776068,343385.18313560076,0.10269395438512131,40.105392928183775,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-05-01,10554877.7477253,16114.636731103114,20825.071340267907,43002.56800726455,7.414736643419667,10.373938773662346,54.604396537524295,82.94762512817873,0.4534906063716384,56747.70155452739,13942.926768859505,0.8957655456801876,1.2076524765420538,291477.9265993657,337320.6027847973,0.10445162286705705,39.10188083059166,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-05-02,10569884.4102607,15006.662535399104,19305.463182641157,43009.33898217762,6.770974913075424,9.414902852063188,54.78409313682139,83.04815404328994,0.44640738593580764,56739.52616589562,11264.164355894794,0.910472995717802,1.1776979870122304,273879.15864808095,327374.6310963554,0.1046871334398857,38.07407869017069,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
