date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,extreme_poverty,population
2022-04-28,1008507.7722106292,7615.89573155908,6126.718244188866,14801.387542573642,46.40550994155022,48.38578840181266,707.6356318630301,0.7690654577392725,14769984.00000008,642.7034402620577,52.136117312812964,2089381.2978145683,0.01940814453406257,78.99817596709477,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-29,1017145.6376744569,8637.865463827697,6658.572699140368,14847.437230944473,46.049688370836286,47.45747462391935,713.6968019515722,0.7385993518694196,14769984.00000008,641.4775801965442,52.24234491045706,2012734.1634061774,0.01904948267333299,79.04952564047956,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-30,1027032.0702564905,9886.432582033687,7310.380794878883,14893.067338205143,45.63010726067414,46.82665654971075,720.6340419937384,0.7084923387243022,14769984.00000008,640.558185147409,52.344259244606036,1931634.9470536658,0.018608055767119998,79.08977658330096,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-05-01,1038327.4654751748,11295.395218684305,8097.347406113928,14938.195300033967,45.12796182882822,46.37412929011118,728.5598663369337,0.6788745869456192,14769984.00000008,639.8686388605576,52.441766808558484,1847950.1437097732,0.01809049560685263,79.11450890806407,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-05-02,1050696.6936280373,12369.228152862635,9001.595587714099,14982.984629518061,44.78932948409698,45.97703830565714,737.2390860810789,0.6499345439584072,14769984.00000008,639.351479145419,52.53484239795093,1763836.9936905415,0.01750904817572773,79.12838168104815,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-05-03,1064289.0484854123,13592.35485737486,10036.116626952367,15027.37874363178,44.39411411371921,45.59175869045817,746.776443035277,0.6218933772642166,14769984.00000008,638.9636093590651,52.62354562553256,1681766.7885775398,0.01688178613179582,79.13878626078622,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-05-04,1079457.8368327096,15168.788347297494,11223.710720052692,15071.17441001862,43.79566638684086,45.172183756046664,757.4198406798201,0.5949704531162303,14769984.00000008,638.6727070192997,52.708023380198526,1603923.7501274038,0.01622016312825865,79.14658969558977,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-05-05,1096627.3597027496,17169.522870040055,12588.514382961326,15114.102042161692,42.927632143071875,44.6754246625425,769.4670068834926,0.5694398631080202,14769984.00000008,638.4545302644756,52.78852254484515,1531922.9838948436,0.015530668564681402,79.15244227169244,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-05-06,1116193.1483000116,19565.788597261817,14149.646009425287,15155.885920761562,41.783878599870214,44.066085142026516,783.1954909415475,0.5455871694706409,14769984.00000008,638.2908976983575,52.86538036299004,1467370.7931893957,0.014827057661390836,79.15683170376943,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-05-07,1138447.140943821,22253.992643809368,15916.440039551218,15196.289359769642,40.40343900807983,43.31946754107069,798.8101613541902,0.523627513496,14769984.00000008,638.168173273769,52.9390032440467,1411576.4788610209,0.014126918973257106,79.16012377782718,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
