date,total_cases,new_cases,total_deaths,new_deaths,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2021-12-06,0.0,0.0,0.0,0.0,2027.717691311534,0.05692772398044433,382836.00000000204
2021-12-07,0.0,0.0,0.0,0.0,1782.7236434028503,0.04853839156322597,382836.00000000204
2021-12-08,0.0,0.0,0.0,0.0,1555.309717038241,0.04078097531430702,382836.00000000204
2021-12-09,0.0,0.0,0.0,0.0,1353.868454553084,0.033923158764334035,382836.00000000204
2021-12-10,0.0,0.0,0.0,0.0,1183.8215089820405,0.028135646384174907,382836.00000000204
2021-12-11,0.0,0.0,0.0,0.0,1046.9395318658137,0.023469543450057504,382836.00000000204
2021-12-12,0.0,0.0,0.0,0.0,940.7307639607703,0.019836158880367962,382836.00000000204
2021-12-13,0.0,0.0,0.0,0.0,861.3229113674759,0.01711225167482026,382836.00000000204
2021-12-14,0.0,0.0,0.0,0.0,803.9935571519813,0.015136063352107449,382836.00000000204
2021-12-15,0.0,0.0,0.0,0.0,763.6915964354155,0.013744904656937744,382836.00000000204
2021-12-16,0.0,0.0,0.0,0.0,735.5544116122767,0.012770863366652903,382836.00000000204
2021-12-17,0.0,0.0,0.0,0.0,715.4158087092085,0.012078147524989691,382836.00000000204
2021-12-18,0.0,0.0,0.0,0.0,700.3118565319073,0.011558610643742284,382836.00000000204
2021-12-19,0.0,0.0,0.0,0.0,688.9838923989314,0.011168957982806727,382836.00000000204
2021-12-20,0.0,0.0,0.0,0.0,680.4879192991995,0.01087671848710506,382836.00000000204
2021-12-21,0.0,0.0,0.0,0.0,674.1159394744005,0.01065753886532881,382836.00000000204
2021-12-22,0.0,0.0,0.0,0.0,669.3369546058013,0.010493154148996622,382836.00000000204
2021-12-23,0.0,0.0,0.0,0.0,665.752715954352,0.01036986561174748,382836.00000000204
2021-12-24,0.0,0.0,0.0,0.0,663.0645369657649,0.010277399208810625,382836.00000000204
2021-12-25,0.0,0.0,0.0,0.0,661.0484027243245,0.010208049406607982,382836.00000000204
