date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,life_expectancy,population
2020-11-20,13.000000000000068,1.557095686141395e-15,3.913711148908487e-15,1.000000000000005,6.564148704227763e-27,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-21,13.000000000000068,1.1678217646060462e-15,2.9352833616813655e-15,1.000000000000005,4.9231115281708216e-27,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-22,13.000000000000068,8.758663234545347e-16,2.201462521261024e-15,1.000000000000005,3.692333646128116e-27,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-23,13.000000000000068,6.56899742590901e-16,1.6510968909457682e-15,1.000000000000005,2.7692502345960873e-27,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-24,13.000000000000068,4.926748069431757e-16,1.2383226682093263e-15,1.000000000000005,2.0769376759470655e-27,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-25,13.000000000000068,3.695061052073818e-16,9.287420011569947e-16,1.000000000000005,1.5577032569602991e-27,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-26,13.000000000000068,2.7712957890553636e-16,6.965565008677461e-16,1.000000000000005,1.1682774427202244e-27,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-27,13.000000000000068,2.0784718417915227e-16,5.224173756508096e-16,1.000000000000005,8.762080820401682e-28,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-28,13.000000000000068,1.558853881343642e-16,3.918130317381072e-16,1.000000000000005,6.571560615301262e-28,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-29,13.000000000000068,1.1691404110077315e-16,2.9385977380358037e-16,1.000000000000005,4.928670461475946e-28,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
