date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,male_smokers,extreme_poverty,cardiovasc_death_rate,population,excess_mortality_cumulative,excess_mortality
2022-04-19,11752676.23651185,11177.167424319447,10688.830142608553,104939.87942455208,53.34027800449232,51.01011159697035,51.84893836188289,2194.091686293244,0.9732230805229574,313.92899857154526,4533.314402008286,209.28972070064387,54540.657286489004,54002.62029410243,0.23099622523054186,4.4060248838236085,86.59185380934102,47657.02327609755,12685.795128797303,9.62735012786531e-05,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.093314907958515,6.825019671986479
2022-04-20,11764097.919271428,11421.682759577678,10844.04029441603,104994.00182762559,54.12240307350507,51.789056225200355,51.864296585460934,2195.2231286501237,0.9861173750334606,312.2918200340246,4645.550394266403,212.1728658325291,55241.95052789204,54116.148090648,0.23628821611101275,4.304397460540628,86.59455710447409,47657.01745707323,12336.924643301289,7.220512595898982e-05,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.089800475917649,6.959043242308274
2022-04-21,11775825.60564622,11727.686374789933,11036.707575854056,105048.91945410655,54.91762648095306,52.5796095573942,51.88015922534874,2196.371231910996,1.0017358981141404,311.5317286325002,4764.296958595736,215.45531194711853,56087.1249838312,54416.124481043604,0.2415083404930854,4.2079878174481395,86.59726597530677,47657.013092804984,12097.85962662595,5.415384446924237e-05,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.08640647938723,7.075109839617447
2022-04-22,11787913.7302851,12088.124638881738,11266.246957585452,105104.61328159494,55.69382748838133,53.36670409758677,51.89659326624283,2197.5355981413945,1.0198066100755874,311.63670856228765,4888.241723471696,219.1055757509016,57040.132312534115,54890.50944029151,0.24660733811060304,4.117401658173376,86.60001205651021,47657.0098196038,11964.992376724489,4.061538335193178e-05,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.08315382989781,7.180150691653257
2022-04-23,11800399.305907119,12485.575622018465,11530.670034446379,105161.02161278005,56.408331185129,54.13495228133495,51.91363669176364,2198.714934223373,1.039922507653654,312.5394092497705,5015.354110961892,223.1046343018643,58055.3888918021,55524.46204143397,0.25154794055774254,4.032808838975868,86.60282270246219,47657.00736470291,11929.841389847843,3.0461537513948836e-05,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.080067861111154,7.281326450266409
2022-04-24,11813294.147077415,12894.841170295382,11826.063351626657,105218.03215981144,57.010547031380774,54.86965086258499,51.93131066361918,2199.9068861878945,1.0615178341985485,314.12285040856295,5143.485104876242,227.46197604960477,59104.41990091371,56296.454643551326,0.25632045768075074,3.9542155497231795,86.60572182261123,47657.00552352725,11980.680153568832,2.2846153135461625e-05,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.077176299841136,7.385455244939637
2022-04-25,11826556.061568584,13261.914491166935,12150.998044262999,105275.38156976175,57.34940995032945,55.54979470802479,51.949612010858175,2201.105935972533,1.0839341093269996,316.256051833572,5270.5576392583525,232.18832108051356,60132.09561411458,57171.6645928769,0.26091923789534044,3.881542399202538,86.60872595233114,47657.00414264551,12102.450774517301,1.713461485159622e-05,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.07450682087311,7.49838102646492
2022-04-26,11840206.969705865,13650.908137282786,12504.389273177876,105333.05314564725,57.671575885500886,56.168647582408454,51.96851055953349,2202.311733330405,1.1064557532945403,318.7864150872027,5394.403426599558,237.2892046112905,61066.756455253126,58103.9772908116,0.2653250134247378,3.8143258362474164,86.61184165235449,47657.00310698419,12277.224053738672,1.2850961138697165e-05,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.07208248891184,7.6247995291985955
2022-04-27,11854268.631788142,14061.662082276915,12881.528870365004,105391.09326906105,58.04012341380254,56.72838177601133,51.987950092673245,2203.52524860802,1.1284468569877135,321.5567958015046,5512.774790376308,242.71383299951543,61881.264351782535,59052.46504632469,0.2695273735139319,3.752114771497138,86.61506390463983,47657.00233023821,12485.064565837312,9.638220854022873e-06,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.069927782280903,7.769236316951594
2022-04-28,11868752.488191478,14483.856403336666,13275.267142431176,105449.57833899697,58.48506993591759,57.23803681681788,52.007852032982704,2204.7480806059857,1.149286015397542,324.34132018661694,5623.478038483597,248.3298317632116,62563.240329124645,59977.6394925652,0.2735294991076536,3.6946694658238926,86.61837525556467,47657.001747678725,12705.205534914525,7.228665640517155e-06,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.068068816671907,7.935649880617023
2022-04-29,11883652.039446792,14899.551255314416,13676.899223177636,105508.58997596733,59.01163697036104,57.711988504662614,52.02811697745665,2205.981937474531,1.1684150609987076,326.9424962808811,5724.67796971597,254.02140420379237,63101.754826675504,60843.60219537745,0.27732811980585376,3.641769714106127,86.62175423463697,47657.00131075911,12918.8272442693,5.421499230387866e-06,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.066532820371707,8.127141579822831
2022-04-30,11898937.131298102,15285.091851311305,14076.829838036123,105568.19642509136,59.606449124021665,58.168800686835766,52.0486298319834,2207.2282473851515,1.1854336292978367,329.147790116285,5814.7442723742515,259.6760563849067,63544.423133581375,61627.766950347,0.28091108662232867,3.5930758311516753,86.6251740937039,47657.000983069396,13107.723406699086,4.0661244227909e-06,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.065347048098076,8.345745717603307
2022-05-01,11914549.668496218,15612.537198115046,14465.071877395892,105628.43860841142,60.2421833200687,58.630364089787534,52.06927437940517,2208.4878665343417,1.2001671741388609,330.77949158527497,5892.374897881215,265.1966512091717,63971.93480332122,62323.142278048,0.2842802768284146,3.548507584417413,86.62860507546475,47657.000737302114,13255.056517532414,3.049593317093175e-06,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.064537273791736,8.592279714834685
2022-05-02,11930395.249723827,15845.581227610226,14834.16689802755,105689.14949606308,60.71088765165471,59.11043531685593,52.08994471858911,2209.7573055245475,1.2124925428536626,332.1437331039534,5963.641192803292,270.550267980247,64379.822628024296,62929.973660701566,0.2874330583000444,3.5079239979446095,86.63201662788104,47657.00055297665,13347.60405589335,2.2871949878198813e-06,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.064125967625651,8.866239359493836
