date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations_per_hundred,total_boosters_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_70_older,extreme_poverty,hospital_beds_per_thousand,population,excess_mortality_cumulative
2020-04-01,520.439925687177,55.18124269260463,44.68470511853704,57.45134134892997,7.782005228388744,5.622116412247399,0.010000000000000054,0.06000000000000032,1.9666045765806341,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,93.65546317258827,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-04-02,586.650128492921,66.21354998971863,49.4682693043198,66.72788868784498,9.276920857296748,6.451437987918593,0.010000000000000054,0.06000000000000032,1.9681169747754912,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,93.85159737944133,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-04-03,669.9607540943204,83.3131359893803,56.07745310946167,78.06813694251608,11.340528393457394,7.4785975601050865,0.010000000000000054,0.06000000000000032,1.96912893987283,9968.420168067278,0.0,9.799621848739548,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,93.99869803458112,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-04-04,776.0309728105608,106.07210150722615,65.21414009066135,91.97493916454722,13.90701232612087,8.756491964519686,0.010000000000000054,0.06000000000000032,1.969239077238174,9967.699579831984,0.0,9.799905462184928,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,94.10902352593597,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-04-05,909.4587499699132,133.42918925259187,77.46682113134457,108.8192134231844,16.844431836704455,10.325389335380734,0.010000000000000054,0.06000000000000032,1.9680558431581097,9967.367994505546,0.0,9.801057086296112,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,94.1917676444521,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-04-06,1064.9311503895249,155.47345948954114,92.77672703144333,127.90547341580483,19.086378176170907,12.152827392615084,0.010000000000000054,0.06000000000000032,1.9652131816575311,9968.313439318088,0.0,9.803999020281244,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,94.2538257333392,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-04-07,1245.9763524495474,181.0459963624697,111.53277959808175,149.56245994226762,21.657075164125633,14.270097596820747,0.010000000000000054,0.06000000000000032,1.9604008364693954,9971.864943741974,0.00042000646412411176,9.8066999762646,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,94.30036930000452,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-04-08,1460.1691421652176,214.1933854425056,134.24864012842585,174.5646859392479,25.002292475227435,16.729795078675707,0.010000000000000054,0.06000000000000032,1.953379328063103,9978.862799597056,0.0014877585649644524,9.81023991432516,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,94.33527697500352,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-04-09,1716.403521135875,256.234825765784,161.39432350291312,203.84355323918098,29.278917158618434,19.586939069187814,0.010000000000000054,0.06000000000000032,1.9440180125308466,9986.460431953787,0.0033485273917259356,9.812020595084544,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,94.36145773125277,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-04-10,2022.8471625067261,306.44397646719574,193.26990875517487,238.27069013947022,34.427174294303256,22.884813222382178,0.010000000000000054,0.06000000000000032,1.9322753064246405,9991.231910907823,0.006120154431965123,9.809348348705146,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,94.38109329843971,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
