date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,female_smokers,male_smokers,hospital_beds_per_thousand,population
2021-09-24,387198.6306390858,137.42622308503496,140.37445856876445,6043.618876124098,0.9548154785760641,0.9194568354011301,3509220.8541563293,78.68525817967182,0.9930352549327346,7609.270851150289,0.019574640804884604,59.70339762721949,24.58610406294291,18913.484690118785,18820.996015071672,0.04493144447110112,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-25,387333.87924951524,135.24861042948422,139.49051360983145,6044.568084048479,0.949207924381306,0.9304400732218251,3516767.0629831213,78.72183665349993,0.9935875271724031,7546.208826791944,0.019314464766559406,60.30844834969719,25.0660710982738,19043.68415430534,18802.593763081415,0.04294583610057864,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-26,387466.6644145126,132.7851649972911,138.24425398565432,6045.502194258088,0.9341102096078941,0.9373232675860534,3524255.9879451673,78.75767193097832,0.9944537352306289,7488.924962046134,0.018951911923335868,61.03998202827169,25.550694403214113,19132.42675503091,18839.468172989822,0.0413275089435659,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-27,387596.96529537113,130.30088085850502,136.6502866430871,6046.410404581746,0.9082103236571176,0.9377264519823663,3531693.800784349,78.79278352160165,0.9956772438922684,7437.81283918167,0.01849964822821621,61.865860793989896,26.036573646625232,19150.53989497392,18904.154798132826,0.04000355025971067,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-28,387724.56201289926,127.59671752817111,134.71157131715714,6047.288508025847,0.8781034441003054,0.9308648131302795,3539090.2572463145,78.82725441560342,0.9972857286528809,7396.4564619654475,0.017980101394174462,62.74789591869872,26.52034006043761,19107.15223861896,18970.794492264802,0.03886433043880374,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-29,387849.30492919666,124.742916297389,132.46977351049247,6048.135207780867,0.8466997550209314,0.9170070455296759,3546454.9558629887,78.86105005540016,0.9992959060565658,7364.698616674483,0.017423020454163513,63.65045652208813,26.99876829678268,18989.758118847894,19015.95936305771,0.037837161856252174,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-30,387971.1615669691,121.85663777249246,129.99441158083332,6048.951874484657,0.8166667037899401,0.8972329829190746,3553789.7297123726,78.89412545363814,1.0016923561746172,7334.7738493837005,0.016863645431120393,64.53297813817252,27.46883397953598,18795.70270355094,19018.890352933257,0.03685912543226675,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-10-01,388090.2517990154,119.09023204624086,127.37471705666587,6049.742364169901,0.7904896852438781,0.8732518218693328,3561091.9842105936,78.92645446514791,1.0044720790249526,7302.25449822072,0.016328729548453436,65.35075493523905,27.928325710896367,18545.036626887537,18966.24462313565,0.03590824194103916,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-10-02,388206.8742403416,116.62244132621278,124.71352987394752,6050.51288172472,0.7705175548184946,0.8472657894789237,3568365.4346834836,78.95802491479512,1.0076174723262465,7273.4504728898555,0.015837044898896657,66.0700377592833,28.375586881750213,18243.593614315643,18851.93387135952,0.03496754215390482,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-10-03,388321.5260422477,114.65180190610124,122.12271980365084,6051.271878488118,0.7589967633989398,0.821867894145393,3575616.6221341435,78.98889263567628,1.0111260001722882,7251.187450659645,0.015410750707139544,66.66585411131777,28.808808777990144,17874.06285779558,18672.154879925612,0.03403431854173764,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
