date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,male_smokers,female_smokers,hospital_beds_per_thousand,population
2021-11-03,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000234057,0.010000000611897738,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-04,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000175546,0.010000000458923318,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-05,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000001316622,0.010000000344192503,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-06,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000987495,0.010000000258144391,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-07,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000740648,0.010000000193608308,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-08,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000055551,0.010000000145206245,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-09,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000416662,0.010000000108904698,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-10,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000312523,0.010000000081678537,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-11,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000023442,0.010000000061258917,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-12,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000017584,0.010000000045944202,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-13,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000013191,0.010000000034458166,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-14,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000098956,0.010000000025843638,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-15,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000074243,0.010000000019382742,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-16,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000005571,0.010000000014537071,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-17,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000004181,0.010000000010902817,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-18,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000031384,0.010000000008177128,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-19,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000023563,0.01000000000613286,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-20,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.00000000000177,0.01000000000459966,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-21,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000013305,0.010000000003449758,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-22,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000010005,0.010000000002587333,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-23,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000753,0.010000000001940514,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-24,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000005675,0.0100000000014554,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-25,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000004285,0.010000000001091565,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-26,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000324,0.010000000000818687,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-27,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000246,0.01000000000061403,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-28,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000001874,0.010000000000460536,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-29,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000001434,0.010000000000345417,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-30,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.00000000000011,0.010000000000259076,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-01,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000853,0.01000000000019432,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-02,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000666,0.010000000000145755,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-03,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000053,0.010000000000109331,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-04,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000042,0.010000000000082013,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-05,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000034,0.010000000000061524,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-06,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000284,0.010000000000046158,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-07,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000024,0.010000000000034632,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-08,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000021,0.010000000000025988,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-09,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000018,0.010000000000019505,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-10,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000164,0.010000000000014643,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-11,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000015,0.010000000000010997,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-12,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000014,0.010000000000008261,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-13,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000133,0.01000000000000621,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-14,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000013,0.010000000000004672,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-15,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000124,0.010000000000003518,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-16,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000000000012,0.010000000000002653,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-17,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000115,0.010000000000002004,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-18,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000115,0.010000000000001516,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-19,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000115,0.010000000000001152,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-20,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000115,0.010000000000000878,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-12-21,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000000000115,0.010000000000000673,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
