date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-05-04,2759.0648218839297,3.563568314066938,3.462506487905096,8.999999999851566,6.543763579569271e-11,194272.9779597553,169.00000000000088,10.730000000000057,8.99700507396273,0.010026215609833003,15877.000000000084
2022-05-05,2762.840714021225,3.7758921372955223,3.578240887260437,8.999999999888686,4.907822684676953e-11,194538.84847951293,169.00000000000088,10.730000000000057,8.94245322370089,0.010019661707374767,15877.000000000084
2022-05-06,2767.0498955676353,4.209181546410563,3.711530697765954,8.999999999916527,3.680867013507715e-11,194835.228027379,169.00000000000088,10.730000000000057,8.876717099417567,0.01001474628053109,15877.000000000084
2022-05-07,2771.9142477907917,4.864352223156348,3.9009983788512974,8.999999999937408,2.7606502601307862e-11,195177.7398384078,169.00000000000088,10.730000000000057,8.798488050807531,0.010011059710398331,15877.000000000084
2022-05-08,2777.6338758883467,5.719628097554732,4.185882268301375,8.999999999953069,2.0704876950980897e-11,195580.47383808214,169.00000000000088,10.730000000000057,8.705071597252395,0.009995689740781955,15877.000000000084
2022-05-09,2784.2037036195607,6.569827731213895,4.604925922299084,8.999999999964814,1.5528657713235673e-11,196043.07258509065,169.00000000000088,10.730000000000057,8.596418436142281,0.009969456381216733,15877.000000000084
2022-05-10,2791.7473478504207,7.543644230860338,5.176792373204607,8.999999999973623,1.1646493284926754e-11,196574.24026412528,169.00000000000088,10.730000000000057,8.472992560138398,0.009941862809506617,15877.000000000084
2022-05-11,2800.4411508361063,8.693802985685672,5.90977592179099,8.99999999998023,8.734869963695066e-12,197186.39359806193,169.00000000000088,10.730000000000057,8.33868107168752,0.009927308548629653,15877.000000000084
2022-05-12,2810.457204432837,10.016053596730337,6.801346485622506,8.999999999985185,6.551152472771299e-12,197891.65003209552,169.00000000000088,10.730000000000057,8.201441314431456,0.009929644307399857,15877.000000000084
2022-05-13,2821.920618256758,11.463413823921401,7.837807860338421,8.999999999988901,4.913364354578475e-12,198698.8188718418,169.00000000000088,10.730000000000057,8.071103610257993,0.009966302396677895,15877.000000000084
2022-05-14,2834.877470803109,12.956852546350902,8.994041415615824,8.999999999991688,3.685023265933856e-12,199611.14463691332,169.00000000000088,10.730000000000057,7.959872633356078,0.01004906422478704,15877.000000000084
2022-05-15,2849.270772785594,14.3933019824846,10.233313867141751,8.99999999999378,2.763767449450392e-12,200624.61457610157,169.00000000000088,10.730000000000057,7.884949723885847,0.010217955246806196,15877.000000000084
2022-05-16,2865.0598345988956,15.789061813301746,11.550532265256141,8.999999999995346,2.072825587087794e-12,201736.36364830143,169.00000000000088,10.730000000000057,7.863243643916335,0.010518831658116946,15877.000000000084
2022-05-17,2882.264187519958,17.204352921062313,12.930825346324161,8.999999999996522,1.5546191903158454e-12,202947.76710710546,169.00000000000088,10.730000000000057,7.910037774954069,0.0109755814035748,15877.000000000084
2022-05-18,2900.7696015320216,18.505414012063735,14.332680095715997,8.999999999997403,1.165964392736884e-12,204250.7817167224,169.00000000000088,10.730000000000057,8.034580690620864,0.011594000209112923,15877.000000000084
2022-05-19,2920.3578087766864,19.588207244665156,15.700327783487088,8.999999999998064,8.74473294552663e-13,205630.03865971405,169.00000000000088,10.730000000000057,8.240673720939157,0.012364698605444927,15877.000000000084
2022-05-20,2940.7287961429583,20.370987366272008,16.973033491138292,8.999999999998561,6.558549709144972e-13,207064.4132177981,169.00000000000088,10.730000000000057,8.52370180007736,0.013277887237858766,15877.000000000084
2022-05-21,2961.517524709033,20.788728566074433,18.092063256686004,8.999999999998934,4.918912281858729e-13,208528.20203245035,169.00000000000088,10.730000000000057,8.872301236935861,0.014298751562847881,15877.000000000084
2022-05-22,2982.306469323634,20.788944614601103,19.00590943346476,8.999999999999213,3.689184211394047e-13,209992.00605035617,169.00000000000088,10.730000000000057,9.267461221819557,0.015386313187326629,15877.000000000084
2022-05-23,3002.6867039642875,20.380234640653505,19.661970213430855,8.999999999999423,2.7668881585455355e-13,211427.03170728908,169.00000000000088,10.730000000000057,9.685857713391187,0.016496586862052853,15877.000000000084
2022-05-24,3022.4836608109704,19.796956846682786,20.03251531359612,8.999999999999579,2.0751661189091517e-13,212820.98721986596,169.00000000000088,10.730000000000057,10.101578158992986,0.017573959215705797,15877.000000000084
2022-05-25,3041.556394606293,19.07273379532239,20.113723427666415,8.999999999999696,1.5563745891818638e-13,214163.94825765997,169.00000000000088,10.730000000000057,10.490372371668801,0.018557327847461343,15877.000000000084
2022-05-26,3059.813417480257,18.25702287396434,19.92369981056884,8.999999999999785,1.167280941886398e-13,215449.47291577273,169.00000000000088,10.730000000000057,10.828493564465903,0.01939731068844025,15877.000000000084
2022-05-27,3077.224575068826,17.41115758856959,19.500989466847148,8.99999999999985,8.754607064147984e-14,216675.4379442636,169.00000000000088,10.730000000000057,11.095933844971938,0.02005816401180533,15877.000000000084
2022-05-28,3093.829953602852,16.60537853402579,18.90346204195827,8.9999999999999,6.565955298110988e-14,217844.66592022128,169.00000000000088,10.730000000000057,11.278075141324315,0.02052083697136211,15877.000000000084
