date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,human_development_index,population,excess_mortality_cumulative,excess_mortality
2020-12-16,127231.12054708658,521.209074263774,517.55105181913,4336.327236490355,22.304215718478698,18.6489710854604,0.3600000000000019,1.013942137945213,3474.030649887093,3433.1932091031704,0.15294120156285854,6.599869556409919,8587.000000000044,1112.000000000006,0.010000000000000054,49.574069894834466,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.693893737247322,15.094089781710476
2020-12-17,127750.6831543358,519.5626072492211,518.6227824002241,4359.827230858399,23.499994368044582,19.820828023209746,0.3600000000000019,1.0120252847775926,3460.670078559475,3445.6633295811,0.15193036788190495,6.645013673448366,8587.000000000044,1112.000000000006,0.010000000000000054,49.62786399190808,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.700287557529654,15.102560017970937
2020-12-18,128266.6206721515,515.9375178157143,518.8196163735366,4384.369065677743,24.54183481934311,21.00451031928194,0.3600000000000019,1.0102833462593432,3439.15307604954,3452.6540259511817,0.15076968929216583,6.6956914121645,8587.000000000044,1112.000000000006,0.010000000000000054,49.7039312841703,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.706313484196755,15.08969896351978
2020-12-19,128777.01821904595,510.3975468944302,517.9414283435017,4409.723841921532,25.354776243789853,22.146068421426584,0.3600000000000019,1.0088857482206885,3412.2752627579093,3452.2294496508507,0.1495525416943993,6.747806051043229,8587.000000000044,1112.000000000006,0.010000000000000054,49.803283789566066,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.711938963918662,15.048487792683257
2020-12-20,129280.20732944302,503.1891103970677,515.8534151490296,4435.588017187762,25.86417526622963,23.19133864638672,0.3600000000000019,1.00799058783003,3375.5447793244157,3442.788910121142,0.14835154266381842,6.797902049594649,8587.000000000044,1112.000000000006,0.010000000000000054,49.92556142006731,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.71719000186597,14.9778041121272
2020-12-21,129775.34539688853,495.13806744550664,512.35758204697,4461.7790219406015,26.19100475283968,24.11150899448626,0.3600000000000019,1.007725972546732,3326.0773142929283,3423.270383301915,0.14726398020406956,6.841626278631033,8587.000000000044,1112.000000000006,0.010000000000000054,50.06892736757156,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.722156722472537,14.883164816480683
2020-12-22,130261.4532784358,486.1078815472851,507.3649892178397,4488.177026636453,26.39800469585152,24.87886768639479,0.3600000000000019,1.008184912506366,3262.85795339908,3393.020596138367,0.14642067422868263,6.874571357324933,8587.000000000044,1112.000000000006,0.010000000000000054,50.234653508872015,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.727010329738805,14.779513583733696
2020-12-23,130737.76849793499,476.31521949918454,500.9516014802841,4514.560937398161,26.383910761707682,25.46218324701979,0.3600000000000019,1.009453972033299,3190.365362269741,3352.4880876984794,0.14590745783699374,6.8934188218075425,8587.000000000044,1112.000000000006,0.010000000000000054,50.41734517367089,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.731948946860868,14.684406057686708
2020-12-24,131203.9370392562,466.1685413212216,493.3238268374277,4540.663123863106,26.102186464945955,25.834420240694744,0.3600000000000019,1.0116068009383563,3113.914002309937,3302.942277797135,0.14580292692654964,6.895857587590314,8587.000000000044,1112.000000000006,0.010000000000000054,50.61024966887638,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.737174495259715,14.615185603381406
2020-12-25,131660.15719120705,456.2201519508392,484.79267038663636,4566.210465069282,25.547341206175563,25.978526072570222,0.3600000000000019,1.0147333812467552,3034.3873924887594,3245.109180875328,0.1461967330100385,6.878491445379234,8587.000000000044,1112.000000000006,0.010000000000000054,50.80619371578146,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.742873045237399,14.586791247969632
