date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,extreme_poverty,male_smokers,population,excess_mortality_cumulative,excess_mortality
2021-06-06,274366.67488779034,408.7510555032817,501.43240860883395,4260.901491772925,8.214585698625623,9.425878627321776,97399.45570615507,0.010000000000000054,0.6234843914087982,79.7939609352441,18828.10537658259,19232.612056455684,0.021692921757797908,51.64456690183842,38.80687649679484,23317.213860433556,22812.526662533393,0.4260030565329217,41.49051985602708,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.981804373694672,19.002423859733565
2021-06-07,274754.5258491011,387.85096131071964,471.79154950769254,4268.76454804754,7.863056274615639,9.053438220652946,97537.14184926738,0.010000000000000054,0.6140198869631929,78.01155021015974,18559.961692424036,19096.93695119764,0.02042321426598905,54.63416370255861,39.227888626636265,23265.82164290115,22999.123487527097,0.42707065051216764,41.04285498575016,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.986496945429398,19.129099084199037
2021-06-08,275121.658074609,367.13222550792705,443.5082548909509,4276.263230040186,7.4986819926456425,8.667602905955137,97667.47293931007,0.010000000000000054,0.604496169262473,76.20835561172463,18233.31656666776,18924.443405059537,0.019242750066007647,57.74242141945298,39.639447012963686,23119.376768698196,23109.727231029967,0.42571378297139195,40.69719666917693,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.991635729664925,19.3068149632555
2021-06-09,275467.2505695318,345.5924949228008,416.62593906737334,4283.380712769318,7.117482729131945,8.273733853674507,97790.15752235599,0.010000000000000054,0.5948656628227442,74.36397517679615,17864.49552131629,18710.05768307716,0.018152973991005433,60.96032608398221,40.0392696488631,22887.942854481014,23139.71434699584,0.42184351434554523,40.438023229096714,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.997169936042695,19.519692670405455
2021-06-10,275790.327859276,323.07728974413715,391.16261848928286,4290.106720743769,6.726007974450777,7.87803762361077,97904.84930029977,0.010000000000000054,0.5851201585585586,72.46417401349572,17457.489885977542,18449.72033082761,0.017138324546259912,64.30197856427958,40.42540020044829,22581.97648475219,23086.5670304473,0.415419642869696,40.240576245352,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.003068259124113,19.753904695342676
2021-06-11,276090.39589445735,300.06803518140634,367.0842941837046,4296.445425173217,6.3387044294483035,7.486871624301493,98011.37287648546,0.010000000000000054,0.5752772553119384,70.49691848685103,17022.488035039092,18142.262420066436,0.0161919787038126,67.79064520310637,40.796009426354374,22235.55485871608,22954.965301924065,0.40650122213288015,40.07055241672252,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.00933813219517,20.000040281595687
2021-06-12,276367.91897966695,277.52308520958445,344.2849885757233,4302.42136687604,5.975941702823144,7.106223207560323,98109.89306492725,0.010000000000000054,0.5653685749681174,68.44715557489918,16548.809869201126,17787.861650214683,0.01531043522372243,71.42252494951799,41.14922604197011,21834.590384502502,22748.91877282317,0.39521221265654494,39.92100965837258,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.016036242973165,20.254660417125322
2021-06-13,276624.6774700447,256.75849037777687,322.57177310600093,4308.083898460203,5.66253158416326,6.741318989380657,98201.04187222499,0.010000000000000054,0.5554402967723073,66.29323675227984,16024.905591946113,17387.404382457415,0.014489452145005802,75.21249649171199,41.48304574350091,21377.92409089791,22471.881500431886,0.38166433079169815,39.78674286110335,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.023272495739917,20.521244989637815
2021-06-14,276865.2763798449,240.59890980013964,301.53578264139503,4313.533205034557,5.449306574353868,6.39614276498314,98286.45405332855,0.010000000000000054,0.545574566470634,64.01606525005353,15453.900477088242,16943.683183417095,0.01373360494585844,79.14394573659278,41.79592441751585,20883.02401516764,22131.485317308427,0.36606531338142756,39.663886492951036,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.03120905829494,20.810684065434597
2021-06-15,277089.67409160675,224.3977117618697,281.145163096108,4318.7766329291235,5.243427894566311,6.073584934112281,98366.11482781167,0.010000000000000054,0.5358771110197506,61.59470892461197,14859.204995825248,16461.671518138148,0.013052466152832759,83.24676505551517,42.087359925935914,20389.799653263282,21741.549783068614,0.34876472517828183,39.54948629828476,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,17.04014215709735,21.152361234503996
