date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,extreme_poverty,diabetes_prevalence,male_smokers,hospital_beds_per_thousand,life_expectancy,population
2021-05-27,202846.89022784232,138.47576331172453,161.79560725884207,9051.518835338162,18.15301911914263,21.08575284602266,961651.2804180214,0.6400791172892485,2553.164279784767,2378.4006664550184,0.05675050787955495,18.806650597056585,7452.517873136184,0.1950264416517966,40.95443542319917,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-28,202977.919545478,131.02931763570047,153.39436413837865,9069.063722495877,17.54488715771511,20.098141072784635,963933.962382037,0.6395527122397233,2526.620014137221,2358.7407874947903,0.053951536371851155,19.618900358910764,7727.792477250339,0.20233560370167908,40.563473626222965,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-29,203101.69977546303,123.78022998501724,145.67058806823147,9086.240406610123,17.176684114246278,19.240950827212934,966185.5897998882,0.6389854779419136,2495.703993311387,2335.5228498324727,0.051390284470226505,20.453018190967203,7916.683675972673,0.20715344808976965,40.16298337092778,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-30,203218.82132481024,117.12154934719875,138.4828041733457,9103.324988215523,17.08458160540031,18.53824140095271,968408.6430986784,0.6383735622379487,2462.7134709046813,2309.7434625198002,0.04903091632616703,21.330254916657886,8013.1833613751205,0.20934779453533015,39.75911374021916,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-31,203330.8630847521,112.04175994187948,131.6186828003391,9120.640347496497,17.315359280973333,18.01868153552386,970605.6931945123,0.6377213481490507,2429.476808899264,2282.49112953368,0.04683281878955099,22.271471084067464,8016.258836480608,0.20889319884267438,39.36051258376818,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-01,203437.82334782422,106.96026307211756,125.03906575248458,9138.29624316925,17.655895672753296,17.69632918654919,972779.1274427504,0.6370410111117889,2397.0213227378,2254.833812567199,0.04474694764096744,23.289204476592978,7930.35068844644,0.20590212279070033,38.976804929099615,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-02,203539.46909457888,101.64574675463774,118.72512332858463,9156.349056972942,18.05281380369234,17.56687568758483,974931.3199248782,0.6363395818632543,2365.257827056585,2227.6938629806705,0.04273781254068039,24.392945697457705,7765.287870892047,0.20062487910013604,38.61745178990815,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-03,203635.5424964354,96.0734018565408,112.66780193405981,9174.806896155706,18.457839182762818,17.610412906606555,977062.0566157135,0.6356076275739122,2331.9084842226293,2201.5543823680205,0.040788976729362963,25.585762925323444,7537.343585780551,0.19346510405684111,38.29089427229542,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-04,203725.91579281812,90.37329638270951,106.85990978926509,9193.633420339158,18.826524183452232,17.793508613374463,979169.6841715473,0.634857465993945,2296.1470103874017,2176.5342903312867,0.03889619279265898,26.87247022243477,7269.773962767871,0.18501123916092452,38.00391165444786,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-06-05,203810.70744900947,84.79165619136319,101.29018121072721,9212.750711666791,19.11729132763445,18.070763004956536,981252.9446466537,0.6341144957462677,2259.208912444724,2152.4673790283646,0.0370501342518957,28.25010088919199,6987.825769425621,0.17586298657819197,37.7611399463951,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
