date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,population
2020-06-21,1.000000000000005,1.1447853497192329e-09,2.8737372742886023e-09,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-22,1.000000000000005,8.585890122894247e-10,2.1553029557164516e-09,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-23,1.000000000000005,6.439417592170685e-10,1.6164772167873387e-09,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-24,1.000000000000005,4.829563194128013e-10,1.212357912590504e-09,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-25,1.000000000000005,3.62217239559601e-10,9.09268434442878e-10,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-26,1.000000000000005,2.716629296697008e-10,6.819513258321585e-10,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-27,1.000000000000005,2.0374719725227558e-10,5.114634943741189e-10,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-28,1.000000000000005,1.528103979392067e-10,3.835976207805892e-10,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-29,0.9987394957983244,1.1460779845440501e-10,2.876982155854419e-10,1.000000000000005,0.0,173.39116386554716,173.61000000000092,5885.000000000032
2020-06-30,0.9963235294117698,8.595584884080376e-11,2.1577366168908142e-10,1.000000000000005,0.0,172.97172794117742,173.61000000000092,5885.000000000032
2020-07-01,0.993719699418234,6.446688663060282e-11,1.6183024626681106e-10,1.000000000000005,0.0,172.51967701599966,173.61000000000092,5885.000000000032
2020-07-02,0.9923809187136445,0.0006140918389125442,1.213726847001083e-10,1.000000000000005,0.0,172.28725129787588,173.61000000000092,5885.000000000032
2020-07-03,0.9939624828296756,0.003046218523657594,9.102951352508122e-11,1.000000000000005,0.0,172.56182664406003,173.61000000000092,5885.000000000032
