date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,population
2020-10-14,387328.4655044621,3651.216777548057,3844.5007114539767,9568.35007907899,61.19410206095364,61.295866756830186,0.06000000000000032,0.9385423218771174,19692.16841897866,0.17936331095325206,5.597957862989437,955.000000000005,0.0,61.313291098612275,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-15,390921.664593764,3593.199089301965,3780.3391378244887,9629.399711862585,61.04963278359508,61.23013196807521,0.06000000000000032,0.9415314990031852,19579.12888372336,0.17810506240045965,5.629320045593734,955.000000000005,0.0,61.093154813939904,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-16,394464.9557497838,3543.291156019788,3718.3891253463935,9690.19144517685,60.79173331426394,61.14481730184835,0.06000000000000032,0.9453477192750146,19483.29682439565,0.17722391638664103,5.649586996056977,955.000000000005,0.0,60.82680211562631,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-17,397969.77342190535,3504.817672121504,3660.774924003336,9750.613622667395,60.42217749054613,61.021102795390874,0.06000000000000032,0.9497814746534181,19404.204648031737,0.17673047769075673,5.658205114528196,955.000000000005,0.0,60.51426933074049,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-18,401450.8739578322,3481.100535926944,3609.415315174452,9810.56836179694,59.9547391295451,60.8428655580817,0.06000000000000032,0.9545680064425537,19339.546165403273,0.1766449817328383,5.655344204351229,955.000000000005,0.0,60.14617549514659,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-19,404926.23644768953,3475.3624898573007,3566.143902508834,9870.063747107255,59.49538531031341,60.596407895128905,0.06000000000000032,0.9594197023109082,19283.90204486696,0.1769494764418397,5.641723085390126,955.000000000005,0.0,59.71368301114671,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-20,408401.0386318246,3474.802184135062,3531.9706652462073,9929.037370770016,58.973623662761,60.272761642096604,0.06000000000000032,0.9640673623828271,19233.9244166496,0.17761401424799284,5.618187918438206,955.000000000005,0.0,59.22270699009896,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-21,411878.88416132866,3477.845529504016,3507.2035572733803,9987.40146052743,58.36408975741343,59.868479602613256,0.06000000000000032,0.968246061541485,19181.67030020539,0.1785931868333769,5.585935702888133,955.000000000005,0.0,58.68005125097766,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-22,415361.95161485614,3483.0674535274998,3491.4707442317044,10045.071683630882,57.67022310345123,59.38568710984625,0.06000000000000032,0.971734481514874,19116.1999455807,0.17982514222587329,5.547116612330942,955.000000000005,0.0,58.09408465672072,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-23,418851.1062612396,3489.1546463835093,3483.7372813476677,10101.988749794928,56.917066164046155,58.83212069760778,0.06000000000000032,0.9743848947496022,19025.0195293213,0.18124458388336773,5.5040397863328945,955.000000000005,0.0,57.479314300556126,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
