date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,aged_70_older,population
2020-04-11,10.647657661359432,0.768415452760159,0.7831966236659959,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
2020-04-12,11.363571300318235,0.7160659528538951,0.7830943003286834,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
2020-04-13,12.014533678858605,0.6510766139616889,0.7680199818722409,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
2020-04-14,12.591023077502086,0.5765750752094702,0.737340778259385,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
2020-04-15,13.086544619050954,0.4955857989733602,0.6919782727701698,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
2020-04-16,13.498812795251391,0.4123163692688051,0.6340910090378736,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
2020-04-17,13.830638361790859,0.3318617113407442,0.566836356325917,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
2020-04-18,14.090593509546139,0.2599822563562369,0.49419190848554995,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
2020-04-19,14.293510743019354,0.20293756492393272,0.42082153317411747,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
2020-04-20,14.458336030761629,0.16484053633031226,0.35124381633178414,2.00000000000001,0.0,0.0,134793.0000000007,0.8400000000000046,241.0000000000013,0.05000000000000025,20.100000000000104,3.71000000000002,131.00000000000065,0.07000000000000037,293.19000000000153,34.900000000000176,6.400000000000032,179872.00000000087
