date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,diabetes_prevalence,female_smokers,population
2022-03-13,5403498.38379506,58075.484888836174,61325.64580710452,24911.938722487375,198.24561437454255,210.33474510293317,43228.82414148852,31.297971277191195,0.880611383694621,1759.3297316551632,23525.69298255751,148516.00010966355,154292.0022396008,0.3760294804058569,2.6635306827813725,194.6846245573928,82.31353060410919,951591.757376624,970899.774172432,0.013767223553747768,47.21979673833201,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-14,5460688.795910298,57190.41211523742,60312.75918370597,25104.794264877848,192.85554239047406,206.86629670696743,43686.35595437114,32.03105958265104,0.8761830044807277,1723.0490278945742,22995.02998717211,146131.41819795567,152413.5978497073,0.37362036499088314,2.6802724464751737,195.44359947816122,82.33124911662435,940767.5668366062,965133.1864147165,0.014432560522453708,47.19724574379432,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-15,5516956.815274684,56268.01936438548,59290.65165216224,25291.685356059843,186.89109118199605,202.61784098530018,44136.5084544662,32.75374426682026,0.8716340212984913,1685.1729400039505,22455.112087756526,143679.14837697372,150384.0861700861,0.37130787232105555,2.6967056276812063,196.19295833518873,82.34985248064874,928836.3525353421,957739.0940127193,0.01511013467755459,47.16131827681801,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-16,5572206.908514844,55250.093240160546,58256.318076387426,25471.92709073593,180.24173467609003,197.62663203180023,44578.51736929186,33.46540257632727,0.8672588062130423,1645.7980146345099,21908.885617207212,141157.41055551654,148210.80701605865,0.3690615441890791,2.7133097637473336,196.9320755710428,82.36930468046081,916140.652119672,948802.1371708206,0.01579688672245168,47.11051521052243,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-17,5626334.215274312,54127.3067594676,57208.64667606893,25644.95706659756,173.02997586162496,191.9807817161581,45011.543813329656,34.16563434982792,0.8634130768640492,1605.0552013443396,21358.86266151565,138606.3508222614,145927.2276279136,0.36682314585997405,2.7303394656676474,197.6605768786702,82.38959421816732,902965.4042158057,938579.2438768239,0.01649052218469593,47.0441606483573,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-18,5679261.213023292,52926.99774898021,56148.274204207555,25810.510156121443,165.55308952388538,185.8127087822707,45434.96760999731,34.854276667348365,0.8604773900656205,1563.0484492121536,20806.495784113493,136011.55356595284,143543.325908395,0.3646648707071982,2.7473134227801514,198.37828139849876,82.41070164294041,889591.3530164127,927275.5320511226,0.017189320209950544,46.96249508226028,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-19,5730965.2156659905,51704.00264269838,55077.47733027274,25968.74958541691,158.23942929546754,179.2942256720297,45848.607283128295,35.53141451408599,0.8588274995627911,1519.9041155590385,20253.18730811931,133472.3362313491,141082.03646426345,0.36265363040596477,2.7635926947515683,199.0852668019448,82.43258941901861,876315.7286278569,915172.6817144905,0.017891990157462935,46.866745261275106,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-20,5781498.997496108,50533.78183011693,54000.09117756889,26120.36524336136,151.61565794445153,172.63285364316278,46252.88505058158,36.19726709112369,0.858796287244816,1475.8005010196362,19700.53346520623,131039.83601320171,138585.4492777388,0.360821670768275,2.7788208946900537,199.78172288749636,82.45519594273854,863271.2064418053,902555.4609949836,0.01859756404666866,46.75917659301522,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-21,5831015.496877746,49516.499381637535,52903.81791953743,26267.116321014917,146.7510776535554,166.04655910761468,46649.02446020515,36.852034513559374,0.8606282432293468,1430.9790580068566,19150.435870905807,128825.60583989498,136113.19886845295,0.3591655420225545,2.7929181920259474,200.46789623802073,82.47850684716391,850525.330186882,889663.7118742284,0.019305315892144383,46.64313244476148,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-22,5879495.074225868,48479.5773481222,51791.18332588456,26408.995983489087,141.87966247416801,159.61641577544293,47036.868399775776,37.49531224586771,0.8644766769275058,1385.7418542217385,18605.113494739082,126815.26575677985,133704.0804538609,0.3577545702208595,2.8052364785378874,201.1434336523361,82.50249034868915,837358.2901579391,876595.4135275213,0.020014701204822603,46.52073168651235,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-23,5926941.996700437,47446.92247456941,50676.44461173733,26545.78893978233,136.79295629324739,153.40950236164056,47416.451008299904,38.12627216112999,0.8702728276697741,1340.438727447172,18067.040001468038,124949.68373904596,131388.6977191935,0.35667000006383515,2.8149971714438204,201.80753354565184,82.52711178220218,823198.8901944088,863318.0138786738,0.020737916659919507,46.39317481530449,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-24,5973396.651727017,46454.655026579996,49580.35145476299,26677.26398990466,131.47505012232745,147.47312208474062,47788.095386800305,38.74419410145518,0.877826954301136,1295.4467088045144,17538.825120687346,123419.179594847,129219.1083734289,0.35591264872273143,2.8222174971995466,202.4595134430142,82.55232139321284,808191.4014208562,849778.8643844428,0.021473605562166556,46.26300651548619,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-25,6018944.707137223,45548.05541020655,48526.21675800831,26803.318435221034,126.05444531637404,141.8304672907696,48152.486881406054,39.3483991313597,0.8870670483050387,1251.1492295902744,17022.834529868196,122219.61127984582,127248.8371947454,0.35544014265064633,2.827219037573226,203.09875806222215,82.57805891821292,792384.9151089528,835892.2236600204,0.02221186221945947,46.13348064614929,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-26,6063723.981274064,44779.2741368405,47536.969722029244,26924.08638620896,120.7679509879271,136.47736792121248,48510.728045669995,39.938248120336254,0.8979481530678236,1207.954098293917,16521.590545568128,121339.81023751866,125515.62532656988,0.35525318391106214,2.8297921062342217,203.72464660096554,82.60424700055378,775802.7642082509,821533.2213972465,0.02293798522309496,46.00808398170317,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-27,6107929.5955709405,44205.614296877364,46632.94564898806,27040.01999327667,115.93360706770693,131.37985286398646,48864.379862306865,40.513200472928396,0.9103488006444371,1166.2724233833812,16037.815092664896,120800.86640470671,124052.92258251645,0.35532676576135136,2.830018611026672,204.33659645686535,82.63081469450077,758506.1803960083,806566.7830001015,0.023647897449965084,45.890179017305236,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-28,6151737.358313638,43807.76274269687,45817.41166547414,27152.358773238084,112.33877996141382,126.46366130280578,49214.84880655569,41.07283070375906,0.9240214582725989,1126.496156580847,15574.385354497306,120614.98619654894,122879.98435770198,0.3556815643016216,2.827659401062509,204.9341679308846,82.65766014821894,740674.9831153653,790873.8720755458,0.02432399677848872,45.782736072933744,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-29,6195214.137077189,43476.77876355148,45102.72593494924,27261.095615158076,108.73684191999392,121.72874985557894,49562.66982227301,41.61699390694024,0.938550191959137,1088.9746015061878,15134.223933686277,120818.85861961615,122023.36215321525,0.35625470910210555,2.8231605171834406,205.51717814596594,82.68465218938022,722636.1193177789,774484.9892376559,0.024941769400285453,45.68813237144245,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
