date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,cardiovasc_death_rate,female_smokers,male_smokers,hospital_beds_per_thousand,human_development_index,population
2021-01-07,513378.0325712189,1018.2602698402708,1086.6561310706345,7561.228847819322,24.193616122295747,24.913440328792557,3271624.387784701,0.8459015490570923,13306.400085562604,13193.12213744169,0.07645868616669899,13.295363847063504,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-08,514373.35763785255,995.325066633598,1062.2655325305145,7585.108901540003,23.88005372068112,24.633922845172343,3285014.4220440895,0.8492752244948243,13390.034259388518,13220.41815447107,0.07499850719128161,13.586876796092735,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-09,515346.1037002712,972.7460624186388,1039.3617725394515,7608.625842283002,23.51694074299956,24.365983827479806,3298495.8434884693,0.8519103614868273,13481.421444379805,13267.27466950555,0.073501304440003,13.896642729584116,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-10,516297.90628199145,951.8025817202505,1017.6494685448615,7631.7457391783255,23.11989689532339,24.093655291424366,3312073.2272511334,0.8536483496542296,13577.383762664316,13330.425539944306,0.07196631446445612,14.22736407692308,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-11,517234.81476320734,936.9084812158517,996.8179073233209,7654.50494109998,22.759201921654174,23.797066775614198,3325747.783463565,0.8544494167332397,13674.556212431353,13406.262755475378,0.07038892460076623,14.580691124919221,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-12,518156.5993238606,921.784560653325,976.7797428712897,7676.8733244416735,22.368383341693146,23.469989318944034,3339515.138114808,0.8543102364348696,13767.354651243379,13490.313404680244,0.06875064626246875,14.95699701207987,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-13,519061.4827992957,904.8834754350498,957.385756086888,7698.806399278261,21.93307483658663,23.110254432646972,3353369.6184212756,0.8532367174037228,13854.48030646746,13578.900421965276,0.06704730919588203,15.356555128161414,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.08882773109286,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-14,519947.16730309237,885.684503796715,938.4464623463566,7720.262960415396,21.456561137136188,22.719223791518225,3367300.2998049725,0.8512158379881519,13930.681383696767,13668.080988742884,0.0652854818969116,15.779985835455278,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.08658088235337,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-15,520811.6041941914,864.4368910989917,919.748317186401,7741.218325676781,20.95536526138481,22.30139150233294,3381294.0637839213,0.8482594867651939,13993.763978949066,13754.324720225573,0.0634797869236534,16.228953500702666,0.0,0.1100000000000006,25.350840336134585,25.67478991596652,0.0,80.08415932045939,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-16,521653.5715522377,841.9673580462876,901.0658705659494,7761.674264619587,20.45593894280657,21.86408580515956,3395339.8099581786,0.8444578665283244,14045.746174257069,13834.938837518908,0.061650887380846134,16.704523787453333,0.0,0.1100000000000006,19.01313025210094,23.885504201680796,0.0,80.08291425440413,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
