date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,gdp_per_capita,diabetes_prevalence,population
2022-03-30,12221.941035552834,34.78888558497588,34.91295276912531,126.40783593908084,0.17745697096381507,0.1970859637862269,188691.73193143698,130.17799770579887,0.034422112808558905,38.9950799628125,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-31,12256.394238203104,34.45320265027042,34.897993827005635,126.57725704480855,0.1694211057277096,0.19094230089396905,189223.64693435692,143.00672064521882,0.032206694496529104,36.953554800810124,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-01,12290.38029403696,33.98605583385671,34.77234410975007,126.739245304615,0.16198825980644818,0.18392505146233223,189748.34973502782,157.41156924926668,0.030157444918938556,34.8343154218746,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-02,12323.790989758505,33.410695721546425,34.538821107522686,126.89498019694881,0.15573489233382792,0.17650713701303897,190264.1696487178,172.86032528859866,0.02825722396069716,32.6607608068714,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-03,12356.554780780434,32.76379102192909,34.20767465417147,127.04623514771177,0.15125495076297618,0.1692129319452998,190770.0021121042,188.61298798713452,0.02648752042689006,30.475653669148414,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-04,12388.707359017793,32.1525782373583,33.791050108275705,127.19413014229661,0.14789499458483737,0.16241632468618902,191266.39816261752,203.84025165615603,0.02482394671965044,28.33107331585617,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-05,12420.18908422781,31.48172521001618,33.29014892574464,127.33929508571424,0.14516494341761982,0.15635409871826186,191752.43702597116,217.69757723597647,0.02325758512053941,26.280842478811998,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-06,12450.933167404877,30.744083177066152,32.71232985849728,127.48309122378812,0.14379613807388086,0.15130080351510253,192227.08756230347,229.39348027669183,0.021775283216616606,24.374847437648135,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-07,12480.888951183928,29.955783779050456,32.0698928366655,127.62726670484838,0.14417548106025893,0.14751083211273303,192689.56768691854,238.25222074404155,0.020382205786735264,22.654778112172778,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-08,12510.039370142973,29.150418959045474,31.37916688024642,127.77369825100234,0.1464315461539533,0.14517497928816986,193139.61393584206,243.77229419410133,0.019083034430549206,21.15093313164092,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-09,12538.414046030002,28.37467588702816,30.659826032841607,127.92419741158744,0.1504991605850838,0.14438786019334154,193577.68363998784,245.68177397460028,0.017867867290268097,19.879823636707442,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-10,12566.099109183153,27.685063153150924,29.93437631196156,128.08036525326088,0.1561678416734608,0.14512347433052672,194005.10655578302,243.8740648054496,0.016737358127688163,18.851549207815026,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-11,12593.022715856354,26.92360667320195,29.187434787300234,128.24474388176873,0.16437862850784313,0.14758242475242012,194420.77349569986,238.33269792535447,0.01569684535723996,18.062079811485077,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-12,12619.212592806958,26.18987695060285,28.431474603726667,128.418108654701,0.17336477293227243,0.151787497297347,194825.11253192383,229.18472059980152,0.014751948820774203,17.49214373062417,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-04-13,12644.857602329865,25.64500952290692,27.703012869407832,128.5999098685308,0.1818012138297799,0.1574616636969924,195221.0394842696,216.7183885429348,0.013905267368651128,17.106393512253867,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
