date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,weekly_icu_admissions,weekly_hosp_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,total_boosters,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,gdp_per_capita,extreme_poverty,female_smokers,male_smokers,population,excess_mortality
2022-06-24,829373.1807216571,212.01454936512485,198.51149290244308,6470.7502667434765,1.717331899999582,1.654779081077271,440907.8256188495,28.535470297585718,1.3013034363611817,11.718521929249661,95.97185910258928,1992.0342219972154,1974.3290740462537,0.10743072434062162,9.345892495313588,72.72760881918228,528065.4539809378,103.5024824220398,105.41610118104374,1.764695448830165e-17,11.110009547830783,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,9.192297450475056
2022-06-25,829596.0542387229,222.8735170658608,203.17665280546868,6472.464299928334,1.714033184857478,1.6740028628441548,441026.3097448423,28.539270144003808,1.3227518177363051,11.72078035634718,97.29630821557447,1993.1446225418704,1961.1538191093537,0.10944376077324272,9.129671472325539,72.72815700223425,528134.7625930086,101.83910055818049,102.36401512301629,1.3235215866226237e-17,11.110007160873103,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,9.667713449385534
2022-06-26,829832.012737867,235.95849914393378,209.14749073532357,6474.162138973408,1.6978390450749143,1.6878245453231637,441151.7500065961,28.542959718539418,1.3435325123002917,11.727883263381928,98.92396031488073,1995.1014694920552,1948.7689519208998,0.11127011857605373,8.939774612647525,72.72866736382835,528202.712878823,100.47436420338018,99.60828929959911,9.926411899669678e-18,11.110005370654843,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,10.245215066723349
2022-06-27,830079.6145954181,247.60185755122802,216.67397470954083,6475.835599058766,1.6734600853575778,1.6939760366588263,441283.37997262704,28.54657305328728,1.3632326098231522,11.733614451414937,100.86624108296095,1997.1093923582168,1937.3943448391908,0.11290103754225378,8.775396570345384,72.72915178337556,528269.7643940889,99.61244736068006,97.26087114405951,7.444808924752259e-18,11.110004027991147,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,10.921446356372755
2022-06-28,830340.4594759765,260.84488055837943,225.9582155182581,6477.478525409145,1.6429263503788838,1.6913609867701402,441422.0500271438,28.550155064690777,1.3814944315108697,11.72801580670232,103.10531614327635,2000.3451017993702,1927.228337814916,0.11434125973393677,8.633921377338881,72.72962401852725,528336.5703220703,99.47609914903853,95.43647430180688,5.583606693564194e-18,11.110003020993377,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,11.687324851774921
2022-06-29,830617.3672798988,276.9078039223403,237.1508508759273,6479.083958698109,1.6054332889638676,1.6795579087912467,441569.25925435976,28.553746712222065,1.3980119031418807,11.69975873839549,105.61146240526885,2006.7894016565765,1918.3948635745057,0.11558739276425364,8.51382985006946,72.73009923561499,528403.9201623679,100.11694831135887,94.21069444645872,4.187705020173146e-18,11.110002265745049,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,12.530835186988938
2022-06-30,830913.3854631574,296.0181832584978,250.31663185442486,6480.645790613766,1.5618319156563223,1.658813066370425,441726.62771727337,28.557373867392187,1.412501332010582,11.637340985646297,108.34246188844713,2014.4900796845811,1910.9636008159823,0.11664739654474825,8.413720803841699,72.73059365748057,528472.5772904903,101.50653799499311,93.63003117744275,3.1407787651298594e-18,11.110001699308802,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,13.436341137679163
2022-07-01,831231.0445272335,317.6590640760652,265.40861270788434,6482.160005533055,1.5142149192891086,1.6300351391443368,441895.50066675333,28.561063690783353,1.4246925794862837,11.53012273988115,111.24517867231484,2021.8433677789526,1904.9477490929203,0.11751786802911726,8.332556278382254,72.73112429934841,528543.0448133759,103.44262704720383,93.72160224539635,2.3555840738473945e-18,11.110001274481617,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,14.384810486651215
2022-07-02,831571.799636538,340.7551093046254,282.248793241321,6483.625611777466,1.465606244411888,1.5947912218437106,442076.6516983526,28.564833805579475,1.4343521754033381,11.369242253451834,114.2587731906801,2027.6229266099122,1900.2905144699837,0.11820271905674438,8.269200660628977,72.7317087707299,528615.6158983326,105.79620751875791,94.51568455411851,1.766688055385546e-18,11.110000955861228,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,15.354724507799407
2022-07-03,831935.611831477,363.8121949390385,300.51360058709986,6485.045340054828,1.4197282773619235,1.555303823622604,442270.0601199189,28.568673188703073,1.4413518820373148,11.148441063068852,117.31914453425136,2031.2336461532998,1896.8152678822255,0.11871457969333415,8.221759900772327,72.73234040157693,528690.0475249137,107.97189707410415,95.99127214215657,1.3250160415391594e-18,11.110000716895938,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,16.323500913862787
2022-07-04,832318.007047494,382.39521601681986,319.7698282683797,6486.419864769636,1.3745247148087745,1.5128351721772004,442473.34748990746,28.572552564442667,1.4456747066152538,10.864821424321692,120.3642937594476,2032.3130497410282,1894.3509467099911,0.11907585073638734,8.18795858104144,72.7330053011828,528765.726739355,109.61102256856039,98.06344441043142,9.937620311543695e-19,11.110000537671969,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,17.269301902037622
2022-07-05,832720.0382364943,402.0311890003337,339.93937346372877,6487.748964511302,1.329099741665729,1.4682281890876534,442687.0735760608,28.576432199673345,1.4474360558179389,10.516131535966835,123.32165046087317,2032.0873083141773,1892.6674117131683,0.11931949309430748,8.16470843157941,72.7336951523578,528841.9338231015,110.68706459933577,100.5928968178431,7.453215233657771e-19,11.110000403253993,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,18.169343207856162
2022-07-06,833143.7792106621,423.74097416783343,360.91564435119085,6489.037886925826,1.2889224145233773,1.4232188147310616,442912.3408463966,28.580255630039467,1.4468684122577677,10.10160830198899,126.11833176014395,2032.8154812356356,1891.500558784879,0.11948961982073078,8.14853132368457,72.73440581804996,528917.750221884,111.05264492655434,103.39265257459773,5.589911425243328e-19,11.110000302440511,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,19.000103248075177
2022-07-07,833591.353848851,447.57463818890096,382.5666891457467,6490.295819848547,1.2579329227218816,1.3799832771762877,443150.2783836669,28.58398228490844,1.4443154979457518,9.623879141811729,128.6958455049359,2033.3616109267296,1890.625419088662,0.11961721486554824,8.136398492763437,72.7351253072997,528992.0906560712,110.61652528078103,106.2471720424546,4.192433568932496e-19,11.1100002268304,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,19.740494222001562
2022-07-08,834064.2080013775,472.85415252661505,404.7375428774102,6491.534744653711,1.2389248051635848,1.340798543855068,443401.6548212026,28.5875526477473,1.440246642851688,9.089857366332028,131.01966324034677,2033.77120819505,1889.969064316499,0.11971291114916136,8.127298869572588,72.73583735474766,529063.7949959326,109.38026726375334,108.9474831042393,3.144325176699372e-19,11.110000170122815,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,20.37408991573936
2022-07-09,834562.5634186168,498.3554172391767,427.2519874748004,6492.768576266633,1.233831612922464,1.3077876603153493,443666.58804479724,28.590912061763973,1.4352400887968157,8.510882728322768,133.08494550949197,2034.07840614629,1889.476798237377,0.11978468336187117,8.120474152179451,72.73652410526574,529131.8902837957,107.52453464303169,111.32649791318288,2.3582438825245286e-19,11.110000127592127,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,20.890646033627895
2022-07-10,835085.008197448,522.4447788311286,449.91387182782046,6494.0125181728345,1.2439419062012227,1.2827287542862873,443944.32746911887,28.594017595127156,1.4298710814650992,7.902295853611185,134.91938140102673,2034.3088046097205,1889.1075986780352,0.11983851252140354,8.1153556141346,72.73716812743034,529195.6077742567,105.2005923203476,113.32247524484207,1.7686829118933965e-19,11.11000009569411,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,21.287818316429743
2022-07-11,835622.2564228124,537.248225364459,472.03576570021323,6495.282578674884,1.270060502049109,1.2678067467101923,444229.9365727512,28.596832200870296,1.4245988508531897,7.282588082839294,136.58386378186268,2034.4816034572932,1888.8306990085289,0.11987888439105282,8.111516710600961,72.73775392362715,529254.2674176358,102.43072866172172,114.9148202345367,1.3265121839200473e-19,11.110000071770598,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,21.572393991731794
2022-07-12,836175.074217563,552.8177947505591,493.576686427714,6496.585317975144,1.302739300260169,1.2639875745769251,444523.8226373856,28.599332941861555,1.419735175631814,6.6756542397082015,138.19152928897824,2034.6112025929729,1888.6230242563993,0.11990916329328978,8.108637532950732,72.73826906262997,529307.4796194654,99.4892552875002,116.10998395418324,9.948841379400355e-20,11.110000053827964,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,21.760523215656853
2022-07-13,836747.7146644662,572.6404469032562,514.8479598757314,6497.924444202117,1.339126226972763,1.2710543525551907,444828.24666485295,28.601517159531305,1.4153770119759632,6.107091589375765,139.86945729086352,2034.7084019447325,1888.467268192302,0.1199318724699675,8.10647814971306,72.73870502903463,529355.0319027058,96.56395180822385,116.95878079045983,7.461631034550267e-20,11.11000004037099,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,21.884484213848125
2022-07-14,837345.9486195531,598.2339550869453,536.3705909475234,6499.300718413395,1.3762742112767625,1.2878109648042424,445146.2765291834,28.60338237514302,1.4114353123109984,5.600703769139596,141.73748866488808,2034.7813014585522,1888.3504511442293,0.1199489043524758,8.104858612284806,72.73905786033458,529396.83121533,93.7593245542934,117.5508567628515,5.5962232759127e-20,11.110000030278258,43.900000000000226,19.750000000000107,25063.850000000133,0.7000000000000035,25.60000000000013,51.00000000000027,1850654.00000001,21.964287472418633
