date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,hospital_beds_per_thousand,population
2020-05-13,45.561534781035064,0.3965809661155611,0.4016505383624136,2.9829024621089997,0.00480789104862786,0.011976879453792662,2.02772230975075,0.37000000000000205,66.00000000000034,0.0,87.04550357808837,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-14,45.99256349689466,0.43103300965454483,0.4039405540626963,2.9842679907317216,0.0042200100770332745,0.008982659590344496,2.046773147956246,0.37005042016806927,66.00000000000034,0.0,87.09219491045717,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-15,46.483789138508165,0.4912288619597201,0.4161619443123751,2.987877786843236,0.005750657202248141,0.006736994692758372,2.0685299256084284,0.3701722689075651,66.00000000000034,0.0,87.14115006131746,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-16,47.05952899027421,0.5757422670257059,0.4408680645691236,2.995546349182205,0.009274208157019034,0.005525596698301811,2.0940876510582958,0.37033734647705446,66.00000000000034,0.0,87.16705840894878,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-17,47.7401218558279,0.6805946769984339,0.48008543756711497,3.0088769564567936,0.014534841638126307,0.0058546047635453695,2.124362118384223,0.37047973901099107,66.00000000000034,0.0,87.14098223592954,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-18,48.47950962070099,0.7393891234566482,0.5292812727454729,3.029152869249516,0.021179088565375655,0.007716745427862664,2.1573189384972844,0.3704808449822257,66.00000000000034,0.0,87.03410771767126,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-19,49.29479705069065,0.8152884489273291,0.5902347102152142,3.057255731445868,0.02878024402584177,0.011124663143295216,2.193724982799922,0.3702059795673098,66.00000000000034,0.0,86.82055816381919,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-20,50.237597464811856,0.9428011783244579,0.6678660779102806,3.093604371305802,0.03685667623205109,0.015929470208150186,2.235874053842026,0.3695176068474285,66.00000000000034,0.0,86.47950394930277,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-21,51.37506299841504,1.1374661067556275,0.7683882462155174,3.1381089022673327,0.04488555824061889,0.021861129805433963,2.286744583691154,0.36829415212975425,66.00000000000034,0.0,85.99674496262361,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-22,52.77565730052435,1.4005947319736403,0.8979201439376578,3.1901362985492434,0.05231316674122704,0.02855874328167735,2.349367907710192,0.36646398837010224,66.00000000000034,0.0,85.36589744207126,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-23,54.498485056841304,1.7228280787152046,1.061446895283562,3.248484576853114,0.05856260614835736,0.03559326560605447,2.4263544698905983,0.3639882627707899,66.00000000000034,0.0,84.58928410288516,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-24,56.58528913199758,2.08680431695496,1.2620399225938956,3.3113634326398405,0.06303960167009165,0.04248454196472194,2.519538476852342,0.36091249636703926,66.00000000000034,0.0,83.67860173262616,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-25,59.07461649347145,2.489327542822883,1.51179303179675,3.3751192131353474,0.06387633990803102,0.048525009576321124,2.63061895136906,0.357382982488596,66.00000000000034,0.0,82.65542188770503,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-26,61.99486023694273,2.9202438794830377,1.812326674300055,3.4393226031288266,0.06429380955287209,0.053529342185473006,2.760849313720723,0.35367249866347394,66.00000000000034,0.0,81.5515664157789,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-27,65.34145868772654,3.3465985527926336,2.1556221873669332,3.5045404332774592,0.0652856448181771,0.05752580431202017,2.910013358916921,0.35017567328655225,66.00000000000034,0.0,80.38720422359899,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-28,69.07996279407556,3.7385041828556327,2.527168482800577,3.5719250405366387,0.06743546826133816,0.060701237526193635,3.076564802639538,0.34736688747945893,66.00000000000034,0.0,79.17376451223716,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-29,73.14833667215666,4.06837393546106,2.908322063457905,3.6429062884826395,0.07101939369761975,0.06335980015498793,3.257731940699762,0.34579972928121716,66.00000000000034,0.0,77.93546236284637,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-30,77.45868301478342,4.310346385661736,3.278077035634805,3.718960582554616,0.0760829033856907,0.0658920220619424,3.4495961436308384,0.34615118674759726,66.00000000000034,0.0,76.70325805203146,21.700000000000113,1.500000000000008,22125242.000000115
2020-05-31,81.89853714796553,4.439854165458332,3.6143926183550694,3.801437631486104,0.08249850591677302,0.06875159573197728,3.6471507276326367,0.3491099963955401,66.00000000000034,0.0,75.51032653837729,21.700000000000113,1.500000000000008,22125242.000000115
2020-06-01,86.34066110273253,4.442123978974169,3.8935753299589395,3.891430518378643,0.09000897963150364,0.07262704521527268,3.8447232590405793,0.3553347597400945,66.00000000000034,0.0,74.3886595773448,21.700000000000113,1.500000000000008,22125242.000000115
2020-06-02,90.74407048768303,4.403409403105875,4.1057112324401235,3.9896782540070004,0.0982598051825807,0.07768860970330983,4.040487337622393,0.3654197834443733,66.00000000000034,0.0,73.36651730744308,21.700000000000113,1.500000000000008,22125242.000000115
2020-06-03,95.07568376427568,4.331613290209178,4.246718136676576,4.0964926917980815,0.10682348995674826,0.08389428533178117,4.232981049435288,0.3797602157345411,66.00000000000034,0.0,72.46651693985842,21.700000000000113,1.500000000000008,22125242.000000115
