date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,total_vaccinations_per_hundred,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,population
2021-06-24,254.16495753375946,17.949302868594547,16.000418849603378,1.2783836948540332,0.1583358780892109,0.10533147780898759,5438.896238913903,0.9298174671282078,74.90217364961399,162.00000000000085,0.010000000000000054,70.90000000000038,507.0472822030384,0.17765974417601335,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-25,272.2780006325437,18.113043731924282,16.67841772479144,1.3818970148380063,0.17132139790110368,0.12212078030244229,5826.49821425331,0.9004775153429249,76.1418570702515,162.00000000000085,0.010000000000000054,70.90000000000038,531.5090880259061,0.16894325674222352,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-26,290.30581786290213,18.027817705213437,17.18251998396206,1.4981874670108601,0.18004243821251195,0.13797859427660575,6212.276422487019,0.872327916726975,77.38797728879088,162.00000000000085,0.010000000000000054,70.90000000000038,551.8769356057264,0.1601403772690143,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-27,307.99542674559336,17.68960923883253,17.503618494758904,1.623640600258148,0.18354508011381215,0.1519805520422962,6590.81729424084,0.8458215677973331,78.61928237250949,162.00000000000085,0.010000000000000054,70.90000000000038,566.5951936241405,0.15111918081859996,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-28,325.19409753172306,17.198671053235604,17.642298712698164,1.755965744311261,0.18347328972336843,0.16343014577057183,6958.852577015482,0.821302989034814,79.81377211505497,162.00000000000085,0.010000000000000054,70.90000000000038,574.480800518688,0.141868797378656,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-29,341.77590605118456,16.581808719790978,17.58803980698648,1.8938650645359698,0.18122164473273342,0.1718712518618658,7313.68761909,0.7990300859907203,80.95025482966562,162.00000000000085,0.010000000000000054,70.90000000000038,574.8374911453194,0.13242680811802576,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-06-30,357.6042307665725,15.828324865635107,17.34138198840084,2.0345875508260276,0.175799879315549,0.17693268905800272,7652.398851680149,0.7791762490437846,82.00965535409591,162.00000000000085,0.010000000000000054,70.90000000000038,566.9017124119962,0.12281784364508054,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-01,372.56286926109675,14.95863860720954,16.91397637494642,2.174615517676732,0.1669501034103853,0.17840071265646285,7972.499652657992,0.7616863238222706,82.9783203778862,162.00000000000085,0.010000000000000054,70.90000000000038,550.15257713382,0.11308170852566574,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-02,386.5793756045174,14.016506427934644,16.328622391099945,2.3101794792401,0.1549637087795086,0.1762733851710804,8272.439744341598,0.7464140641336723,83.8479544883275,162.00000000000085,0.010000000000000054,70.90000000000038,524.9509551515938,0.10333471384415244,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
2021-07-03,399.64256337759684,13.063187836464895,15.619295817242238,2.437644305616246,0.14054404855295738,0.17080135432756716,8551.979741837336,0.7331352087337393,84.61353363181351,162.00000000000085,0.010000000000000054,70.90000000000038,492.22136116007596,0.09375168179552554,212.86000000000112,24654.380000000132,2.3000000000000114,76.2300000000004,47681.000000000255
