date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,gdp_per_capita,human_development_index,population
2020-09-23,8667.84626927814,6.586300673732647,7.261462203955605,53.09465873709361,0.03638698210688189,0.01483422337699395,0.010000000000000054,0.907061539871658,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000000969081,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-24,8674.319818312852,6.473549034711258,7.0127897686745335,53.13889967660826,0.044533287646742,0.021039694682066786,0.010000000000000054,0.9104288310511268,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000000726821,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-25,8680.726289074017,6.406470761165966,6.814097982614506,53.19072937930501,0.05204896379581937,0.027942666939151966,0.010000000000000054,0.914020556707868,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000000545127,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-26,8687.11367284948,6.387383775464011,6.664925620121845,53.248929387420006,0.05836445393930162,0.035131208349160434,0.010000000000000054,0.917831513199939,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000000408856,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-27,8693.530729750244,6.417056900764146,6.561642178892297,53.31169704056508,0.06289098751329986,0.04213799902205141,0.010000000000000054,0.9218760589464973,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000000306653,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-28,8700.043473944887,6.512744194642284,6.502285448002457,53.377890427482704,0.06628588769379853,0.04863064858780563,0.010000000000000054,0.9261641547463966,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.7800000023,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-29,8706.672812310648,6.629338365761942,6.486513859757508,53.44686319876337,0.06904214686278598,0.054400588250809075,0.010000000000000054,0.9306833940171355,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000000172511,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-09-30,8713.41810309208,6.7452907814320024,6.509356467862743,53.517241775284624,0.07043060820785235,0.059200893676794694,0.010000000000000054,0.9354338448017993,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000000129394,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-10-01,8720.26221985301,6.844116760928569,6.562462405842121,53.58726875874215,0.07006600722246983,0.06280112274628391,0.010000000000000054,0.9404184669885518,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000000097056,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-10-02,8727.175349440513,6.9131295875031595,6.635037980852189,53.655060489547964,0.06782099862952215,0.06502844386966779,0.010000000000000054,0.9456128159815573,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78000000072802,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-10-03,8734.117840457902,6.942491017388853,6.7145494940425134,53.718800215254134,0.06376167657395164,0.06579848222351792,0.010000000000000054,0.9510043760456393,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.78700840390746,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-10-04,8741.042339619456,6.924499161554901,6.787250355826012,53.77688296687054,0.05809921476724465,0.06513845442781953,0.010000000000000054,0.9565627519760537,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.80044117688028,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-10-05,8747.899175529084,6.856835909627723,6.836597430735066,53.8280242161032,0.05115359659579552,0.06302804896566111,0.010000000000000054,0.9622546431675619,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.81491847154203,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-10-06,8754.669242668158,6.770067139072772,6.856868241118536,53.87134136828304,0.043326412702179566,0.05943393265184771,0.010000000000000054,0.9680429539335267,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.82236209218281,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-10-07,8761.338939111667,6.669696443509501,6.846206287496959,53.90641488206239,0.03508045917110786,0.05448947663820711,0.010000000000000054,0.9738861262452336,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.81356859564013,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
2020-10-08,8767.901537882568,6.562598770899749,6.806094114459187,53.93333410918746,0.026924436168893274,0.048453080329334104,0.010000000000000054,0.9797497595190914,9923.000000000051,0.0,817.2000000000041,33.00000000000017,0.0,77.77938911641347,4.450000000000023,23.100000000000122,16562.410000000084,0.7000000000000035,2388997.000000012
