date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,male_smokers,hospital_beds_per_thousand,life_expectancy,population
2020-12-21,450340.5858891733,1445.5302153528846,1444.299284271577,8763.57232944838,26.694463767169125,27.690206204317445,0.16000000000000086,0.9997537136181573,30766.904417716138,31884.20290746176,22.448229785750613,756.000000000004,756.000000000004,0.0,66.29504211324948,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-22,451791.71955585934,1451.1336666859647,1443.9697666943118,8789.841819807694,26.26949035931353,27.379026017168307,0.16000000000000086,0.998738523739799,30179.97344903375,31528.58690910315,22.13234396180814,756.000000000004,756.000000000004,0.0,66.2712815849372,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-23,453248.1115802758,1456.3920244165442,1445.226976119637,8815.681946626954,25.840126819258938,27.03062326206825,0.16000000000000086,0.9958945521455099,29493.872184383625,31094.617702835807,21.77843217950093,756.000000000004,756.000000000004,0.0,66.253461188703,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-24,454708.56099613186,1460.4494158560433,1447.7103562009127,8841.112445749155,25.430499122201184,26.65479873291192,0.16000000000000086,0.9910325818531545,28727.406950181743,30583.666589990502,21.395672874121523,756.000000000004,756.000000000004,0.0,66.24009589152735,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-25,456171.25757644663,1462.6965803147882,1450.9165371894715,8866.178096432111,25.065650682956672,26.266086283038852,0.16000000000000086,0.9841605062024075,27923.257232675125,30000.600475783154,20.99231865041987,756.000000000004,756.000000000004,0.0,66.2300719186456,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-26,457633.96679254895,1462.7092161022856,1454.2427283607547,8890.949409428169,24.771312996057226,25.88217848086353,0.16000000000000086,0.9755738379582064,27107.1039619983,29350.505172609868,20.57712037113749,756.000000000004,756.000000000004,0.0,66.2225539389843,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-27,459094.16853332636,1460.2017407774272,1457.0192623339165,8915.523143043989,24.573733615821233,25.522745851597907,0.16000000000000086,0.9658306693542411,26297.693727801277,28642.347867822013,20.167324764455277,756.000000000004,756.000000000004,0.0,66.21691545423832,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-28,460550.5300522256,1456.361518899168,1458.5665999501807,8940.036555731614,24.513412687625497,25.211437863165173,0.16000000000000086,0.9557589102251198,25539.89700884388,27895.640490394664,19.786440567523773,756.000000000004,756.000000000004,0.0,66.21268659067883,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-29,462001.87029288674,1451.3402406611265,1458.5960729425988,8964.520128498789,24.483572767173584,24.9564963029977,0.16000000000000086,0.9464172757522284,24888.206564002045,27139.681272773407,19.45943288201002,756.000000000004,756.000000000004,0.0,66.20951494300921,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
2020-12-30,463446.55758391914,1444.687291032369,1456.9238804988063,8988.985733090329,24.465604591540533,24.760234541404742,0.16000000000000086,0.9390086581716386,24395.008963079134,26411.27963589877,19.20815417023411,756.000000000004,756.000000000004,0.0,66.19662360221498,25.200000000000124,40.80000000000021,1.000000000000005,71.23000000000039,115559008.00000057
