date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,population
2022-05-10,501917.04827065056,1.840944905831518,1.9610363914528504,6429.9820955705845,0.007548129111050075,0.019267166094709146,32.516304190858214,0.43583871774106697,1114.6246003869223,0.2500000000000013,4.000000000000023,187.56092917489258,2.305155883477544e-05,44.59000842220156,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-11,501919.02432516054,1.97605451001359,1.885267112594165,6429.986571677948,0.005661096833287556,0.01445037457103186,32.51792345780803,0.42136853410412006,1158.307156541925,0.2500000000000013,4.000000000000023,195.97261995809276,1.7288669126081577e-05,44.590006316651234,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-12,501921.18923611415,2.1649109536155615,1.8823572510584252,6429.98992875847,0.0042458226249656675,0.010837780928273893,32.519962101159194,0.4080902338036885,1207.304042261003,0.2500000000000013,4.000000000000023,209.82957809074185,1.2966501844561183e-05,44.59000473748849,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-13,501923.5872729169,2.398036802800557,1.9485004851587215,6429.992446568862,0.0031843669687242507,0.00812833569620542,32.52274740350819,0.3960864213126893,1259.5293568411969,0.2500000000000013,4.000000000000023,231.27207044588482,0.00010604032564004654,44.5900539732845,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-14,501926.2470319347,2.659759017743603,2.0747989256014296,6429.994334926656,0.002388275226543188,0.006096251772154065,32.526756963888,0.385403859294149,1312.7279392303087,0.2500000000000013,4.000000000000023,263.2340625306002,0.00041986637868381767,44.590149723660915,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-15,501929.1767897889,2.929757854128651,2.2469442168255105,6429.9957511950015,0.001791206419907391,0.004572188829115548,32.53251467669755,0.37606566111573186,1364.53245594642,0.2500000000000013,4.000000000000023,308.8373277641434,0.0010379120658486776,44.59025321065137,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-16,501932.36858135334,3.1917915644814325,2.4514573546036234,6429.99681339626,0.0013434048149305433,0.0034291416218366613,32.54051272744194,0.3680589420229662,1412.7187158632246,0.2500000000000013,4.000000000000023,370.8825045496759,0.0020163138166780464,44.59030626222258,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-17,501935.8366978128,3.4681164593985723,2.6839179997924116,6429.997610047204,0.0010075536111979074,0.0025718562163774958,32.5511535512607,0.3613397785922089,1455.405813608105,0.2500000000000013,4.000000000000023,451.4883328401828,0.003396850747123929,44.59024262491522,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-18,501939.5792525135,3.7425547007221738,2.9362023977111527,6429.998207535412,0.0007556652083984305,0.0019288921622831218,32.56470676354715,0.35583854435139695,1491.2148944197666,0.2500000000000013,4.000000000000023,551.8384054155293,0.0051935656621529165,44.589996448324484,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-19,501943.5783469488,3.9990944353671054,3.198079884902633,6429.998655651568,0.0005667489062988229,0.0014466691217123414,32.58127731963612,0.35147813256865484,1519.3968851005413,0.2500000000000013,4.000000000000023,672.0085551928701,0.0073843468387284755,44.58950864846062,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-20,501947.8001952478,4.221848299052809,3.4584102692038066,6429.998991738685,0.0004250616797241172,0.0010850018412842562,32.60078209629284,0.3481782503637896,1539.936949539694,0.2500000000000013,4.000000000000023,810.8583394715773,0.009906230394075469,44.58873168026925,4.420000000000023,29.000000000000153,6812344.000000035
2022-05-21,501952.1952175419,4.395022294102153,3.706041864798789,6429.999243804023,0.00031879625979308786,0.0008137513809631921,32.62300841980486,0.34584975112125893,1553.757994267618,0.2500000000000013,4.000000000000023,966.3665568014871,0.01265349309290634,44.58763311702165,4.420000000000023,29.000000000000153,6812344.000000035
