date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,extreme_poverty,diabetes_prevalence,handwashing_facilities,population
2022-04-29,87127.5648657094,19.039162410756816,18.25010409549833,1337.1907315834155,0.05204825522823172,0.027940691050250422,850.88195616922,0.3741687809206449,1094.6634736395422,33463.23784287277,0.019884663032620084,28.72240964632919,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-04-30,87146.76062407208,19.19575836268949,18.546200728378786,1337.2489310405047,0.058363922513610875,0.03512972643248424,851.0696119232963,0.3702431015275882,1114.58373968344,33521.92838215463,0.019913497274465092,28.70880788115934,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-05-01,87166.07046805418,19.309843982101178,18.775423170718504,1337.3116982803804,0.0628905889440318,0.04213688758454423,851.2583367705278,0.3665814858095572,1133.3153096106746,33565.94628661602,0.019935122955848848,28.705717093804257,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-05-02,87185.36755692311,19.297088868928853,18.95354087513005,1337.377891357346,0.06628558876684748,0.04862981500967521,851.446865861672,0.36318482153234616,1150.4567472370964,33598.95971496206,0.019951342216886665,28.71704234524011,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-05-03,87204.64205424707,19.274497323965576,19.085475630491068,1337.4468638961625,0.0690419226675727,0.05439996306721123,851.6350938047879,0.3600744597174566,1165.3116619145726,33623.7197862216,0.019963506662665026,28.746379043997994,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-05-04,87223.94168936028,19.299635113206918,19.183339916145638,1337.5172422983358,0.07043044006144239,0.05920042478909628,851.8234861583755,0.3572647975999869,1177.1185557442698,33642.28983966625,0.019972629996998798,28.79664595074256,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-05-05,87243.34734652904,19.405657168777225,19.263579112933428,1337.5872691510322,0.07006588111266238,0.06280077108051008,852.012839731905,0.35478004616379155,1185.0058366530652,33656.21737974974,0.019979472497749128,28.86980993170596,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-05-06,87262.95475682645,19.607410297397426,19.34482816146157,1337.655060783767,0.06782090404716655,0.06502818012033738,852.2041028112119,0.35263109150713634,1187.852422092257,33666.66303481235,0.019984604373311874,28.96667952376335,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-05-07,87282.86076703819,19.906010211735882,19.44630405580855,1337.7188004359202,0.06376160563718494,0.06579828441152007,852.3982403275439,0.3508102610996482,1184.527325618968,33674.49727610931,0.019988453279983935,29.086750108239492,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
2022-05-08,87303.15304134211,20.292274303921527,19.58660021380214,1337.776883132372,0.05809916156466963,0.0651383060688211,852.5961327343468,0.3492983874860165,1174.0280410791274,33680.37295708203,0.01999133995998798,29.228087791263693,3.0200000000000164,17.000000000000092,77.10000000000039,6.1000000000000325,4.470000000000023,99010216.00000052
